keyword,adj_count_2
168계단,    같다    125      있다    113      좋다    104      없다    72      많다    64      맛있다    29      힘들다    18      높다    18      짧다    15      괜찮다    14      작다    11      아쉽다    11      예쁘다    8      편하다    8      늦다    8      좁다    7      가파르다    7      그렇다    6      크다    6      싫다    5      무섭다    4      맑다    4      재밌다    4      넓다    4      지나치다    4      길다    4      멀다    3      아프다    3      알차다    3      재미있다    3      덥다    3      나쁘다    3      심하다    3      힘드다    3      멋있다    3      비싸다    2     다 르다    2      귀엽다    2      상관없다    2      어렵다    2      빠르다    2      아름답다    2      느리다    2      손쉽다    2      적다    1      쉽다    1      습하다    1      검다    1      이렇다    1      재미없다    1      뿌옇다    1      고맙다    1      식다    1      이쁘다    1      어이없다    1      궂다    1      세다    1      고프다    1      인상깊다    1      우연찮다    1      바쁘다    1      맛없다    1      야무지다    1      가깝다    1      무덥다    1      맛나다    1      조그맣다    1      강하다    1      갑작스럽다    1      춥다    1      겉다    1      무겁다    1      급하다    1      배부르다    1      새롭다    1      걸맞다    1      나다    1      얇다    1      까다롭다    1      귀찮다    1      흔하다    1      고되다    1      어마다    1      멋지다    1      빡세다    1      착하다    1  
25의용단,    있다    41      좋다    38      없다    26      같다    22      많다    18      작다    11      크다    9      예쁘다    4      아쉽다    4      넓다    4      편하다    3      늦다    3      굵다    2      노랗다    2      귀하다    2      깊다    2      짧다    2      엄청나다    2      가깝다    2      괜찮다    2      그렇다    2      이쁘다    2      어렵다    1      빠르다    1      젊다    1      정겹다    1      똑같다    1      맛있다    1      멋지다    1      낮다    1      아름답다    1      곱다    1      빨갛다    1      가볍다    1      밝다    1      헛되다    1      높다    1      동그렇다    1      길다    1      부끄럽다    1      인상깊다    1      어둡다    1      재미있다    1      알차다    1      굳다    1      낡다    1  
40계단 문화관,    좋다    130      없다    118      같다    117      있다    109      많다    101      맛있다    47      크다    16      작다    16      힘들다    15      높다    14      예쁘다    13      괜찮다    11      길다    11      맑다    10      재밌다    9      그렇다    9      늦다    8      적다    8      좁다    8      짧다    8      재미있다    7      급하다    7      편하다    6      아쉽다    6      넓다    6      새롭다    6      싫다    6      쉽다    6      붉다    5      이쁘다    4      싸다    4      덥다    4      멋있다    4      아프다    4      나쁘다    3      고프다    3      가파르다    3      수많다    3      멀다    3      아름답다    3      가깝다    3      무섭다    3      파랗다    3      멋지다    3      귀엽다    3      비싸다    2      세다    2      어떻다    2      어둡다    2      낡다    2      흐리다    2      배고프다    2      지나치다    2      힘드다    2      강하다    2      깊다    2      알차다    2      밝다    2      부드럽다    2      고맙다    2      습하다    2      어이없다    1      궂다    1      인상깊다    1      우연찮다    1      어렵다    1      심심찮다    1      흔하다    1      덩그러다    1      굵다    1      시끄럽다    1      빡세다    1      뜨겁다    1      환하다    1      깜다    1      어지럽다    1      덧없다    1      가볍다    1      맛나다    1      맛없다    1      귀찮다    1      정겹다    1      죠다    1      남다르다    1      낯설다    1      정신없다    1      흥겹다    1      눈부시다    1      얕다    1      즐겁다    1      검다    1      드넓다    1      활기차다    1      맵다    1      낮다    1      똑같다    1     다 르다    1      두껍다    1      젊다    1      비좁다    1  
40계단 문화관광테마거리,    많다    95      없다    94      있다    90      좋다    85      같다    80      맛있다    23      작다    13      길다    10      예쁘다    10      괜찮다    10      힘들다    10      좁다    10      높다    9      맑다    9      귀엽다    8      크다    6      이쁘다    6     다 르다    6      새롭다    5      늦다    5      덥다    5      수많다    4      넓다    4      그렇다    4      재미있다    4      재밌다    4      멋지다    3      즐겁다    3      붉다    3      편하다    3      가파르다    3      적다    3      쉽다    3      멀다    3      지나치다    3      습하다    3      짧다    3      무섭다    3      밝다    3      깊다    2      알차다    2      나쁘다    2      세다    2      고프다    2      어렵다    2      심심찮다    2      똑같다    2      흐리다    2      멋있다    2      흔하다    2      덩그러다    2      갑작스럽다    2      급하다    2      가깝다    2      어둡다    2      싫다    2      아름답다    1      비싸다    1      어이없다    1      궂다    1      인상깊다    1      아쉽다    1      우연찮다    1      싸다    1      싶다    1      놀랍다    1      매끄럽다    1      힘드다    1      덧없다    1      무덥다    1      낮다    1      낫다    1      얕다    1      달갑다    1      낡다    1      진하다    1      사이좋다    1      활기차다    1      우습다    1      언짢다    1      배부르다    1      야무지다    1      뒤늦다    1      죠다    1      빡세다    1      속상하다    1      맛없다    1      어설프다    1      잘다    1      굳다    1      배고프다    1      가볍다    1      저렇다    1      색다르다    1      나다    1      찐하다    1      그만이다    1      아프다    1      어려우다    1      슬프다    1  
60년전통 할매국밥,    맛있다    191      없다    122      같다    116      좋다    103      있다    86      많다    81      맑다    48      괜찮다    15      길다    14      싫다    12      크다    12      깊다    9      아쉽다    8      부드럽다    8      적다    8      힘들다    8      재밌다    7      작다    7      늦다    7     다 르다    6      빠르다    6      덥다    5      예쁘다    5      넓다    5      나쁘다    5      그렇다    5      편하다    5      배부르다    3      비싸다    3      귀찮다    3      강하다    3      엄청나다    3      가깝다    3      아쉬우다    2      실하다    2      낡다    2      세다    2      알차다    2      어떻다    2      새롭다    2      맵다    2      이렇다    2      똑같다    2      저렇다    2      쉽다    2      착하다    2      멀다    2      맛나다    2      짧다    2      가볍다    2      귀엽다    2      좁다    2      급하다    2      정겹다    2      무겁다    1      가벼우다    1      드넓다    1      습하다    1      맛없다    1      아름답다    1      멋있다    1      야무지다    1      진하다    1      스럽다    1      낫다    1      슴슴하다    1      두껍다    1      드물다    1      벅차다    1      뜨다    1      단촐하다    1      얇다    1      두텁다    1      고프다    1      옳다    1      흔하다    1      매우다    1      높다    1      즐겁다    1      낮다    1      힘드다    1      아깝다    1      옛스럽다    1      모자라다    1      뽀얗다    1      질기다    1      척하다    1      심하다    1      싸다    1      수많다    1      싱겁다    1      기름지다    1      더럽다    1      바쁘다    1  
75광장,    좋다    458      있다    326      같다    260      없다    241      많다    194      맛있다    130      작다    66      힘들다    45      괜찮다    35      예쁘다    31      재밌다    30      크다    29      맑다    26      길다    24      높다    22      붉다    20      아쉽다    19      싫다    18      편하다    18      그렇다    17      짧다    17      넓다    16      늦다    16     다 르다    13      적다    13      알차다    13      쉽다    12      멀다    12      희다    12      재미있다    12      멋있다    11      귀찮다    11      젊다    11      멋지다    10      이쁘다    10      무섭다    10      귀엽다    10      깊다    10      낮다    10      가깝다    10      좁다    9      즐겁다    9      아름답다    9      밝다    9      춥다    8      새롭다    7      배부르다    7      세다    6      어렵다    6      지나치다    6      빠르다    6      설다    6      아프다    5      나쁘다    5      가파르다    5      가볍다    5      엄청나다    5      얕다    4      덥다    4      수많다    4      굳세다    4      놀랍다    4      안타깝다    3      죠다    3      외롭다    3      뒤늦다    3      차갑다    3      바쁘다    3      옳다    3      맛없다    3      강하다    2      반갑다    2      험하다    2      부럽다    2      정겹다    2      예뿌다    2      웁다    2      아무렇다    2      똑같다    2      야무지다    2      얇다    2      옅다    2      이렇다    2      인상깊다    2      엷다    2      비싸다    2      쎄다    2      손쉽다    2      뜨다    2      부드럽다    2      맛나다    2      어딨다    2      고르다    2      맵다    2      굵다    2      나다    2      낫다    1      자리다    1      빨갛다    1      미끄럽다    1  
AREA6,    좋다    182      있다    129      많다    108      없다    99      같다    83      맛있다    75      예쁘다    20      크다    20      힘들다    18      작다    16      넓다    15      재밌다    14      편하다    14      괜찮다    10      높다    9      길다    9     다 르다    9      짧다    8      아쉽다    8      알차다    6      늦다    6      좁다    6      가볍다    6      적다    6      쉽다    5      빠르다    5      그렇다    4      멋있다    4      귀엽다    4      낡다    4      급하다    4      덥다    4      재미있다    4      비싸다    4      새롭다    4      엄청나다    3      낮다    3      맑다    3      어렵다    3      이렇다    3      깊다    3      이쁘다    3      세다    3      맛나다    3      젊다    2      걸맞다    2      뜨겁다    2      강하다    2      낫다    2      야무지다    2      맛없다    2      무섭다    2      똑같다    2      싸다    2      멋지다    2      흐리다    2      귀여우다    2      나쁘다    2      맵다    2      안타깝다    2      싫다    2      손색없다    1      춥다    1      기막히다    1      독하다    1      상관없다    1      반갑다    1      알맞다    1      심하다    1      고프다    1      낯설다    1      나다    1      어둡다    1      놀랍다    1      밤늦다    1      즐겁다    1      남부럽다    1      귀찮다    1      가깝다    1      새까맣다    1      착하다    1      추우다    1      두껍다    1      사이좋다    1      굵다    1      우연찮다    1      지겹다    1      부드럽다    1      무겁다    1      아름답다    1      배부르다    1      덜하다    1      설다    1      곱다    1      겉다    1      멋쩍다    1      재미나다    1      고르다    1      까맣다    1      촌스럽다    1  
BIFF 광장,    좋다    109      맛있다    94      같다    84      없다    82      많다    75      있다    67      예쁘다    11      크다    11      넓다    10      괜찮다    10      길다    9      작다    9      그렇다    8      힘들다    7      높다    7      귀엽다    6      늦다    6      아쉽다    6      적다    5      수많다    5      덥다    5      이쁘다    4      알차다    4      가깝다    4     다 르다    4      편하다    4      짧다    4      멀다    4      나쁘다    3      재밌다    3      좁다    3      맛없다    3      싸다    3      반갑다    3      맑다    3      똑같다    3      진하다    2      나다    2      뽀얗다    2      재미있다    2      부드럽다    2      얼큰하다    2      지나치다    2      묘하다    2      즐겁다    2      뜨겁다    2      새롭다    2      쉽다    2      맛나다    1      갓다    1      춥다    1      멋있다    1      귀찮다    1      흔하다    1      사이좋다    1      어지럽다    1      곱다    1      죠다    1      밝다    1      힘겹다    1      빡세다    1      저렇다    1      게으르다    1      흐리다    1      차다    1      습하다    1      고맙다    1      얇다    1      드넓다    1      싫다    1      끊임없다    1      알맞다    1      착하다    1      낡다    1      옳다    1      어렵다    1      급하다    1      정겹다    1      배부르다    1      지겹다    1  
F1963,    좋다    134      같다    94      있다    92      많다    74      없다    66      맛있다    44      힘들다    16      크다    14      예쁘다    12      넓다    12      재밌다    11      늦다    10      작다    10      아쉽다    9      맑다    8      새롭다    7      귀엽다    6      괜찮다    6      이쁘다    6      높다    5      흐리다    5      멋있다    5      쉽다    4      그렇다    4      즐겁다    4      덥다    4      재미있다    3      편하다    3      반갑다    3      좁다    3      밝다    3      낫다    3      알차다    3      멋지다    3      적다    3      아쉬우다    3      빠르다    3      길다    3      낯설다    3     다 르다    3      짧다    3      엄청나다    2      인상깊다    2      비싸다    2      멀다    2      흔하다    2      맛나다    2      낮다    2      고프다    2      바쁘다    2      귀찮다    2      습하다    2      슴슴하다    2      부드럽다    1      깊다    1      쩔다    1      젊다    1      거칠다    1      굳다    1      어렵다    1      급하다    1      아름답다    1      뜨겁다    1      가볍다    1      심하다    1      뜬금없다    1      강하다    1      옳다    1      세다    1      밭다    1      차다    1      차갑다    1      가깝다    1      환하다    1      어이없다    1      잦다    1      빡세다    1      갓다    1      진하다    1      저렇다    1      추우다    1      쎄다    1      무섭다    1      이렇다    1      걸맞다    1      수많다    1      독하다    1  
KT&G 상상마당 부산,    좋다    1565      없다    1150      같다    1103      있다    910      맛있다    757      많다    720      재밌다    244      힘들다    140      작다    128      크다    124      괜찮다    106      싫다    96      예쁘다    89      아쉽다    89      길다    87      그렇다    84      귀엽다    84      짧다    79      늦다    76      편하다    70      높다    67      넓다    66      귀찮다    64      야무지다    61     다 르다    57      빠르다    53      쉽다    53      알차다    48      재미있다    44      적다    43      덥다    42      멀다    40      이쁘다    40      즐겁다    33      무섭다    33      나쁘다    31      멋있다    30      싸다    30      깊다    30      아프다    30      비싸다    29      고맙다    28      바쁘다    27      똑같다    27      좁다    26      가볍다    26      맛없다    26      가깝다    25      급하다    25      춥다    24      맑다    23      엄청나다    21      부드럽다    19      맛나다    19      어렵다    19      낮다    17      맵다    17      새롭다    16      갓다    14      젊다    13      아깝다    13      배부르다    13      붉다    13      밝다    12      낫다    12      이렇다    11      귀여우다    11      멋지다    11      얇다    11      나다    10      세다    10      무겁다    9      반갑다    9      고르다    9      심하다    9      빡세다    9      정신없다    9      느리다    9      저렇다    9      쎄다    9      부럽다    9      놀랍다    8      검다    8      갑작스럽다    8      조다    8      재미없다    7      착하다    7      뒤늦다    7      진하다    7      힘드다    7      어떻다    6      빨갛다    6      어딨다    6      안녕하다    5      부끄럽다    5      예뿌다    5      고프다    5      시끄럽다    5      죠다    5      굳다    5  
