keyword,adj_102
168계단,맛없다 힘들다 인상깊다 있다 무섭다 빠르다 조그맣다 없다 춥다 급하다 귀엽다 손쉽다 힘드다 갑작스럽다 아쉽다 같다 그렇다 예쁘다 상관없다 알차다 아름답다 착하다 지나치다 멋있다 습하다 야무지다 흔하다 작다 이렇다 다 크다 고프다 넓다 맛있다 높다 겉다 걸맞다 싫다 많다 쉽다 멀다 강하다 귀찮다 빡세다 뿌옇다 늦다 맑다 아프다 심하다 나쁘다 어이없다 르다 적다 얇다 나다 재미있다 무겁다 궂다 고맙다 멋지다 길다 짧다 바쁘다 어렵다 우연찮다 편하다 덥다 가파르다 배부르다 괜찮다 가깝다 좁다 재미없다 좋다 세다 새롭다 검다 비싸다 맛나다 재밌다 이쁘다 느리다
25의용단,낮다 편하다 작다 인상깊다 있다 굵다 괜찮다 어둡다 빠르다 가깝다 밝다 부끄럽다 없다 크다 가볍다 넓다 맛있다 아쉽다 좋다 높다 같다 깊다 예쁘다 그렇다 재미있다 곱다 아름답다 알차다 많다 젊다 엄청나다 귀하다 멋지다 똑같다 길다 빨갛다 이쁘다 짧다 노랗다 어렵다 굳다 정겹다 낡다 늦다
40계단 문화관,맛없다 아쉬우다 힘들다 눈부시다 인상깊다 있다 무섭다 어둡다 두껍다 빠르다 없다 급하다 가볍다 귀엽다 힘드다 아쉽다 같다 그렇다 예쁘다 상관없다 아름답다 알차다 지나치다 멋있다 정겹다 습하다 야무지다 흔하다 드넓다 작다 다 크다 고프다 넓다 맛있다 수많다 아깝다 높다 싫다 많다 쉽다 시끄럽다 멀다 강하다 얕다 귀찮다 죠다 빡세다 낡다 늦다 맑다 정신없다 낮다 흐리다 아프다 심하다 뜨겁다 밝다 나쁘다 어이없다 낯설다 즐겁다 르다 남다르다 적다 비좁다 깊다 재미있다 궂다 어지럽다 젊다 고맙다 멋지다 길다 짧다 어렵다 우연찮다 부드럽다 편하다 활기차다 덥다 가파르다 싸다 괜찮다 굵다 가깝다 좁다 맵다 슬프다 세다 좋다 새롭다 붉다 환하다 배고프다 검다 비싸다 똑같다 파랗다 맛나다 재밌다 힘차다 이쁘다 어떻다
40계단 문화관광테마거리,맛없다 힘들다 인상깊다 있다 무섭다 어둡다 빠르다 없다 급하다 귀엽다 가볍다 갑작스럽다 힘드다 아쉽다 색다르다 같다 예쁘다 그렇다 알차다 아름답다 지나치다 하얗다 멋있다 놀랍다 찐하다 습하다 야무지다 흔하다 작다 이렇다 다 낫다 크다 고프다 넓다 맛있다 수많다 반갑다 높다 싫다 많다 쉽다 멀다 얕다 진하다 귀찮다 죠다 낡다 늦다 빡세다 맑다 낮다 흐리다 아프다 사이좋다 밝다 나쁘다 어이없다 잘다 즐겁다 르다 뜻깊다 적다 비좁다 깊다 나다 재미있다 저렇다 궂다 멋지다 길다 짧다 어렵다 굳다 우연찮다 편하다 활기차다 덥다 가파르다 싸다 괜찮다 배부르다 가깝다 좁다 어려우다 슬프다 좋다 세다 새롭다 붉다 배고프다 비싸다 뒤늦다 똑같다 재밌다 이쁘다
60년전통 할매국밥,아쉬우다 맛없다 힘들다 있다 두껍다 빠르다 없다 급하다 가볍다 귀엽다 힘드다 아쉽다 그렇다 같다 예쁘다 알차다 아름답다 착하다 싱겁다 멋있다 정겹다 습하다 야무지다 흔하다 드넓다 작다 실하다 이렇다 다 낫다 크다 고프다 넓다 맛있다 수많다 아깝다 높다 싫다 많다 엄청나다 스럽다 쉽다 멀다 강하다 진하다 귀찮다 낡다 늦다 맑다 낮다 더럽다 심하다 옳다 나쁘다 기름지다 르다 즐겁다 적다 얇다 질기다 깊다 무겁다 저렇다 드물다 슴슴하다 길다 짧다 바쁘다 뜨다 부드럽다 편하다 덥다 배부르다 싸다 괜찮다 가깝다 뽀얗다 좁다 맵다 좋다 세다 새롭다 비싸다 똑같다 맛나다 재밌다 어떻다
75광장,안타깝다 맛없다 아쉬우다 힘들다 인상깊다 있다 부럽다 못지않다 무섭다 빠르다 쎄다 없다 춥다 급하다 귀엽다 가볍다 손쉽다 힘드다 갑작스럽다 아쉽다 같다 그렇다 예쁘다 아름답다 알차다 지나치다 하얗다 그립다 멋있다 놀랍다 고르다 앙증맞다 정겹다 습하다 야무지다 드넓다 작다 이렇다 희다 다 낫다 크다 넓다 맛있다 수많다 아깝다 반갑다 높다 기쁘다 까맣다 걸맞다 싫다 많다 엄청나다 쉽다 시끄럽다 멀다 강하다 얕다 귀찮다 죠다 빡세다 늦다 맑다 낮다 흐리다 아프다 사이좋다 옳다 밝다 나쁘다 어이없다 낯설다 어떠다 르다 즐겁다 적다 얇다 깊다 나다 재미있다 저렇다 궂다 젊다 웁다 하찮다 멋지다 고맙다 귀하다 길다 빨갛다 외롭다 짧다 바쁘다 어렵다 차갑다 차다 뜨다 쓸데없다 부드럽다 편하다 어딨다 덥다 가파르다 배부르다 괜찮다 굵다 가깝다 좁다 묘하다 찹다 맵다 세다 좋다 험하다 새롭다 붉다 연하다 환하다 곱다 아무렇다 푸르다 배고프다 비싸다 예뿌다 뒤늦다 똑같다 지겹다 맛나다 재밌다 이쁘다 수줍다 알맞다
AREA6,맛없다 안타깝다 덜하다 힘들다 있다 무섭다 어둡다 두껍다 빠르다 없다 춥다 급하다 귀엽다 가볍다 아쉽다 추우다 손색없다 그렇다 같다 예쁘다 상관없다 알차다 착하다 아름답다 지나치다 멋있다 놀랍다 고르다 야무지다 작다 이렇다 다 낫다 크다 고프다 넓다 맛있다 반갑다 높다 겉다 재미나다 까맣다 걸맞다 싫다 많다 엄청나다 쉽다 강하다 귀찮다 낡다 늦다 뿌옇다 맑다 낮다 흐리다 심하다 사이좋다 뜨겁다 나쁘다 낯설다 르다 즐겁다 적다 깊다 나다 재미있다 무겁다 젊다 멋지다 길다 짧다 어렵다 우연찮다 귀여우다 부드럽다 편하다 덥다 싸다 배부르다 괜찮다 굵다 가깝다 어떻다 좁다 맵다 좋다 세다 새롭다 곱다 아무렇다 비싸다 똑같다 지겹다 맛나다 재밌다 이쁘다 알맞다
BIFF 광장,맛없다 힘들다 있다 없다 춥다 급하다 귀엽다 아쉽다 그렇다 같다 예쁘다 알차다 착하다 지나치다 멋있다 정겹다 습하다 힘겹다 흔하다 드넓다 작다 다 크다 넓다 맛있다 수많다 반갑다 높다 싫다 많다 쉽다 멀다 진하다 귀찮다 빡세다 죠다 낡다 늦다 맑다 흐리다 사이좋다 옳다 밝다 뜨겁다 나쁘다 르다 즐겁다 적다 얇다 나다 재미있다 저렇다 어지럽다 고맙다 길다 짧다 어렵다 차다 부드럽다 편하다 갓다 덥다 싸다 괜찮다 배부르다 가깝다 뽀얗다 좁다 묘하다 좋다 새롭다 곱다 똑같다 지겹다 맛나다 재밌다 이쁘다 알맞다
F1963,아쉬우다 힘들다 인상깊다 있다 무섭다 빠르다 쎄다 없다 급하다 귀엽다 가볍다 아쉽다 추우다 같다 예쁘다 그렇다 알차다 아름답다 멋있다 습하다 흔하다 작다 이렇다 다 낫다 크다 고프다 넓다 맛있다 수많다 반갑다 높다 잦다 걸맞다 많다 엄청나다 쉽다 멀다 강하다 진하다 귀찮다 빡세다 늦다 맑다 낮다 흐리다 심하다 옳다 밝다 뜨겁다 어이없다 쩔다 낯설다 즐겁다 르다 적다 깊다 재미있다 저렇다 슴슴하다 젊다 멋지다 길다 짧다 바쁘다 어렵다 차갑다 차다 굳다 뜬금없다 부드럽다 편하다 갓다 덥다 괜찮다 가깝다 좁다 거칠다 좋다 세다 새롭다 환하다 비싸다 맛나다 재밌다 이쁘다
KT&G 상상마당 부산,맛없다 안타깝다 아쉬우다 힘들다 인상깊다 있다 부럽다 못지않다 무섭다 어둡다 두껍다 빠르다 조그맣다 어리다 쎄다 없다 춥다 급하다 귀엽다 가볍다 손쉽다 갑작스럽다 힘드다 아쉽다 추우다 색다르다 손색없다 같다 그렇다 예쁘다 상관없다 해맑다 알차다 싱겁다 착하다 아름답다 잽싸다 지나치다 하얗다 멋있다 놀랍다 고르다 앙증맞다 정겹다 습하다 야무지다 힘겹다 흔하다 안녕하다 드넓다 작다 이렇다 다 낫다 부끄럽다 크다 고프다 넓다 맛있다 수많다 아깝다 반갑다 높다 잦다 겉다 기쁘다 재미나다 까맣다 싫다 더우다 많다 엄청나다 쉽다 시끄럽다 멀다 강하다 틀림없다 얕다 진하다 귀찮다 빡세다 죠다 늦다 낡다 맑다 낮다 정신없다 동그랗다 흐리다 아프다 더럽다 심하다 과하다 오래다 밝다 뜨겁다 나쁘다 어이없다 쩔다 기름지다 낯설다 잘다 어떠다 즐겁다 르다 뜻깊다 적다 얇다 질기다 깊다 나다 재미있다 조다 무겁다 저렇다 어지럽다 젊다 웁다 궂다 고맙다 멋지다 길다 귀하다 빨갛다 외롭다 재빠르다 짧다 바쁘다 어렵다 굳다 차갑다 우연찮다 귀여우다 뜨다 쓸데없다 뜬금없다 부드럽다 편하다 가까우다 갓다 활기차다 어딨다 덥다 싸다 배부르다 괜찮다 굵다 가파르다 따갑다 가깝다 뽀얗다 좁다 재미없다 묘하다 무지하다 어려우다 맵다 슬프다 좋다 세다 새롭다 험하다 붉다 찹다 연하다 환하다 곱다 아무렇다 푸르다 검다 배고프다 약하다 비싸다 예뿌다 뒤늦다 똑같다 파랗다 맛나다 재밌다 이쁘다 노랗다 짙다 어떻다 느리다
