,keyword,adj_102
0,168계단,맛없다 힘들다 인상깊다 빠르다 귀엽다 손쉽다 아쉽다 예쁘다 알차다 아름답다 착하다 멋있다 습하다 야무지다 작다 크다 넓다 맛있다 높다 많다 늦다 맑다 재미있다 고맙다 멋지다 길다 짧다 편하다 가파르다 배부르다 괜찮다 재미없다 새롭다 비싸다 맛나다 재밌다 이쁘다 느리다
1,25의용단, 편하다 작다 인상깊다 괜찮다 어둡다 빠르다 밝다 부끄럽다 크다 넓다 맛있다 아쉽다 높다 깊다 예쁘다 재미있다 곱다 아름답다 알차다 많다 엄청나다 귀하다 멋지다 길다 이쁘다 짧다 정겹다 늦다
2,40계단 문화관,맛없다 힘들다 눈부시다 인상깊다 어둡다 빠르다 귀엽다 아쉽다 예쁘다 아름답다 알차다 멋있다 정겹다 습하다 야무지다 드넓다 작다 크다 넓다 맛있다 높다 많다 시끄럽다 늦다 맑다 정신없다 흐리다 뜨겁다 밝다 낯설다 즐겁다 남다르다 깊다 재미있다 고맙다 멋지다 길다 짧다 부드럽다 편하다 활기차다 가파르다 괜찮다 슬프다 새롭다 붉다 환하다 배고프다 비싸다 파랗다 맛나다 재밌다 힘차다 이쁘다 
3,40계단 문화관광테마거리,맛없다 힘들다 인상깊다 어둡다 빠르다 귀엽다 아쉽다 색다르다 예쁘다 알차다 아름답다 멋있다 놀랍다 습하다 야무지다 작다 낫다 크다 넓다 맛있다 반갑다 높다 많다 진하다 늦다 맑다 흐리다 사이좋다 밝다 즐겁다 뜻깊다 깊다 재미있다 멋지다 길다 짧다 편하다 활기차다 가파르다 괜찮다 배부르다 슬프다 새롭다 붉다 배고프다 비싸다 재밌다 이쁘다
4,60년전통 할매국밥, 맛없다 힘들다 빠르다 귀엽다 아쉽다 예쁘다 알차다 아름답다 착하다 싱겁다 멋있다 정겹다 습하다 야무지다 드넓다 작다 낫다 크다 넓다 맛있다 높다 많다 엄청나다 진하다 늦다 맑다 더럽다 옳다 기름지다 즐겁다 깊다 드물다 슴슴하다 길다 짧다 부드럽다 편하다 배부르다 괜찮다 새롭다 비싸다 맛나다 재밌다 
5,75광장, 맛없다 힘들다 인상깊다 부럽다 빠르다 귀엽다 손쉽다 아쉽다 예쁘다 아름답다 알차다 그립다 멋있다 놀랍다 앙증맞다 정겹다 습하다 야무지다 드넓다 작다 낫다 크다 넓다 맛있다 반갑다 높다 기쁘다 많다 엄청나다 시끄럽다 늦다 맑다 흐리다 사이좋다 옳다 밝다 낯설다 즐겁다 깊다 재미있다 멋지다 고맙다 귀하다 길다 외롭다 짧다 차갑다 부드럽다 편하다 가파르다 배부르다 괜찮다 험하다 새롭다 붉다 연하다 환하다 곱다 푸르다 배고프다 비싸다 예뿌다 맛나다 재밌다 이쁘다 알맞다
6,AREA6,맛없다 힘들다 어둡다 빠르다 귀엽다 아쉽다 예쁘다 알차다 착하다 아름답다 멋있다 놀랍다 야무지다 작다 낫다 크다 넓다 맛있다 반갑다 높다 재미나다 많다 엄청나다 늦다 맑다 흐리다 사이좋다 뜨겁다 낯설다 즐겁다 깊다 재미있다 멋지다 길다 짧다 귀여우다 부드럽다 편하다 배부르다 괜찮다 새롭다 곱다 비싸다 맛나다 재밌다 이쁘다 알맞다
7,BIFF 광장,맛없다 힘들다 귀엽다 아쉽다 예쁘다 알차다 착하다 멋있다 정겹다 습하다 힘겹다 드넓다 작다 크다 넓다 맛있다 반갑다 높다 많다 진하다 늦다 맑다 흐리다 사이좋다 옳다 밝다 뜨겁다 즐겁다 재미있다 고맙다 길다 짧다 부드럽다 편하다 괜찮다 배부르다 새롭다 곱다 맛나다 재밌다 이쁘다 알맞다
8,F1963, 힘들다 인상깊다 빠르다 귀엽다 아쉽다 예쁘다 알차다 아름답다 멋있다 습하다 작다 낫다 크다 넓다 맛있다 반갑다 높다 많다 엄청나다 진하다 늦다 맑다 흐리다 옳다 밝다 뜨겁다 낯설다 즐겁다 깊다 재미있다 슴슴하다 멋지다 길다 짧다 차갑다 부드럽다 편하다 괜찮다 새롭다 환하다 비싸다 맛나다 재밌다 이쁘다
9,KT&G 상상마당 부산,맛없다 힘들다 인상깊다 부럽다 어둡다 빠르다 귀엽다 손쉽다 아쉽다 색다르다 예쁘다 해맑다 알차다 싱겁다 착하다 아름답다 멋있다 놀랍다 앙증맞다 정겹다 습하다 야무지다 힘겹다 드넓다 작다 낫다 부끄럽다 크다 넓다 맛있다 반갑다 높다 기쁘다 재미나다 많다 엄청나다 시끄럽다 진하다 늦다 맑다 정신없다 흐리다 더럽다 과하다 밝다 뜨겁다 기름지다 낯설다 즐겁다 뜻깊다 깊다 재미있다 고맙다 멋지다 길다 귀하다 외롭다 짧다 차갑다 귀여우다 부드럽다 편하다 활기차다 배부르다 괜찮다 가파르다 재미없다 슬프다 새롭다 험하다 붉다 연하다 환하다 곱다 푸르다 배고프다 비싸다 예뿌다 파랗다 맛나다 재밌다 이쁘다 느리다
