keyword,adj_unique,pre,isinTrue,intersection
168계단, 맛없다 무덥다 힘들다 인상깊다 있다 무섭다 빠르다 조그맣다 없다 춥다 급하다 귀엽다 손쉽다 힘드다 갑작스럽다 아쉽다 같다 그렇다 예쁘다 상관없다 알차다 아름답다 착하다 지나치다 멋있다 습하다 야무지다 흔하다 작다 이렇다 다 크다 식다 고프다 넓다 맛있다 높다 겉다 걸맞다 싫다 많다 쉽다 멀다 강하다 귀찮다 빡세다 뿌옇다 늦다 맑다 아프다 심하다 나쁘다 어이없다 르다 적다 얇다 까다롭다 나다 재미있다 무겁다 궂다 고맙다 멋지다 길다 짧다 바쁘다 어렵다 우연찮다 편하다 덥다 가파르다 배부르다 괜찮다 가깝다 고되다 좁다 재미없다 좋다 세다 새롭다 검다 비싸다 어마다 맛나다 재밌다 이쁘다 느리다 ,"['', '맛없다', '무덥다', '힘들다', '인상깊다', '있다', '무섭다', '빠르다', '조그맣다', '없다', '춥다', '급하다', '귀엽다', '손쉽다', '힘드다', '갑작스럽다', '아쉽다', '같다', '그렇다', '예쁘다', '상관없다', '알차다', '아름답다', '착하다', '지나치다', '멋있다', '습하다', '야무지다', '흔하다', '작다', '이렇다', '다', '크다', '식다', '고프다', '넓다', '맛있다', '높다', '겉다', '걸맞다', '싫다', '많다', '쉽다', '멀다', '강하다', '귀찮다', '빡세다', '뿌옇다', '늦다', '맑다', '아프다', '심하다', '나쁘다', '어이없다', '르다', '적다', '얇다', '까다롭다', '나다', '재미있다', '무겁다', '궂다', '고맙다', '멋지다', '길다', '짧다', '바쁘다', '어렵다', '우연찮다', '편하다', '덥다', '가파르다', '배부르다', '괜찮다', '가깝다', '고되다', '좁다', '재미없다', '좋다', '세다', '새롭다', '검다', '비싸다', '어마다', '맛나다', '재밌다', '이쁘다', '느리다', '']","['무덥다', '인상깊다', '귀엽다', '손쉽다', '예쁘다', '알차다', '아름답다', '멋있다', '습하다', '야무지다', '맑다', '까다롭다', '고맙다', '멋지다', '편하다', '가파르다', '배부르다', '고되다', '새롭다', '비싸다', '맛나다', '이쁘다']","['맑다', '멋지다', '고맙다', '맛나다', '아름답다', '손쉽다', '멋있다', '새롭다', '무덥다', '가파르다', '이쁘다', '인상깊다', '까다롭다', '배부르다', '알차다', '편하다', '예쁘다', '비싸다', '고되다', '습하다', '야무지다', '귀엽다']"
25의용단, 낮다 편하다 작다 인상깊다 있다 헛되다 굵다 괜찮다 어둡다 빠르다 가깝다 밝다 부끄럽다 없다 크다 가볍다 넓다 맛있다 아쉽다 좋다 높다 같다 깊다 예쁘다 그렇다 재미있다 곱다 아름답다 알차다 많다 젊다 엄청나다 귀하다 멋지다 동그렇다 똑같다 길다 빨갛다 이쁘다 짧다 노랗다 어렵다 굳다 정겹다 낡다 늦다 ,"['', '낮다', '편하다', '작다', '인상깊다', '있다', '헛되다', '굵다', '괜찮다', '어둡다', '빠르다', '가깝다', '밝다', '부끄럽다', '없다', '크다', '가볍다', '넓다', '맛있다', '아쉽다', '좋다', '높다', '같다', '깊다', '예쁘다', '그렇다', '재미있다', '곱다', '아름답다', '알차다', '많다', '젊다', '엄청나다', '귀하다', '멋지다', '동그렇다', '똑같다', '길다', '빨갛다', '이쁘다', '짧다', '노랗다', '어렵다', '굳다', '정겹다', '낡다', '늦다', '']","['편하다', '인상깊다', '어둡다', '부끄럽다', '예쁘다', '곱다', '아름답다', '알차다', '엄청나다', '귀하다', '멋지다', '이쁘다', '정겹다']","['곱다', '알차다', '이쁘다', '편하다', '예쁘다', '귀하다', '부끄럽다', '어둡다', '엄청나다', '정겹다', '인상깊다', '아름답다', '멋지다']"
40계단 문화관광테마거리, 맛없다 무덥다 힘들다 인상깊다 있다 무섭다 어둡다 빠르다 없다 급하다 귀엽다 가볍다 갑작스럽다 힘드다 아쉽다 색다르다 심심찮다 맑디맑다 같다 예쁘다 그렇다 알차다 아름답다 지나치다 하얗다 멋있다 놀랍다 속상하다 찐하다 매끄럽다 습하다 야무지다 흔하다 작다 이렇다 다 낫다 크다 고프다 넓다 맛있다 우습다 수많다 반갑다 높다 달갑다 싫다 많다 그만이다 쉽다 멀다 얕다 진하다 귀찮다 죠다 낡다 늦다 빡세다 맑다 낮다 흐리다 아프다 사이좋다 밝다 나쁘다 어이없다 잘다 즐겁다 르다 뜻깊다 덩그러다 적다 비좁다 깊다 나다 재미있다 저렇다 궂다 멋지다 길다 짧다 어렵다 굳다 우연찮다 편하다 활기차다 덥다 가파르다 싸다 괜찮다 덧없다 배부르다 가깝다 좁다 언짢다 어려우다 슬프다 좋다 세다 새롭다 붉다 배고프다 비싸다 어설프다 뒤늦다 똑같다 재밌다 이쁘다 싶다 ,"['', '맛없다', '무덥다', '힘들다', '인상깊다', '있다', '무섭다', '어둡다', '빠르다', '없다', '급하다', '귀엽다', '가볍다', '갑작스럽다', '힘드다', '아쉽다', '색다르다', '심심찮다', '맑디맑다', '같다', '예쁘다', '그렇다', '알차다', '아름답다', '지나치다', '하얗다', '멋있다', '놀랍다', '속상하다', '찐하다', '매끄럽다', '습하다', '야무지다', '흔하다', '작다', '이렇다', '다', '낫다', '크다', '고프다', '넓다', '맛있다', '우습다', '수많다', '반갑다', '높다', '달갑다', '싫다', '많다', '그만이다', '쉽다', '멀다', '얕다', '진하다', '귀찮다', '죠다', '낡다', '늦다', '빡세다', '맑다', '낮다', '흐리다', '아프다', '사이좋다', '밝다', '나쁘다', '어이없다', '잘다', '즐겁다', '르다', '뜻깊다', '덩그러다', '적다', '비좁다', '깊다', '나다', '재미있다', '저렇다', '궂다', '멋지다', '길다', '짧다', '어렵다', '굳다', '우연찮다', '편하다', '활기차다', '덥다', '가파르다', '싸다', '괜찮다', '덧없다', '배부르다', '가깝다', '좁다', '언짢다', '어려우다', '슬프다', '좋다', '세다', '새롭다', '붉다', '배고프다', '비싸다', '어설프다', '뒤늦다', '똑같다', '재밌다', '이쁘다', '싶다', '']","['무덥다', '인상깊다', '어둡다', '귀엽다', '색다르다', '심심찮다', '예쁘다', '알차다', '아름답다', '멋있다', '놀랍다', '속상하다', '매끄럽다', '습하다', '야무지다', '우습다', '반갑다', '진하다', '맑다', '흐리다', '즐겁다', '뜻깊다', '멋지다', '편하다', '활기차다', '가파르다', '배부르다', '슬프다', '새롭다', '배고프다', '비싸다', '이쁘다']","['슬프다', '반갑다', '맑다', '심심찮다', '멋지다', '어둡다', '뜻깊다', '진하다', '매끄럽다', '색다르다', '아름답다', '활기차다', '멋있다', '새롭다', '놀랍다', '무덥다', '가파르다', '우습다', '이쁘다', '인상깊다', '배부르다', '알차다', '흐리다', '편하다', '예쁘다', '비싸다', '즐겁다', '속상하다', '습하다', '야무지다', '귀엽다', '배고프다']"
60년전통 할매국밥, 아쉬우다 맛없다 힘들다 있다 두껍다 빠르다 없다 급하다 가볍다 귀엽다 힘드다 아쉽다 가벼우다 그렇다 같다 예쁘다 알차다 아름답다 착하다 싱겁다 멋있다 정겹다 습하다 야무지다 옛스럽다 흔하다 드넓다 작다 실하다 이렇다 다 낫다 크다 고프다 넓다 맛있다 수많다 단촐하다 아깝다 높다 싫다 많다 엄청나다 스럽다 쉽다 멀다 강하다 진하다 귀찮다 낡다 늦다 맑다 낮다 더럽다 심하다 옳다 나쁘다 기름지다 르다 즐겁다 적다 벅차다 얇다 질기다 깊다 무겁다 저렇다 드물다 슴슴하다 길다 짧다 바쁘다 척하다 뜨다 부드럽다 편하다 덥다 배부르다 싸다 괜찮다 가깝다 뽀얗다 좁다 맵다 좋다 세다 새롭다 매우다 비싸다 똑같다 맛나다 재밌다 두텁다 어떻다 모자라다 ,"['', '아쉬우다', '맛없다', '힘들다', '있다', '두껍다', '빠르다', '없다', '급하다', '가볍다', '귀엽다', '힘드다', '아쉽다', '가벼우다', '그렇다', '같다', '예쁘다', '알차다', '아름답다', '착하다', '싱겁다', '멋있다', '정겹다', '습하다', '야무지다', '옛스럽다', '흔하다', '드넓다', '작다', '실하다', '이렇다', '다', '낫다', '크다', '고프다', '넓다', '맛있다', '수많다', '단촐하다', '아깝다', '높다', '싫다', '많다', '엄청나다', '스럽다', '쉽다', '멀다', '강하다', '진하다', '귀찮다', '낡다', '늦다', '맑다', '낮다', '더럽다', '심하다', '옳다', '나쁘다', '기름지다', '르다', '즐겁다', '적다', '벅차다', '얇다', '질기다', '깊다', '무겁다', '저렇다', '드물다', '슴슴하다', '길다', '짧다', '바쁘다', '척하다', '뜨다', '부드럽다', '편하다', '덥다', '배부르다', '싸다', '괜찮다', '가깝다', '뽀얗다', '좁다', '맵다', '좋다', '세다', '새롭다', '매우다', '비싸다', '똑같다', '맛나다', '재밌다', '두텁다', '어떻다', '모자라다', '']","['귀엽다', '예쁘다', '알차다', '아름답다', '싱겁다', '멋있다', '정겹다', '습하다', '야무지다', '드넓다', '엄청나다', '진하다', '맑다', '기름지다', '즐겁다', '벅차다', '드물다', '슴슴하다', '부드럽다', '편하다', '배부르다', '새롭다', '비싸다', '맛나다']","['드물다', '맑다', '정겹다', '부드럽다', '드넓다', '진하다', '맛나다', '아름답다', '멋있다', '슴슴하다', '새롭다', '싱겁다', '엄청나다', '기름지다', '배부르다', '알차다', '편하다', '예쁘다', '벅차다', '비싸다', '즐겁다', '습하다', '야무지다', '귀엽다']"
AREA6, 맛없다 안타깝다 덜하다 힘들다 있다 무섭다 독하다 어둡다 두껍다 빠르다 없다 춥다 급하다 귀엽다 가볍다 매섭다 아쉽다 추우다 손색없다 그렇다 같다 예쁘다 상관없다 알차다 착하다 아름답다 설다 지나치다 멋있다 놀랍다 고르다 야무지다 남부럽다 작다 이렇다 다 낫다 멋쩍다 크다 고프다 넓다 맛있다 반갑다 촌스럽다 높다 겉다 재미나다 까맣다 걸맞다 싫다 많다 엄청나다 쉽다 강하다 귀찮다 낡다 늦다 뿌옇다 맑다 낮다 흐리다 심하다 사이좋다 뜨겁다 나쁘다 낯설다 새까맣다 르다 즐겁다 적다 깊다 나다 재미있다 무겁다 젊다 멋지다 길다 짧다 어렵다 우연찮다 귀여우다 부드럽다 편하다 덥다 싸다 배부르다 괜찮다 굵다 게으르다 가깝다 어떻다 좁다 맵다 좋다 세다 새롭다 곱다 아무렇다 비싸다 기막히다 어설프다 똑같다 지겹다 맛나다 재밌다 이쁘다 밤늦다 알맞다 ,"['', '맛없다', '안타깝다', '덜하다', '힘들다', '있다', '무섭다', '독하다', '어둡다', '두껍다', '빠르다', '없다', '춥다', '급하다', '귀엽다', '가볍다', '매섭다', '아쉽다', '추우다', '손색없다', '그렇다', '같다', '예쁘다', '상관없다', '알차다', '착하다', '아름답다', '설다', '지나치다', '멋있다', '놀랍다', '고르다', '야무지다', '남부럽다', '작다', '이렇다', '다', '낫다', '멋쩍다', '크다', '고프다', '넓다', '맛있다', '반갑다', '촌스럽다', '높다', '겉다', '재미나다', '까맣다', '걸맞다', '싫다', '많다', '엄청나다', '쉽다', '강하다', '귀찮다', '낡다', '늦다', '뿌옇다', '맑다', '낮다', '흐리다', '심하다', '사이좋다', '뜨겁다', '나쁘다', '낯설다', '새까맣다', '르다', '즐겁다', '적다', '깊다', '나다', '재미있다', '무겁다', '젊다', '멋지다', '길다', '짧다', '어렵다', '우연찮다', '귀여우다', '부드럽다', '편하다', '덥다', '싸다', '배부르다', '괜찮다', '굵다', '게으르다', '가깝다', '어떻다', '좁다', '맵다', '좋다', '세다', '새롭다', '곱다', '아무렇다', '비싸다', '기막히다', '어설프다', '똑같다', '지겹다', '맛나다', '재밌다', '이쁘다', '밤늦다', '알맞다', '']","['어둡다', '귀엽다', '예쁘다', '알차다', '아름답다', '멋있다', '놀랍다', '야무지다', '반갑다', '촌스럽다', '재미나다', '엄청나다', '맑다', '흐리다', '뜨겁다', '낯설다', '즐겁다', '멋지다', '귀여우다', '부드럽다', '편하다', '배부르다', '새롭다', '곱다', '비싸다', '맛나다', '이쁘다', '밤늦다', '알맞다']","['낯설다', '반갑다', '재미나다', '맑다', '부드럽다', '멋지다', '어둡다', '맛나다', '아름답다', '멋있다', '새롭다', '곱다', '놀랍다', '뜨겁다', '엄청나다', '이쁘다', '알맞다', '배부르다', '귀여우다', '촌스럽다', '알차다', '흐리다', '편하다', '예쁘다', '비싸다', '밤늦다', '즐겁다', '야무지다', '귀엽다']"
BIFF 광장, 맛없다 힘들다 있다 없다 춥다 급하다 귀엽다 아쉽다 그렇다 같다 예쁘다 알차다 착하다 지나치다 멋있다 정겹다 습하다 힘겹다 흔하다 드넓다 작다 다 크다 넓다 맛있다 수많다 반갑다 높다 싫다 많다 쉽다 멀다 진하다 귀찮다 빡세다 죠다 낡다 늦다 맑다 흐리다 사이좋다 옳다 밝다 뜨겁다 나쁘다 르다 즐겁다 적다 얇다 나다 재미있다 저렇다 어지럽다 고맙다 길다 짧다 어렵다 차다 얼큰하다 부드럽다 편하다 갓다 덥다 싸다 게으르다 괜찮다 배부르다 가깝다 뽀얗다 좁다 묘하다 좋다 새롭다 곱다 끊임없다 똑같다 지겹다 맛나다 재밌다 이쁘다 알맞다 ,"['', '맛없다', '힘들다', '있다', '없다', '춥다', '급하다', '귀엽다', '아쉽다', '그렇다', '같다', '예쁘다', '알차다', '착하다', '지나치다', '멋있다', '정겹다', '습하다', '힘겹다', '흔하다', '드넓다', '작다', '다', '크다', '넓다', '맛있다', '수많다', '반갑다', '높다', '싫다', '많다', '쉽다', '멀다', '진하다', '귀찮다', '빡세다', '죠다', '낡다', '늦다', '맑다', '흐리다', '사이좋다', '옳다', '밝다', '뜨겁다', '나쁘다', '르다', '즐겁다', '적다', '얇다', '나다', '재미있다', '저렇다', '어지럽다', '고맙다', '길다', '짧다', '어렵다', '차다', '얼큰하다', '부드럽다', '편하다', '갓다', '덥다', '싸다', '게으르다', '괜찮다', '배부르다', '가깝다', '뽀얗다', '좁다', '묘하다', '좋다', '새롭다', '곱다', '끊임없다', '똑같다', '지겹다', '맛나다', '재밌다', '이쁘다', '알맞다', '']","['귀엽다', '예쁘다', '알차다', '멋있다', '정겹다', '습하다', '힘겹다', '드넓다', '반갑다', '진하다', '맑다', '흐리다', '뜨겁다', '즐겁다', '고맙다', '얼큰하다', '부드럽다', '편하다', '배부르다', '새롭다', '곱다', '끊임없다', '맛나다', '이쁘다', '알맞다']","['반갑다', '얼큰하다', '맑다', '정겹다', '드넓다', '부드럽다', '고맙다', '힘겹다', '진하다', '맛나다', '멋있다', '새롭다', '곱다', '끊임없다', '뜨겁다', '이쁘다', '알맞다', '배부르다', '알차다', '흐리다', '편하다', '예쁘다', '즐겁다', '습하다', '귀엽다']"
F1963, 아쉬우다 힘들다 인상깊다 있다 무섭다 독하다 빠르다 쎄다 없다 급하다 귀엽다 가볍다 아쉽다 추우다 같다 예쁘다 그렇다 알차다 아름답다 멋있다 습하다 흔하다 작다 이렇다 다 낫다 크다 고프다 넓다 맛있다 수많다 반갑다 높다 잦다 걸맞다 많다 엄청나다 쉽다 멀다 강하다 진하다 귀찮다 빡세다 늦다 맑다 낮다 흐리다 심하다 옳다 밝다 뜨겁다 어이없다 쩔다 낯설다 즐겁다 르다 적다 깊다 재미있다 저렇다 슴슴하다 젊다 멋지다 길다 짧다 바쁘다 어렵다 차갑다 차다 굳다 밭다 뜬금없다 부드럽다 편하다 갓다 덥다 괜찮다 가깝다 좁다 거칠다 좋다 세다 새롭다 환하다 비싸다 맛나다 재밌다 이쁘다 ,"['', '아쉬우다', '힘들다', '인상깊다', '있다', '무섭다', '독하다', '빠르다', '쎄다', '없다', '급하다', '귀엽다', '가볍다', '아쉽다', '추우다', '같다', '예쁘다', '그렇다', '알차다', '아름답다', '멋있다', '습하다', '흔하다', '작다', '이렇다', '다', '낫다', '크다', '고프다', '넓다', '맛있다', '수많다', '반갑다', '높다', '잦다', '걸맞다', '많다', '엄청나다', '쉽다', '멀다', '강하다', '진하다', '귀찮다', '빡세다', '늦다', '맑다', '낮다', '흐리다', '심하다', '옳다', '밝다', '뜨겁다', '어이없다', '쩔다', '낯설다', '즐겁다', '르다', '적다', '깊다', '재미있다', '저렇다', '슴슴하다', '젊다', '멋지다', '길다', '짧다', '바쁘다', '어렵다', '차갑다', '차다', '굳다', '밭다', '뜬금없다', '부드럽다', '편하다', '갓다', '덥다', '괜찮다', '가깝다', '좁다', '거칠다', '좋다', '세다', '새롭다', '환하다', '비싸다', '맛나다', '재밌다', '이쁘다', '']","['인상깊다', '귀엽다', '예쁘다', '알차다', '아름답다', '멋있다', '습하다', '반갑다', '엄청나다', '진하다', '맑다', '흐리다', '뜨겁다', '낯설다', '즐겁다', '슴슴하다', '멋지다', '차갑다', '부드럽다', '편하다', '새롭다', '환하다', '비싸다', '맛나다', '이쁘다']","['낯설다', '반갑다', '맑다', '부드럽다', '멋지다', '진하다', '맛나다', '환하다', '아름답다', '멋있다', '슴슴하다', '새롭다', '차갑다', '뜨겁다', '엄청나다', '이쁘다', '인상깊다', '알차다', '흐리다', '편하다', '예쁘다', '비싸다', '즐겁다', '습하다', '귀엽다']"
SEA LIFE 부산아쿠아리움, 맛없다 아쉬우다 힘들다 있다 못지않다 무섭다 날래다 어둡다 쌔다 빠르다 안쓰럽다 없다 춥다 급하다 귀엽다 매섭다 아쉽다 날카롭다 바르다 같다 예쁘다 그렇다 앙칼지다 상관없다 아름답다 알차다 지나치다 그립다 멋있다 앙증맞다 야무지다 작다 징그럽다 이렇다 다 크다 넓다 맛있다 수많다 반갑다 촌스럽다 높다 싫다 많다 엄청나다 쉽다 멀다 감쪽같다 강하다 얕다 진하다 귀찮다 늦다 기차다 알맞다 정신없다 뛰어나다 아프다 애꿎다 사이좋다 옳다 밝다 뜨겁다 나쁘다 즐겁다 틀리다 르다 적다 얇다 깊다 재미있다 저렇다 어지럽다 하찮다 멋지다 고맙다 길다 사납다 재빠르다 짧다 바쁘다 어렵다 차갑다 귀여우다 부드럽다 편하다 활기차다 싸다 괜찮다 굵다 좁다 재미없다 무지하다 맵다 슬프다 좋다 세다 새롭다 붉다 검다 비싸다 부끄러우다 지겹다 맛나다 재밌다 이쁘다 어떻다 느리다 ,"['', '맛없다', '아쉬우다', '힘들다', '있다', '못지않다', '무섭다', '날래다', '어둡다', '쌔다', '빠르다', '안쓰럽다', '없다', '춥다', '급하다', '귀엽다', '매섭다', '아쉽다', '날카롭다', '바르다', '같다', '예쁘다', '그렇다', '앙칼지다', '상관없다', '아름답다', '알차다', '지나치다', '그립다', '멋있다', '앙증맞다', '야무지다', '작다', '징그럽다', '이렇다', '다', '크다', '넓다', '맛있다', '수많다', '반갑다', '촌스럽다', '높다', '싫다', '많다', '엄청나다', '쉽다', '멀다', '감쪽같다', '강하다', '얕다', '진하다', '귀찮다', '늦다', '기차다', '알맞다', '정신없다', '뛰어나다', '아프다', '애꿎다', '사이좋다', '옳다', '밝다', '뜨겁다', '나쁘다', '즐겁다', '틀리다', '르다', '적다', '얇다', '깊다', '재미있다', '저렇다', '어지럽다', '하찮다', '멋지다', '고맙다', '길다', '사납다', '재빠르다', '짧다', '바쁘다', '어렵다', '차갑다', '귀여우다', '부드럽다', '편하다', '활기차다', '싸다', '괜찮다', '굵다', '좁다', '재미없다', '무지하다', '맵다', '슬프다', '좋다', '세다', '새롭다', '붉다', '검다', '비싸다', '부끄러우다', '지겹다', '맛나다', '재밌다', '이쁘다', '어떻다', '느리다', '']","['어둡다', '안쓰럽다', '귀엽다', '예쁘다', '아름답다', '알차다', '그립다', '멋있다', '앙증맞다', '야무지다', '반갑다', '촌스럽다', '엄청나다', '진하다', '알맞다', '정신없다', '뛰어나다', '뜨겁다', '즐겁다', '멋지다', '고맙다', '차갑다', '귀여우다', '부드럽다', '편하다', '활기차다', '슬프다', '새롭다', '비싸다', '맛나다', '이쁘다']","['정신없다', '슬프다', '반갑다', '뛰어나다', '부드럽다', '멋지다', '어둡다', '고맙다', '진하다', '맛나다', '아름답다', '활기차다', '멋있다', '새롭다', '차갑다', '그립다', '안쓰럽다', '뜨겁다', '엄청나다', '이쁘다', '알맞다', '귀여우다', '촌스럽다', '알차다', '편하다', '예쁘다', '앙증맞다', '비싸다', '즐겁다', '야무지다', '귀엽다']"
UN평화축제, 힘들다 맑다 편하다 동그랗다 작다 있다 덥다 괜찮다 다 밝다 빼어나다 없다 크다 춥다 귀엽다 넓다 급하다 맛있다 나쁘다 아쉽다 좋다 세다 새롭다 즐겁다 르다 반갑다 높다 같다 예쁘다 깊다 재미있다 저렇다 문제없다 잽싸다 드물다 많다 젊다 엄청나다 길다 쉽다 멀다 재밌다 짧다 바쁘다 얕다 번거로우다 뿌옇다 늦다 ,"['', '힘들다', '맑다', '편하다', '동그랗다', '작다', '있다', '덥다', '괜찮다', '다', '밝다', '빼어나다', '없다', '크다', '춥다', '귀엽다', '넓다', '급하다', '맛있다', '나쁘다', '아쉽다', '좋다', '세다', '새롭다', '즐겁다', '르다', '반갑다', '높다', '같다', '예쁘다', '깊다', '재미있다', '저렇다', '문제없다', '잽싸다', '드물다', '많다', '젊다', '엄청나다', '길다', '쉽다', '멀다', '재밌다', '짧다', '바쁘다', '얕다', '번거로우다', '뿌옇다', '늦다', '']","['맑다', '편하다', '귀엽다', '새롭다', '즐겁다', '반갑다', '예쁘다', '드물다', '엄청나다']","['편하다', '예쁘다', '드물다', '반갑다', '즐겁다', '맑다', '엄청나다', '귀엽다', '새롭다']"
[부산 갈맷길 2코스] 2구간 민락교~오륙도, 훤하다 무덥다 힘들다 눈부시다 있다 부럽다 간데없다 무섭다 빠르다 쨍하다 없다 춥다 급하다 가볍다 매섭다 아쉽다 같다 예쁘다 그렇다 상관없다 아름답다 예뻤다 지나치다 그립다 멋있다 고르다 버겁다 야무지다 드넓다 작다 이렇다 다 낫다 크다 고프다 넓다 맛있다 수많다 아깝다 반갑다 높다 싫다 많다 엄청나다 쉽다 멀다 얕다 빡세다 낡다 뿌옇다 늦다 맑다 낮다 흐리다 아프다 과하다 뜨겁다 르다 즐겁다 적다 좁다랗다 깊다 나다 재미있다 저렇다 드물다 젊다 고맙다 멋지다 귀하다 길다 재빠르다 짧다 어렵다 차갑다 굳다 어김없다 둥글다 편하다 갓다 덥다 괜찮다 가깝다 좁다 좋다 새롭다 붉다 약하다 비싸다 기막히다 끊임없다 파랗다 재밌다 힘차다 이쁘다 어떻다 ,"['', '훤하다', '무덥다', '힘들다', '눈부시다', '있다', '부럽다', '간데없다', '무섭다', '빠르다', '쨍하다', '없다', '춥다', '급하다', '가볍다', '매섭다', '아쉽다', '같다', '예쁘다', '그렇다', '상관없다', '아름답다', '예뻤다', '지나치다', '그립다', '멋있다', '고르다', '버겁다', '야무지다', '드넓다', '작다', '이렇다', '다', '낫다', '크다', '고프다', '넓다', '맛있다', '수많다', '아깝다', '반갑다', '높다', '싫다', '많다', '엄청나다', '쉽다', '멀다', '얕다', '빡세다', '낡다', '뿌옇다', '늦다', '맑다', '낮다', '흐리다', '아프다', '과하다', '뜨겁다', '르다', '즐겁다', '적다', '좁다랗다', '깊다', '나다', '재미있다', '저렇다', '드물다', '젊다', '고맙다', '멋지다', '귀하다', '길다', '재빠르다', '짧다', '어렵다', '차갑다', '굳다', '어김없다', '둥글다', '편하다', '갓다', '덥다', '괜찮다', '가깝다', '좁다', '좋다', '새롭다', '붉다', '약하다', '비싸다', '기막히다', '끊임없다', '파랗다', '재밌다', '힘차다', '이쁘다', '어떻다', '']","['훤하다', '무덥다', '눈부시다', '부럽다', '쨍하다', '예쁘다', '아름답다', '예뻤다', '그립다', '멋있다', '야무지다', '드넓다', '반갑다', '엄청나다', '맑다', '흐리다', '과하다', '뜨겁다', '즐겁다', '드물다', '고맙다', '멋지다', '귀하다', '차갑다', '편하다', '새롭다', '비싸다', '끊임없다', '파랗다', '힘차다', '이쁘다']","['드물다', '쨍하다', '반갑다', '맑다', '드넓다', '고맙다', '멋지다', '파랗다', '눈부시다', '과하다', '아름답다', '멋있다', '새롭다', '부럽다', '차갑다', '무덥다', '그립다', '끊임없다', '귀하다', '훤하다', '뜨겁다', '엄청나다', '이쁘다', '흐리다', '편하다', '예쁘다', '힘차다', '예뻤다', '비싸다', '즐겁다', '야무지다']"
