keyword,intersection
168계단,"['괜찮다', '맛있다', '착하다', '넓다', '맑다', '맛없다', '재밌다', '멋지다', '고맙다', '아쉽다', '맛나다', '아름답다', '손쉽다', '멋있다', '새롭다', '가파르다', '이쁘다', '인상깊다', '까다롭다', '배부르다', '재미있다', '알차다', '힘들다', '편하다', '예쁘다', '재미없다', '비싸다', '습하다', '야무지다', '귀엽다']"
25의용단,"['괜찮다', '맛있다', '넓다', '정겹다', '깊다', '멋지다', '어둡다', '아쉽다', '아름답다', '곱다', '귀하다', '엄청나다', '이쁘다', '인상깊다', '재미있다', '알차다', '편하다', '예쁘다', '부끄럽다', '밝다']"
40계단 문화관,"['괜찮다', '정신없다', '맛있다', '낯설다', '슬프다', '넓다', '맑다', '맛없다', '정겹다', '시끄럽다', '재밌다', '심심찮다', '깊다', '드넓다', '부드럽다', '멋지다', '고맙다', '어둡다', '파랗다', '눈부시다', '아쉽다', '맛나다', '환하다', '아름답다', '활기차다', '멋있다', '남다르다', '새롭다', '가파르다', '뜨겁다', '이쁘다', '인상깊다', '재미있다', '알차다', '힘들다', '편하다', '흐리다', '붉다', '예쁘다', '힘차다', '비싸다', '즐겁다', '습하다', '밝다', '야무지다', '귀엽다', '배고프다']"
40계단 문화관광테마거리,"['괜찮다', '맛있다', '슬프다', '넓다', '반갑다', '맑다', '맛없다', '재밌다', '심심찮다', '깊다', '멋지다', '어둡다', '뜻깊다', '진하다', '아쉽다', '색다르다', '아름답다', '활기차다', '멋있다', '새롭다', '놀랍다', '가파르다', '이쁘다', '인상깊다', '배부르다', '재미있다', '알차다', '힘들다', '편하다', '흐리다', '붉다', '예쁘다', '비싸다', '즐겁다', '속상하다', '습하다', '밝다', '야무지다', '귀엽다', '배고프다']"
60년전통 할매국밥,"['괜찮다', '드물다', '맛있다', '착하다', '넓다', '맑다', '맛없다', '정겹다', '재밌다', '깊다', '드넓다', '부드럽다', '진하다', '아쉽다', '맛나다', '아름답다', '멋있다', '새롭다', '슴슴하다', '싱겁다', '엄청나다', '기름지다', '배부르다', '알차다', '힘들다', '편하다', '예쁘다', '비싸다', '즐겁다', '습하다', '야무지다', '귀엽다']"
75광장,"['괜찮다', '쨍하다', '맛있다', '낯설다', '넓다', '반갑다', '맑다', '맛없다', '정겹다', '시끄럽다', '재밌다', '깊다', '드넓다', '부드럽다', '멋지다', '고맙다', '아쉽다', '순하다', '험하다', '맛나다', '환하다', '연하다', '푸르다', '아름답다', '손쉽다', '멋있다', '새롭다', '예뿌다', '부럽다', '차갑다', '곱다', '놀랍다', '그립다', '가파르다', '기쁘다', '외롭다', '귀하다', '번거롭다', '엄청나다', '이쁘다', '인상깊다', '알맞다', '배부르다', '재미있다', '알차다', '힘들다', '편하다', '흐리다', '붉다', '예쁘다', '앙증맞다', '비싸다', '예뻤다', '즐겁다', '습하다', '밝다', '야무지다', '귀엽다', '배고프다']"
AREA6,"['괜찮다', '맛있다', '낯설다', '착하다', '넓다', '반갑다', '재미나다', '맑다', '맛없다', '재밌다', '깊다', '부드럽다', '멋지다', '어둡다', '아쉽다', '맛나다', '아름답다', '멋있다', '새롭다', '곱다', '놀랍다', '뜨겁다', '엄청나다', '이쁘다', '알맞다', '배부르다', '재미있다', '귀여우다', '촌스럽다', '알차다', '힘들다', '편하다', '흐리다', '예쁘다', '비싸다', '즐겁다', '야무지다', '귀엽다']"
BIFF 광장,"['괜찮다', '맛있다', '착하다', '넓다', '반갑다', '맑다', '맛없다', '정겹다', '재밌다', '드넓다', '부드럽다', '고맙다', '힘겹다', '진하다', '아쉽다', '맛나다', '멋있다', '새롭다', '곱다', '끊임없다', '뜨겁다', '이쁘다', '알맞다', '배부르다', '재미있다', '알차다', '힘들다', '흐리다', '편하다', '예쁘다', '즐겁다', '습하다', '밝다', '귀엽다']"
F1963,"['괜찮다', '맛있다', '낯설다', '넓다', '반갑다', '맑다', '재밌다', '깊다', '부드럽다', '멋지다', '진하다', '아쉽다', '맛나다', '환하다', '아름답다', '멋있다', '새롭다', '슴슴하다', '차갑다', '뜨겁다', '엄청나다', '이쁘다', '인상깊다', '재미있다', '알차다', '힘들다', '흐리다', '편하다', '예쁘다', '비싸다', '즐겁다', '습하다', '밝다', '귀엽다']"
KT&G 상상마당 부산,"['낯설다', '순하다', '변함없다', '곱다', '끊임없다', '외롭다', '뜨겁다', '엄청나다', '이쁘다', '오지다', '힘들다', '앙증맞다', '비싸다', '속상하다', '귀엽다', '배고프다', '드넓다', '파랗다', '아쉽다', '험하다', '손쉽다', '새롭다', '예뿌다', '차갑다', '놀랍다', '귀하다', '싱겁다', '귀여우다', '편하다', '흐리다', '붉다', '밝다', '괜찮다', '맛있다', '착하다', '반갑다', '맑다', '맛없다', '재밌다', '깊다', '멋지다', '고맙다', '어둡다', '진하다', '과하다', '맛나다', '아름답다', '활기차다', '뜨거우다', '가파르다', '번거롭다', '그지없다', '인상깊다', '까다롭다', '배부르다', '재미있다', '해맑다', '즐겁다', '야무지다', '쨍하다', '슬프다', '넓다', '재미나다', '정겹다', '시끄럽다', '부드럽다', '뜻깊다', '힘겹다', '두렵다', '환하다', '색다르다', '연하다', '푸르다', '멋있다', '부럽다', '기쁘다', '구리다', '시리다', '기름지다', '알차다', '예쁘다', '재미없다', '부끄럽다', '습하다', '정신없다']"
