keyword,intersection
168계단,"['맛있다', '맑다', '맛없다', '멋지다', '고맙다', '맛나다', '아름답다', '손쉽다', '멋있다', '새롭다', '무덥다', '가파르다', '이쁘다', '인상깊다', '까다롭다', '배부르다', '알차다', '편하다', '예쁘다', '비싸다', '고되다', '습하다', '야무지다', '귀엽다']"
25의용단,"['곱다', '알차다', '이쁘다', '편하다', '예쁘다', '맛있다', '귀하다', '부끄럽다', '어둡다', '엄청나다', '정겹다', '인상깊다', '아름답다', '밝다', '멋지다']"
40계단 문화관,"['정신없다', '맛있다', '낯설다', '슬프다', '맑다', '맛없다', '정겹다', '시끄럽다', '심심찮다', '드넓다', '부드럽다', '멋지다', '고맙다', '어둡다', '파랗다', '눈부시다', '맛나다', '환하다', '아름답다', '활기차다', '멋있다', '남다르다', '새롭다', '가파르다', '우습다', '뜨겁다', '이쁘다', '인상깊다', '알차다', '편하다', '흐리다', '예쁘다', '붉다', '힘차다', '비싸다', '즐겁다', '습하다', '밝다', '야무지다', '귀엽다', '배고프다']"
40계단 문화관광테마거리,"['맛있다', '슬프다', '반갑다', '맑다', '맛없다', '심심찮다', '어둡다', '멋지다', '뜻깊다', '진하다', '매끄럽다', '색다르다', '아름답다', '활기차다', '멋있다', '새롭다', '놀랍다', '무덥다', '가파르다', '우습다', '이쁘다', '인상깊다', '배부르다', '알차다', '흐리다', '편하다', '예쁘다', '붉다', '비싸다', '즐겁다', '속상하다', '습하다', '밝다', '야무지다', '귀엽다', '배고프다']"
60년전통 할매국밥,"['드물다', '맛있다', '맑다', '맛없다', '정겹다', '드넓다', '부드럽다', '진하다', '맛나다', '아름답다', '멋있다', '슴슴하다', '새롭다', '싱겁다', '엄청나다', '기름지다', '배부르다', '알차다', '편하다', '예쁘다', '벅차다', '비싸다', '즐겁다', '습하다', '야무지다', '귀엽다']"
75광장,"['쨍하다', '맛있다', '낯설다', '반갑다', '맑다', '맛없다', '정겹다', '시끄럽다', '드넓다', '부드럽다', '멋지다', '고맙다', '싱그럽다', '순하다', '험하다', '맛나다', '환하다', '연하다', '푸르다', '아름답다', '손쉽다', '멋있다', '예뿌다', '새롭다', '부럽다', '차갑다', '곱다', '놀랍다', '그립다', '가파르다', '기쁘다', '외롭다', '귀하다', '번거롭다', '엄청나다', '이쁘다', '인상깊다', '알맞다', '배부르다', '알차다', '편하다', '흐리다', '예쁘다', '붉다', '벅차다', '앙증맞다', '비싸다', '예뻤다', '즐겁다', '습하다', '밝다', '야무지다', '귀엽다', '배고프다']"
AREA6,"['맛있다', '낯설다', '반갑다', '재미나다', '맑다', '맛없다', '부드럽다', '어둡다', '멋지다', '맛나다', '아름답다', '멋있다', '새롭다', '곱다', '놀랍다', '뜨겁다', '엄청나다', '이쁘다', '알맞다', '배부르다', '귀여우다', '촌스럽다', '알차다', '흐리다', '편하다', '예쁘다', '비싸다', '밤늦다', '즐겁다', '야무지다', '귀엽다']"
BIFF 광장,"['맛있다', '반갑다', '맑다', '맛없다', '정겹다', '드넓다', '부드럽다', '고맙다', '힘겹다', '진하다', '맛나다', '멋있다', '새롭다', '곱다', '끊임없다', '뜨겁다', '이쁘다', '알맞다', '배부르다', '알차다', '흐리다', '편하다', '예쁘다', '즐겁다', '습하다', '밝다', '귀엽다']"
F1963,"['맛있다', '낯설다', '반갑다', '맑다', '부드럽다', '멋지다', '진하다', '맛나다', '환하다', '아름답다', '멋있다', '슴슴하다', '새롭다', '차갑다', '뜨겁다', '엄청나다', '이쁘다', '인상깊다', '알차다', '흐리다', '편하다', '예쁘다', '비싸다', '즐겁다', '습하다', '밝다', '귀엽다']"
KT&G 상상마당 부산,"['낯설다', '순하다', '변함없다', '곱다', '끊임없다', '외롭다', '뜨겁다', '엄청나다', '이쁘다', '오지다', '앙증맞다', '비싸다', '속상하다', '귀엽다', '배고프다', '드넓다', '파랗다', '험하다', '손쉽다', '새롭다', '예뿌다', '차갑다', '놀랍다', '귀하다', '거하다', '싱겁다', '귀여우다', '편하다', '흐리다', '붉다', '고되다', '밝다', '맛있다', '반갑다', '맑다', '맛없다', '멋지다', '고맙다', '어둡다', '싱그럽다', '진하다', '과하다', '맛나다', '아름답다', '활기차다', '뜨거우다', '가파르다', '번거롭다', '안쓰럽다', '짠하다', '그지없다', '드럽다', '인상깊다', '까다롭다', '배부르다', '해맑다', '즐겁다', '야무지다', '쨍하다', '슬프다', '재미나다', '정겹다', '시끄럽다', '부드럽다', '뜻깊다', '힘겹다', '두렵다', '환하다', '색다르다', '연하다', '푸르다', '멋있다', '부럽다', '기쁘다', '구리다', '시리다', '기름지다', '알차다', '예쁘다', '부끄럽다', '습하다', '정신없다']"
