adj_list,count
많다,557
작다,542
크다,539
맛있다,539
넓다,534
높다,528
괜찮다,523
길다,521
힘들다,518
아쉽다,515
예쁘다,515
편하다,515
재밌다,502
짧다,501
맑다,496
깊다,472
이쁘다,471
귀엽다,460
재미있다,451
멋지다,445
알차다,443
즐겁다,442
멋있다,440
밝다,429
비싸다,428
아름답다,415
엄청나다,414
부드럽다,389
야무지다,380
맛나다,379
새롭다,373
붉다,339
반갑다,320
맛없다,318
부럽다,311
흐리다,306
고맙다,300
진하다,281
배부르다,277
뜨겁다,271
낫다,271
어둡다,257
놀랍다,245
시끄럽다,243
정신없다,227
낯설다,222
착하다,220
드넓다,212
알맞다,212
푸르다,210
차갑다,206
곱다,204
색다르다,204
습하다,202
슬프다,201
예뿌다,194
가파르다,192
정겹다,181
환하다,180
파랗다,180
인상깊다,179
배고프다,177
뜻깊다,171
드물다,175
그립다,171
과하다,170
힘차다,167
재미없다,155
기쁘다,152
부끄럽다,150
귀여우다,148
앙증맞다,141
귀하다,140
눈부시다,139
싱겁다,136
뛰어나다,136
기름지다,132
힘겹다,131
손쉽다,125
활기차다,124
세차다,125
외롭다,123
해맑다,119
남다르다,118
연하다,116
재미나다,116
험하다,114
슴슴하다,106
