adj_list,count
맛있다,539
예쁘다,515
편하다,515
맑다,496
이쁘다,471
귀엽다,460
멋지다,445
알차다,443
즐겁다,442
멋있다,440
밝다,429
비싸다,428
아름답다,415
엄청나다,414
부드럽다,389
야무지다,380
맛나다,379
새롭다,373
붉다,339
반갑다,320
맛없다,318
부럽다,311
흐리다,306
고맙다,300
진하다,281
배부르다,277
뜨겁다,271
어둡다,257
놀랍다,245
시끄럽다,243
정신없다,227
낯설다,222
드넓다,212
알맞다,212
푸르다,210
차갑다,206
곱다,204
색다르다,204
습하다,202
슬프다,201
예뿌다,194
가파르다,192
정겹다,181
환하다,180
파랗다,180
인상깊다,179
배고프다,177
뜻깊다,171
드물다,175
그립다,171
과하다,170
힘차다,167
기쁘다,152
부끄럽다,150
귀여우다,148
앙증맞다,141
귀하다,140
눈부시다,139
싱겁다,136
뛰어나다,136
기름지다,132
힘겹다,131
손쉽다,125
활기차다,124
세차다,125
외롭다,123
해맑다,119
남다르다,118
연하다,116
재미나다,116
험하다,114
슴슴하다,106
오지다,98
쨍하다,97
촌스럽다,97
두렵다,97
구리다,94
순하다,93
까다롭다,90
흐드러지다,90
아름다우다,89
심심찮다,88
속상하다,88
예뻤다,88
드세다,87
끊임없다,87
친하다,86
번거롭다,83
뜨거우다,83
따숩다,83
부드러우다,83
휑하다,83
변함없다,82
그지없다,82
시리다,80
우습다,79
싱그럽다,79
밤늦다,79
무서우다,79
무덥다,78
거하다,78
빡시다,78
드럽다,76
짠하다,76
고되다,75
안쓰럽다,72
경이롭다,68
매끄럽다,67
푸르르다,67
훤하다,66
벅차다,64
