keyword,adj_unique
168계단, 맛없다 무덥다 힘들다 인상깊다 있다 무섭다 빠르다 조그맣다 없다 춥다 급하다 귀엽다 손쉽다 힘드다 갑작스럽다 아쉽다 같다 그렇다 예쁘다 상관없다 알차다 아름답다 착하다 지나치다 멋있다 습하다 야무지다 흔하다 작다 이렇다 다 크다 식다 고프다 넓다 맛있다 높다 겉다 걸맞다 싫다 많다 쉽다 멀다 강하다 귀찮다 빡세다 뿌옇다 늦다 맑다 아프다 심하다 나쁘다 어이없다 르다 적다 얇다 까다롭다 나다 재미있다 무겁다 궂다 고맙다 멋지다 길다 짧다 바쁘다 어렵다 우연찮다 편하다 덥다 가파르다 배부르다 괜찮다 가깝다 고되다 좁다 재미없다 좋다 세다 새롭다 검다 비싸다 어마다 맛나다 재밌다 이쁘다 느리다 
25의용단, 낮다 편하다 작다 인상깊다 있다 헛되다 굵다 괜찮다 어둡다 빠르다 가깝다 밝다 부끄럽다 없다 크다 가볍다 넓다 맛있다 아쉽다 좋다 높다 같다 깊다 예쁘다 그렇다 재미있다 곱다 아름답다 알차다 많다 젊다 엄청나다 귀하다 멋지다 동그렇다 똑같다 길다 빨갛다 이쁘다 짧다 노랗다 어렵다 굳다 정겹다 낡다 늦다 
40계단 문화관, 맛없다 아쉬우다 힘들다 눈부시다 인상깊다 있다 무섭다 어둡다 두껍다 빠르다 없다 급하다 가볍다 귀엽다 힘드다 아쉽다 심심찮다 같다 그렇다 예쁘다 상관없다 아름답다 알차다 지나치다 멋있다 정겹다 습하다 야무지다 흔하다 드넓다 작다 다 크다 고프다 넓다 맛있다 우습다 수많다 아깝다 높다 싫다 많다 쉽다 시끄럽다 멀다 강하다 얕다 귀찮다 죠다 빡세다 낡다 늦다 맑다 정신없다 낮다 흐리다 아프다 흥겹다 심하다 유례없다 뜨겁다 밝다 나쁘다 어이없다 낯설다 즐겁다 르다 남다르다 덩그러다 적다 비좁다 깊다 재미있다 궂다 어지럽다 젊다 고맙다 멋지다 길다 짧다 어렵다 우연찮다 부드럽다 편하다 활기차다 덥다 가파르다 싸다 괜찮다 굵다 덧없다 가깝다 좁다 언짢다 맵다 슬프다 세다 좋다 새롭다 붉다 환하다 배고프다 검다 비싸다 똑같다 파랗다 맛나다 깜다 재밌다 힘차다 이쁘다 어떻다 
40계단 문화관광테마거리, 맛없다 무덥다 힘들다 인상깊다 있다 무섭다 어둡다 빠르다 없다 급하다 귀엽다 가볍다 갑작스럽다 힘드다 아쉽다 색다르다 심심찮다 맑디맑다 같다 예쁘다 그렇다 알차다 아름답다 지나치다 하얗다 멋있다 놀랍다 속상하다 찐하다 매끄럽다 습하다 야무지다 흔하다 작다 이렇다 다 낫다 크다 고프다 넓다 맛있다 우습다 수많다 반갑다 높다 달갑다 싫다 많다 그만이다 쉽다 멀다 얕다 진하다 귀찮다 죠다 낡다 늦다 빡세다 맑다 낮다 흐리다 아프다 사이좋다 밝다 나쁘다 어이없다 잘다 즐겁다 르다 뜻깊다 덩그러다 적다 비좁다 깊다 나다 재미있다 저렇다 궂다 멋지다 길다 짧다 어렵다 굳다 우연찮다 편하다 활기차다 덥다 가파르다 싸다 괜찮다 덧없다 배부르다 가깝다 좁다 언짢다 어려우다 슬프다 좋다 세다 새롭다 붉다 배고프다 비싸다 어설프다 뒤늦다 똑같다 재밌다 이쁘다 싶다 
60년전통 할매국밥, 아쉬우다 맛없다 힘들다 있다 두껍다 빠르다 없다 급하다 가볍다 귀엽다 힘드다 아쉽다 가벼우다 그렇다 같다 예쁘다 알차다 아름답다 착하다 싱겁다 멋있다 정겹다 습하다 야무지다 옛스럽다 흔하다 드넓다 작다 실하다 이렇다 다 낫다 크다 고프다 넓다 맛있다 수많다 단촐하다 아깝다 높다 싫다 많다 엄청나다 스럽다 쉽다 멀다 강하다 진하다 귀찮다 낡다 늦다 맑다 낮다 더럽다 심하다 옳다 나쁘다 기름지다 르다 즐겁다 적다 벅차다 얇다 질기다 깊다 무겁다 저렇다 드물다 슴슴하다 길다 짧다 바쁘다 척하다 뜨다 부드럽다 편하다 덥다 배부르다 싸다 괜찮다 가깝다 뽀얗다 좁다 맵다 좋다 세다 새롭다 매우다 비싸다 똑같다 맛나다 재밌다 두텁다 어떻다 모자라다 
75광장, 불만족스럽다 마땅찮다 장하다 안타깝다 맛없다 아쉬우다 힘들다 인상깊다 있다 부럽다 못지않다 무섭다 빠르다 적잖다 쨍하다 쎄다 없다 춥다 급하다 귀엽다 가볍다 손쉽다 힘드다 갑작스럽다 아쉽다 머다 같다 그렇다 예쁘다 머지않다 아름답다 알차다 설다 예뻤다 지나치다 하얗다 그립다 멋있다 놀랍다 고르다 앙증맞다 정겹다 습하다 야무지다 드넓다 번거롭다 작다 이렇다 희다 다 쑥쓰럽다 낫다 크다 넓다 지대다 맛있다 수많다 아깝다 반갑다 높다 미끄럽다 기쁘다 까맣다 걸맞다 싫다 많다 엄청나다 쉽다 시끄럽다 멀다 강하다 얕다 귀찮다 죠다 빡세다 늦다 맑다 낮다 흐리다 아프다 흥겹다 사이좋다 옳다 후하다 밝다 옅다 자리다 붙다 나쁘다 어이없다 낯설다 어떠다 르다 즐겁다 적다 얇다 벅차다 싱그럽다 깊다 괴롭다 나다 재미있다 저렇다 궂다 젊다 웁다 하찮다 멋지다 고맙다 귀하다 길다 빨갛다 외롭다 짧다 바쁘다 어렵다 차갑다 차다 뜨다 쓸데없다 부드럽다 둥글다 멋없다 편하다 어딨다 덥다 가파르다 배부르다 괜찮다 굵다 지리다 가깝다 좁다 줄기차다 묘하다 찹다 맵다 순하다 세다 좋다 험하다 새롭다 붉다 구다 굳세다 연하다 환하다 곱다 아무렇다 푸르다 서럽다 배고프다 엷다 비싸다 예뿌다 뒤늦다 똑같다 패다 지겹다 맛나다 깜다 재밌다 이쁘다 까지다 수줍다 알맞다 
AREA6, 맛없다 안타깝다 덜하다 힘들다 있다 무섭다 독하다 어둡다 두껍다 빠르다 없다 춥다 급하다 귀엽다 가볍다 매섭다 아쉽다 추우다 손색없다 그렇다 같다 예쁘다 상관없다 알차다 착하다 아름답다 설다 지나치다 멋있다 놀랍다 고르다 야무지다 남부럽다 작다 이렇다 다 낫다 멋쩍다 크다 고프다 넓다 맛있다 반갑다 촌스럽다 높다 겉다 재미나다 까맣다 걸맞다 싫다 많다 엄청나다 쉽다 강하다 귀찮다 낡다 늦다 뿌옇다 맑다 낮다 흐리다 심하다 사이좋다 뜨겁다 나쁘다 낯설다 새까맣다 르다 즐겁다 적다 깊다 나다 재미있다 무겁다 젊다 멋지다 길다 짧다 어렵다 우연찮다 귀여우다 부드럽다 편하다 덥다 싸다 배부르다 괜찮다 굵다 게으르다 가깝다 어떻다 좁다 맵다 좋다 세다 새롭다 곱다 아무렇다 비싸다 기막히다 어설프다 똑같다 지겹다 맛나다 재밌다 이쁘다 밤늦다 알맞다 
BIFF 광장, 맛없다 힘들다 있다 없다 춥다 급하다 귀엽다 아쉽다 그렇다 같다 예쁘다 알차다 착하다 지나치다 멋있다 정겹다 습하다 힘겹다 흔하다 드넓다 작다 다 크다 넓다 맛있다 수많다 반갑다 높다 싫다 많다 쉽다 멀다 진하다 귀찮다 빡세다 죠다 낡다 늦다 맑다 흐리다 사이좋다 옳다 밝다 뜨겁다 나쁘다 르다 즐겁다 적다 얇다 나다 재미있다 저렇다 어지럽다 고맙다 길다 짧다 어렵다 차다 얼큰하다 부드럽다 편하다 갓다 덥다 싸다 게으르다 괜찮다 배부르다 가깝다 뽀얗다 좁다 묘하다 좋다 새롭다 곱다 끊임없다 똑같다 지겹다 맛나다 재밌다 이쁘다 알맞다 
F1963, 아쉬우다 힘들다 인상깊다 있다 무섭다 독하다 빠르다 쎄다 없다 급하다 귀엽다 가볍다 아쉽다 추우다 같다 예쁘다 그렇다 알차다 아름답다 멋있다 습하다 흔하다 작다 이렇다 다 낫다 크다 고프다 넓다 맛있다 수많다 반갑다 높다 잦다 걸맞다 많다 엄청나다 쉽다 멀다 강하다 진하다 귀찮다 빡세다 늦다 맑다 낮다 흐리다 심하다 옳다 밝다 뜨겁다 어이없다 쩔다 낯설다 즐겁다 르다 적다 깊다 재미있다 저렇다 슴슴하다 젊다 멋지다 길다 짧다 바쁘다 어렵다 차갑다 차다 굳다 밭다 뜬금없다 부드럽다 편하다 갓다 덥다 괜찮다 가깝다 좁다 거칠다 좋다 세다 새롭다 환하다 비싸다 맛나다 재밌다 이쁘다 
KT&G 상상마당 부산, 맛없다 안타깝다 장하다 아쉬우다 힘들다 쿨하다 저리다 인상깊다 있다 부럽다 못지않다 무섭다 어둡다 두껍다 빠르다 쨍하다 떫다 적잖다 안쓰럽다 시덥다 조그맣다 어리다 쎄다 가느다 없다 춥다 급하다 귀엽다 가볍다 손쉽다 갑작스럽다 힘드다 아쉽다 추우다 누리다 바르다 색다르다 손색없다 이다 같다 그렇다 예쁘다 더디다 상관없다 해맑다 알차다 싱겁다 착하다 아름답다 드높다 거하다 잽싸다 지나치다 하얗다 시리다 거침없다 케케묵다 멋있다 놀랍다 고르다 속상하다 앙증맞다 아푸다 정겹다 습하다 야무지다 구슬프다 힘겹다 흔하다 안녕하다 드넓다 점잖다 번거롭다 작다 이렇다 나긋나긋하다 때맞다 달큰하다 다 낫다 부끄럽다 크다 고프다 넓다 맛있다 존다 야물딱지다 드럽다 수많다 아깝다 반갑다 높다 아까우다 달갑다 잦다 겉다 기쁘다 미끄럽다 재미나다 까맣다 싫다 더우다 숭하다 둥그렇다 많다 엄청나다 차가우다 쉽다 시끄럽다 멀다 감쪽같다 구리다 글다 우중충하다 강하다 틀림없다 얕다 변함없다 허하다 짠하다 진하다 귀찮다 빡세다 죠다 늦다 낡다 맑다 속되다 낮다 정신없다 동그랗다 흐리다 아프다 더럽다 여깄다 심하다 즐거다 과하다 애꿎다 오래다 후하다 폭넓다 밝다 뜨겁다 밉다 실허다 역겹다 나쁘다 어이없다 쩔다 야하다 기름지다 낯설다 잘다 어떠다 즐겁다 르다 뜻깊다 업다 새까맣다 덩그러다 적다 얇다 질기다 싱그럽다 깊다 괴롭다 나다 재미있다 까다롭다 조다 두렵다 발다 무겁다 저렇다 그럴싸하다 어지럽다 젊다 웁다 궂다 고맙다 멋지다 따시다 름없다 길다 낯익다 우렁차다 귀하다 빨갛다 외롭다 재빠르다 짧다 바쁘다 어렵다 쪼끄맣다 굳다 차갑다 검붉다 쓸모있다 우연찮다 영락없다 밭다 귀여우다 뜨다 쓸데없다 뜬금없다 부드럽다 둥글다 편하다 가까우다 냅다 갓다 활기차다 어딨다 덥다 싸다 배부르다 괜찮다 굵다 억세다 가파르다 따갑다 게으르다 가깝다 그지없다 고되다 뽀얗다 형편없다 좁다 재미없다 오지다 묘하다 무지하다 뜨거우다 씨다 어려우다 맵다 슬프다 좋다 세다 새롭다 험하다 붉다 찹다 순하다 올바르다 연하다 올곧다 어리석다 환하다 따스다 곱다 아무렇다 푸르다 검다 우하다 배고프다 약하다 비싸다 어마다 예뿌다 뒤늦다 끊임없다 똑같다 파랗다 맛나다 깜다 재밌다 이쁘다 싶다 노랗다 짙다 빨르다 망하다 어떻다 잘나다 느리다 
