b_nm,b_long,b_lat
영주삼거리,129.0332617,35.11532333
영주삼거리,129.0330303,35.11528264
시민아파트,129.0316783,35.115075
시민아파트,129.0321599,35.11492136
중앙공원.민주공원입구,129.0298583,35.11447333
중앙공원.민주공원입구,129.0300887,35.11434417
중앙공원.민주공원입구,129.0296517,35.11397
동아아파트,129.0304267,35.11396667
동아아파트,129.0302883,35.11320109
부산터널위,129.031769,35.113068
동주파크맨션,129.02967,35.11144167
동주파크맨션,129.029845,35.11133667
금호아파트,129.03072,35.11149667
금호아파트,129.0306867,35.111095
청운아파트,129.0305383,35.109655
청운아파트,129.0307117,35.10957333
부산디지털고,129.031799,35.109566
부산디지털고,129.0319817,35.109475
부산디지털고,129.0302917,35.10778667
부산디지털고,129.0309883,35.10807167
중구청.메리놀병원,129.0329333,35.10753447
중구청.메리놀병원,129.0339333,35.10772833
중구청.메리놀병원,129.0337202,35.10808872
거북맨션,129.0339339,35.10979623
거북맨션,129.033714,35.10973863
코모도호텔,129.0348783,35.11018833
영주신호대,129.0344317,35.111245
영주동,129.0350043,35.11225491
영주동,129.0354533,35.112065
2부두,129.0406533,35.10856167
2부두,129.04012,35.10828
연안여객터미널,129.039155,35.10607667
연안여객터미널,129.0382717,35.10508333
부산세관,129.03744,35.10401667
제일은행앞,129.0348333,35.10295167
백산기념관.영화체험박물관,129.0342469,35.10268257
부산항만공사,129.037685,35.10077
부산항만공사,129.03792,35.10084167
중앙공원.민주공원,129.028602,35.112736
영도대교.남포역,129.0360163,35.09731831
영도대교.남포역,129.0358941,35.09761822
영도대교.남포역,129.0357433,35.097485
영도대교,129.035885,35.09705833
자갈치시장,129.032435,35.097535
자갈치시장,129.0322508,35.09746438
신동아시장,129.0293006,35.09713381
신동아시장,129.0289312,35.09707595
서구청.충무동,129.0255678,35.09802842
부평시장,129.0251683,35.10125833
부평시장,129.0251584,35.10213678
남포주유소,129.0225112,35.10150561
보수초등학교,129.0238655,35.10562987
보수초등학교,129.02416,35.10544167
보수사거리,129.0243683,35.10324833
보수사거리,129.0245,35.10313
국제시장,129.0286089,35.10284445
국제시장,129.0289521,35.10283595
국제시장,129.0298886,35.10279323
국제시장.부산근대역사관,129.030568,35.10277284
국제시장,129.0301817,35.10294333
국제시장,129.0296161,35.10308166
새들맨션,129.0309433,35.10501667
새들맨션,129.0305017,35.10487333
중구종합사회복지관,129.02863,35.10577
중구종합사회복지관,129.0272822,35.10597296
보수아파트,129.0261567,35.10738667
보수아파트,129.02616,35.10775
혜광고교,129.024225,35.10892333
코모도호텔,129.03493,35.11003333
보수동책방골목,129.0264483,35.10305667
보수동책방골목,129.026864,35.103104
코모도호텔입구,129.0343147,35.10809113
중앙공원.민주공원입구,129.0296898,35.11356783
영주동,129.0371461,35.10954966
영주동,129.037155,35.10902683
중부경찰서삼거리,129.0362468,35.10756417
중앙역.중부경찰서삼거리,129.0362418,35.10670363
중앙역.부산우체국,129.036284,35.10333253
중앙역.부산우체국,129.0364216,35.10467297
부산데파트,129.0364297,35.1008113
부산데파트,129.036658,35.10051458
남포역.옛시청교차로,129.035766,35.09859655
남포역.옛시청교차로,129.0352678,35.09796509
남포동,129.0325367,35.09792981
남포동,129.0319439,35.09790371
자갈치역.비프광장,129.0295042,35.09812482
자갈치역.비프광장,129.0291745,35.09787351
구덕초등학교,129.0129313,35.1195851
구덕초등학교,129.012773,35.119489
서부교육청,129.0119733,35.11816833
서부교육청,129.0122917,35.11736333
동아대병원입구,129.0167113,35.1174473
구덕운동장,129.0167683,35.11655833
동대신3동,129.0182933,35.11722
동대신3동,129.01848,35.11752
동대고개,129.0217543,35.11605684
동대고개,129.02234,35.11587667
대신여중,129.0257783,35.1133
대신여중,129.02608,35.113005
락서암,129.0246133,35.11035667
락서암,129.0248,35.11077
혜광고교,129.0243997,35.10898934
화랑초등학교,129.0227178,35.10983305
화랑초등학교,129.022365,35.10998333
동대시장,129.0199411,35.11065502
동대시장.동대신역,129.0184501,35.11041004
부산터널입구,129.0228448,35.11166396
서여고,129.0212833,35.11262833
서여고,129.0201367,35.11401333
동신초등학교입구,129.0192617,35.11453833
동신초등학교,129.01817,35.11513
동신초등학교,129.0191817,35.11484333
동신초등학교,129.0183503,35.11528762
문화아파트,129.0166483,35.11544584
부경고교,129.0140117,35.114255
구덕운동장,129.0139233,35.11386333
부경고교,129.0136117,35.11328167
삼육부산병원,129.011595,35.112665
삼육부산병원.서대신역,129.0119117,35.11159667
서대신교차로.서대신역,129.0111201,35.11057689
광민약국.서대신동,129.0098167,35.11106833
광민약국.서대신동,129.009755,35.11099833
서대신역.서부경찰서,129.01316,35.11043
서대신역.서대신교차로,129.0132317,35.11225669
부경고교,129.01382,35.11351
구덕운동장(종점),129.0157633,35.11389
구덕운동장,129.01605,35.11335167
서대신우체국,129.0164914,35.11290253
동대신역,129.0171518,35.11107765
서대시장.동대신역,129.0167973,35.1098648
서대시장,129.0161717,35.10945
서대시장.동대신역,129.0173967,35.10979151
서부교회,129.0183,35.10918667
서부교회,129.01924,35.10867667
서부교회,129.0196215,35.10796827
대진아파트,129.0244833,35.08727667
동아대부민캠퍼스,129.0200917,35.106025
동아대학교병원,129.0166502,35.11942772
동아대부민캠퍼스,129.020154,35.105652
동아대부민캠퍼스,129.0202387,35.10497964
대진아파트,129.0245783,35.08735667
영락교회,129.02061,35.10338333
영락교회,129.0207719,35.10317244
부산대학병원.토성역,129.019925,35.10134333
부산대학병원.토성역,129.0197783,35.10133833
토성역.아미동입구,129.018015,35.09994
토성역.아미동입구,129.01867,35.0998
아동보호종합센터,129.0158717,35.10001667
양성슈퍼,129.0133567,35.10022333
까치새길입구,129.01153,35.10138
아름다운교회,129.0109617,35.10309
아름다운교회,129.010835,35.10281333
까치새길입구,129.0114517,35.10139333
양성슈퍼,129.0135117,35.10009833
아동보호종합센터,129.0160533,35.10002833
아미치안센터,129.0160775,35.09943502
아미치안센터,129.016805,35.100007
아미초등학교,129.017205,35.09774333
아미초등학교,129.0172217,35.0978
토성동,129.0205283,35.09805
부산대학병원.토성역,129.0201312,35.09896016
토성동,129.02083,35.09793333
암남공원,129.019225,35.06311833
서구청,129.0251522,35.09764789
충무동해안시장,129.0252464,35.09615736
충무동해안시장,129.025895,35.09631833
자갈치역.충무동해안시장,129.0245128,35.09577425
충무동교차로,129.0242667,35.09562667
자갈치역.충무동교차로,129.0238026,35.09662684
충무동교차로,129.0231017,35.09666333
충무동교차로,129.023415,35.09646167
하동상회,129.0182383,35.09623833
하동상회,129.0182517,35.096015
초장중학교,129.0190867,35.094505
초장중학교,129.019,35.09437833
초장동,129.018436,35.09285671
초장동,129.01875,35.09255
대원사,129.020005,35.091555
대원사,129.0199617,35.09163667
남부민시장입구,129.0221269,35.09265387
남부민시장입구,129.0220787,35.0931382
충무쇼핑.충무동새벽시장,129.023895,35.092815
충무쇼핑.충무동새벽시장,129.0240267,35.09280167
공동어시장,129.024375,35.089665
공동어시장,129.024305,35.08897833
남부민초등학교,129.0234067,35.08782833
남부민초등학교,129.0232983,35.08824167
동천아파트,129.021685,35.09005667
동천아파트,129.021544,35.09054675
남부민동경로당,129.02179,35.08767
남부민동경로당,129.021815,35.087435
천마우편취급국,129.0225133,35.08584833
천마우편취급국,129.0221,35.08515833
등대시장,129.02478,35.08471333
등대시장,129.0249884,35.08432033
대림아파트,129.0251483,35.082445
대림아파트,129.0248883,35.082295
부산관광고교,129.0220017,35.08211833
남부민2동주민센터,129.020285,35.083805
남부민2동주민센터,129.02034,35.083633
부산관광고교,129.0218967,35.08240333
신익아파트,129.02039,35.07998833
신익아파트,129.0202783,35.079405
암남동주민센터,129.0213187,35.07986201
암남동주민센터,129.0217317,35.07976667
송도교차로,129.0183633,35.07836833
송도입구,129.0180467,35.079465
고신대학교복음병원,129.0161511,35.08147046
알로이시오기념병원,129.01282,35.08211833
알로이시오기념병원,129.0128783,35.08187
고신대학교복음병원,129.0159233,35.08125333
송도입구,129.0174606,35.0797797
송도교차로,129.0181188,35.07840113
송도초등학교,129.016815,35.07883833
송도초등학교,129.0164333,35.07841667
송도해수욕장,129.0161333,35.076375
송도해수욕장,129.0158819,35.07673569
송도공영주차장,129.015295,35.074225
송도공영주차장,129.0154117,35.07396667
혜성아파트,129.0161383,35.07149833
혜성아파트,129.0162467,35.07117833
휴게소,129.0192967,35.06607833
휴게소,129.0197883,35.06583167
암남공원,129.0192817,35.06353667
모지포마을입구,129.0163333,35.06279167
모지포마을,129.014585,35.06377167
경성전자고등학교,129.0135498,35.11605574
경성전자고등학교,129.01282,35.11640833
동원냉장,129.012798,35.065605
감천1.2.3부두,129.0094683,35.06832833
동원냉장,129.0129833,35.06564833
민들레맨션,129.0092033,35.10864833
민들레맨션,129.0093917,35.10912667
인성글로벌냉장,129.006735,35.072705
인성글로벌냉장,129.0066367,35.07256333
한일냉장,129.0053883,35.08054
한일냉장,129.005565,35.08002833
서대신금호아파트(종점),129.0111617,35.11932333
송도혜성아파트(종점),129.015955,35.072275
동대신2동,129.0238267,35.11524333
동대신2동,129.0240933,35.11492333
동양레미콘,129.0060017,35.07578667
감천1.2.3부두,129.0094483,35.068205
동양레미콘,129.0060733,35.07618667
대신중학교,129.01375,35.117025
경남고등학교,129.0179917,35.11913667
현대아파트,129.0175323,35.07090221
현대아파트,129.0168217,35.07085667
해강노인관,129.0202183,35.08504167
해강노인관,129.0200583,35.08483
모지포마을,129.014525,35.06372667
성진수산,129.0120101,35.06218652
성진수산,129.0121305,35.06193789
부산국제수산물도매시장,129.011436,35.059938
동아대부민캠퍼스,129.0209211,35.10748733
동아대부민캠퍼스,129.0217737,35.1076376
수산가공선진화단지입구,129.0122832,35.05705224
수산가공선진화단지입구,129.0126056,35.05701535
수산가공선진화단지,129.0119554,35.05463798
부산국제수산물도매시장,129.011483,35.059855
남부민동,129.0179927,35.08326948
동산교회,129.0157694,35.08439027
알로이시오고교,129.0122987,35.08234815
남부민동,129.0184266,35.08302891
서대신역.서부경찰서,129.0143599,35.10998239
천마마을,129.0144322,35.08451163
문화아파트,129.0161216,35.11527679
까치고개,129.011425,35.10458167
범곡교차로,129.0562937,35.14008672
범곡교차로,129.056415,35.14063833
부산범천교회,129.0548604,35.14184118
아름빌아파트,129.0522487,35.14152152
아름빌아파트,129.0522233,35.14167333
서광교회,129.05114,35.139965
서광교회,129.0511583,35.14054333
범일초등학교,129.0490067,35.14069833
삼화약국,129.0487933,35.14337333
삼화약국,129.0485917,35.14352333
범일초등학교,129.0488846,35.14060254
범일초등학교,129.0488685,35.14024605
범일초등학교,129.0488522,35.13990887
성북고개,129.04816,35.138795
범곡교차로,129.056701,35.142082
성북고개,129.0477983,35.13822333
좌천할인마트.서린엘마르더뷰,129.0470004,35.13672468
좌천동농심가슈퍼,129.0472967,35.13684333
수정삼거리,129.04568,35.13534833
수정삼거리,129.04563,35.1352666
수정삼거리,129.0451233,35.135365
수정삼거리,129.0445173,35.13524665
수정5동,129.0446783,35.13402167
수정5동,129.0451059,35.1339176
수정성당입구,129.046115,35.13232833
수정초등학교,129.046995,35.13136667
수성초등학교,129.042705,35.13391167
수성초등학교,129.0425191,35.13387452
동여중,129.042245,35.13232167
동여중,129.0419517,35.131845
수정2동,129.04061,35.13030167
수정2동,129.04121,35.12955333
수정아파트,129.040875,35.12719
수정아파트,129.0410562,35.12726284
묘심사,129.03943,35.12651333
부산서중학교,129.0357555,35.12593656
부산서중학교,129.0348798,35.12615931
부산서중학교,129.035342,35.12599072
초량6동,129.0348467,35.12421
초량6동,129.0346384,35.12424674
부산컴퓨터과학고교,129.0338733,35.12223833
부산컴퓨터과학고교,129.033535,35.122025
금수사,129.0307667,35.11983167
금수사,129.0300703,35.1196332
초량6동주민센터,129.0337367,35.12013667
초량6동주민센터,129.03457,35.120155
(구)해룡약국,129.0361217,35.119645
화신아파트,129.0300883,35.11851833
화신아파트,129.0306367,35.11845
동일파크맨션,129.0336164,35.11687512
동일파크맨션,129.0337287,35.11705984
부산역후문,129.0430417,35.11431167
부산역후문,129.043485,35.1142466
국민은행,129.0396433,35.11718
초량지구대,129.0377286,35.11792622
초량지구대,129.0379783,35.11809667
부산고교,129.038198,35.120503
부산고교,129.0383648,35.12028667
부산고교,129.0390687,35.12052857
부산고교,129.0388219,35.1195063
초량시장입구,129.0407977,35.11864627
부산역.초량시장입구,129.0401425,35.11687316
초량역3번출구,129.041653,35.119834
(구)성분도병원,129.0403283,35.12259833
경남여중,129.042385,35.12411333
인창병원,129.0429317,35.12268333
인창병원,129.0429253,35.12246662
4부두,129.0475395,35.11929966
4부두,129.0472918,35.11975573
고관입구,129.0453733,35.12634833
동구청,129.045055,35.12684333
동구청,129.0448283,35.12681228
수정시장,129.04634,35.12862
수정시장,129.0468267,35.12910333
수정초등학교,129.046895,35.13073667
부두119안전센터,129.0513983,35.12567358
부두119안전센터,129.050723,35.125777
남해지방해양경찰청,129.05485,35.127555
남해지방해양경찰청,129.0545617,35.12751833
범일5동주민센터,129.05423,35.13042333
범일5동주민센터,129.0546233,35.13091333
대양산업,129.0573333,35.13132667
대양산업,129.058905,35.131355
보급창,129.059665,35.132115
자성대,129.06077,35.13458667
자성대,129.0628767,35.13591167
좌천동가구거리(좌천역),129.0552367,35.13527
좌천동가구거리(좌천역),129.0555232,35.13514769
자성대,129.0623367,35.13729
시민회관.동부산우체국,129.0625433,35.13829333
시민회관.동부산우체국,129.0624732,35.1388906
범일동국민은행,129.0608784,35.13892595
자유.평화시장,129.0602515,35.1406355
자유.평화시장,129.0605433,35.14091479
덕림아파트,129.0384861,35.12631553
인창병원,129.0423567,35.12206833
초량어린이집,129.0318436,35.11968113
초량어린이집,129.03185,35.11955833
(구)해룡약국,129.0356267,35.11984833
부산서중학교,129.0348,35.12586
수정4동(종점),129.0387633,35.12741667
범5호교,129.0630217,35.14061
범일초등학교입구,129.051478,35.139865
나웅하이빌,129.053638,35.1388205
나웅하이빌,129.053596,35.1390224
문화아파트,129.053811,35.1364916
문화아파트,129.053998,35.1364147
금성고등학교,129.05213,35.1344761
금성고등학교,129.052361,35.1345623
좌이경로당,129.049849,35.1329991
좌이경로당,129.049795,35.132828
하승빌라,129.048035,35.1341937
하승빌라,129.047909,35.1342808
아르미나아파트,129.0357889,35.12552096
수정1동공영주차장,129.0390241,35.12484024
이편한세상부산항.(구)성분도병원,129.0400831,35.1224433
한성기린아파트,129.056577,35.13913567
부산서중학교,129.0378607,35.12547035
범일초등학교입구,129.0514351,35.14003167
한림유치원,129.0399311,35.12393281
부산항국제여객터미널,129.0483051,35.11776084
부산항국제여객터미널입구,129.0475176,35.11762546
범일5동주민센터,129.0551198,35.13124593
수정산가족체육공원입구,129.0404965,35.13175671
걸스카우트회관,129.0393737,35.12291259
부산고교,129.0387625,35.12061588
눌원빌딩,129.0652516,35.13684331
수정성당입구,129.0462176,35.13265149
안창마을입구,129.04819,35.1444
범일역,129.0592891,35.13749004
범일역,129.059507,35.13873445
부산진시장,129.0593234,35.13536722
부산진시장,129.0595492,35.13671062
자성대교차로,129.0588411,35.13418362
좌천역.좌천삼거리,129.0538661,35.13308302
봉생병원,129.0505044,35.13059194
봉생병원,129.0509792,35.13071457
부산진역,129.048828,35.12891709
부산진역,129.0488073,35.12852994
YMCA,129.0450769,35.12520457
YMCA,129.0456132,35.12537575
경남여중입구,129.0437924,35.12295981
경남여중입구,129.0438351,35.12247696
초량역.초량교차로,129.0423633,35.12019929
초량역.초량교차로,129.0422824,35.11959236
부산역,129.0400122,35.11607999
부산역,129.0399718,35.1155625
미광마린타워,129.043095,35.09360833
영도봉래시장,129.0432417,35.09332833
해동병원,129.0441417,35.091975
해동병원,129.044299,35.09121396
영선119안전센터,129.04319,35.09016333
영선119안전센터,129.0433756,35.08958066
영도우체국,129.0420142,35.09148066
영도우체국,129.0415267,35.09154667
영도우체국,129.0410983,35.091685
대교동,129.0386567,35.09262167
영도경찰서,129.0377683,35.09299
