keyword,cluster,same
부산진성공원,2,싸다 무섭다 알차다 싫다 귀여우다 멋있다 놀랍다 거침없다 슬프다 급하다 가볍다 쨍하다 엄청나다 젊다 어렵다 느리다 맑다 붉다 드물다 비싸다 오지다 가까우다 빠르다 귀하다 과하다 쎄다 아깝다 시리다 단촐하다 밝다 가깝다 희다 좁다 덥다 깊다 빨갛다 야무지다 정겹다 수많다 멀다 춥다 적다 새롭다 곧다 귀엽다 아름답다 뛰어나다 안타깝다 뜻깊다 재미있다 이쁘다 재미없다 즐겁다 정신없다
금강공원,2,싸다 재빠르다 무섭다 알차다 싫다 걸맞다 멋있다 슬프다 급하다 낯익다 단촐하다 가볍다 엄청나다 못지않다 힘겹다 어렵다 느리다 더럽다 맑다 붉다 드물다 힘드다 빠르다 쎄다 커다랗다 낮다 밝다 가깝다 뜨겁다 좁다 깊다 잽싸다 야무지다 가파르다 수많다 멀다 춥다 적다 까다롭다 귀엽다 아름답다 낡다 뜻깊다 재미있다 색다르다 이쁘다 즐겁다
선암사(부산),2,싸다 무섭다 틀림없다 눈부시다 알차다 생뚱맞다 싫다 멋있다 곱다 슬프다 급하다 가볍다 앙증맞다 하얗다 젊다 못지않다 기똥차다 어렵다 차다 가까우다 따갑다 짙다 맑다 붉다 비싸다 징그럽다 묘하다 빠르다 귀하다 어둡다 간드러지다 거세다 낮다 이쁘다 밝다 빡세다 좁다 지리다 덥다 빨갛다 깊다 야무지다 환하다 가파르다 수많다 멀다 춥다 알맞다 적다 새롭다 억세다 귀엽다 아름답다 두껍다 낡다 재미있다 어이없다 멋지다 흔하다 즐겁다 주의깊다
동백공원,2,싸다 목마르다 습하다 무섭다 알차다 멋있다 시끄럽다 곱다 수줍다 급하다 가볍다 예뿌다 젊다 어렵다 푸르다 맑다 비싸다 묘하다 빠르다 밝다 가깝다 좁다 덥다 깊다 멀다 춥다 적다 새롭다 엄청나다 아름답다 찹다 더우다 낡다 조그맣다 귀엽다 멋지다 이쁘다
부산 올림픽동산,2,싸다 무섭다 싫다 걸맞다 멋있다 시끄럽다 사납다 무겁다 급하다 낯익다 노랗다 드넓다 가볍다 외롭다 젊다 어렵다 아쉬우다 따갑다 맑다 붉다 드물다 비싸다 묘하다 덩그러다 빠르다 섭하다 쎄다 어둡다 낮다 하찮다 밝다 가깝다 얕다 깊다 빨갛다 감쪽같다 야무지다 정겹다 멀다 춥다 뼈저리다 적다 손쉽다 새롭다 아름답다 낫다 뛰어나다 안타깝다 재미있다 어이없다 귀엽다 멋지다 색다르다 서툴다 즐겁다
삼락생태공원,2,알차다 흐드러지다 싫다 멋있다 드넓다 가볍다 낯설다 젊다 더럽다 짙다 맑다 붉다 빠르다 박하다 뿌옇다 낮다 밝다 파랗다 뜨겁다 힘차다 덥다 좁다 야무지다 반갑다 수많다 멀다 춥다 알맞다 귀엽다 낫다 아름답다 재미있다 멋지다 이쁘다 정신없다
부산 가톨릭 특성화 거리,2,싸다 기쁘다 습하다 얄궂다 뜻있다 쩔다 지겹다 알차다 싫다 걸맞다 귀여우다 멋있다 두렵다 곱다 이롭다 무겁다 인상깊다 즐겁다 드넓다 가볍다 낯설다 외롭다 하얗다 젊다 어렵다 아쉬우다 느리다 해맑다 맑다 푸르다 드물다 비싸다 빠르다 폭넓다 과하다 어둡다 아깝다 낮다 어려우다 심심찮다 밝다 가깝다 그립다 거칠다 희다 좁다 깊다 부끄럽다 야무지다 수많다 멀다 춥다 줄기차다 유례없다 적다 새롭다 엄청나다 귀엽다 아름답다 뛰어나다 고르다 즐거다 조그맣다 재미있다 멋지다 우렁차다 어지럽다
김민부전망대,2,무섭다 알차다 싫다 멋있다 무겁다 가볍다 예뿌다 젊다 힘겹다 어렵다 아쉬우다 느리다 징그럽다 해맑다 맑다 붉다 드물다 빠르다 낮다 밝다 빡세다 얕다 좁다 깊다 가파르다 정겹다 수많다 멀다 새롭다 귀엽다 아름답다 뛰어나다 안타깝다 낡다 재미있다 어이없다 멋지다 이쁘다 즐겁다
부산영화촬영스튜디오,2,싸다 무섭다 알차다 싫다 걸맞다 멋있다 놀랍다 급하다 인상깊다 노랗다 가볍다 예뿌다 엄청나다 싱그럽다 힘겹다 어렵다 차다 가까우다 맑다 붉다 빠르다 귀하다 과하다 밝다 얕다 깊다 반갑다 수많다 멀다 적다 매끄럽다 새롭다 귀엽다 아름답다 찹다 어설프다 뜻깊다 멋없다 재미있다 멋지다 이쁘다 어지럽다
화명생태공원,2,비좁다 싸다 끊임없다 무섭다 흐드러지다 생뚱맞다 싫다 오래다 멋있다 시끄럽다 놀랍다 가볍다 예뿌다 활기차다 쨍하다 휑하다 젊다 어렵다 아쉬우다 징그럽다 해맑다 푸르다 맑다 붉다 빠르다 과하다 뿌옇다 어둡다 시리다 낮다 밝다 가깝다 우중충하다 좁다 덥다 깊다 환하다 야무지다 반갑다 멀다 춥다 적다 까다롭다 새롭다 손쉽다 아름답다 엄청나다 고르다 감질나다 재미있다 귀엽다 멋지다 이쁘다 재미없다 즐겁다 정신없다
가덕도 외양포,2,그리우다 흔하다 싸다 기쁘다 무섭다 눈부시다 알차다 흐드러지다 싫다 미끄럽다 멋있다 슬프다 드넓다 가볍다 젊다 못지않다 힘겹다 어렵다 아쉬우다 따갑다 짙다 푸르다 맑다 붉다 해맑다 빠르다 귀하다 거세다 낮다 밝다 가깝다 희다 힘차다 덥다 좁다 깊다 반갑다 정겹다 멀다 춥다 까맣다 적다 새롭다 귀엽다 아름답다 안타깝다 낡다 조그맣다 재미있다 멋지다 이쁘다 즐겁다
장림포구,2,싸다 기쁘다 습하다 무섭다 알차다 싫다 걸맞다 멋있다 낯익다 노랗다 드넓다 가볍다 예뿌다 쨍하다 엄청나다 휑하다 하얗다 젊다 어렵다 아쉬우다 느리다 차다 쑥스럽다 붉다 맑다 드물다 차갑다 힘드다 묘하다 덩그러다 빠르다 뿌옇다 세차다 어둡다 시리다 드세다 낮다 이쁘다 밝다 가깝다 그립다 좁다 덥다 얕다 빨갛다 야무지다 반갑다 아름다우다 약하다 수많다 멀다 까맣다 춥다 적다 새롭다 귀엽다 아름답다 찹다 더우다 안타깝다 조그맣다 재미있다 멋지다 흔하다 어지럽다
낙동강하구,2,끊임없다 무섭다 알차다 싫다 귀여우다 멋있다 미끄럽다 놀랍다 구리다 노랗다 드넓다 가볍다 엄청나다 싱그럽다 젊다 못지않다 어렵다 벅차다 느리다 벌겋다 짙다 맑다 붉다 드물다 비싸다 빠르다 폭넓다 세차다 어둡다 서럽다 낮다 어려우다 빡세다 거칠다 힘차다 덥다 좁다 깊다 환하다 약하다 정겹다 수많다 멀다 춥다 알맞다 적다 새롭다 아름답다 안타깝다 재미있다 멋지다 이쁘다 즐겁다
두도,2,싸다 습하다 재빠르다 무섭다 눈부시다 싫다 걸맞다 멋있다 시끄럽다 드넓다 가볍다 낯설다 엄청나다 하얗다 젊다 못지않다 어렵다 푸르다 맑다 붉다 비싸다 힘드다 빠르다 뿌옇다 세차다 쎄다 어둡다 아깝다 낮다 밝다 파랗다 가깝다 감명깊다 희다 힘차다 덥다 좁다 얕다 족하다 야무지다 반갑다 살갑다 환하다 즐거우다 수많다 멀다 춥다 가파르다 적다 새롭다 귀엽다 아름답다 안타깝다 어설프다 격하다 낡다 재미있다 어이없다 멋지다 이쁘다 볼품없다 어지럽다
몰운대,2,기쁘다 습하다 틀림없다 싫다 추우다 멋있다 정답다 시끄럽다 촌스럽다 드넓다 가볍다 외지다 하얗다 젊다 힘겹다 어렵다 아쉬우다 느리다 맑다 붉다 비싸다 차갑다 오지다 묘하다 빠르다 뿌옇다 세차다 쎄다 거세다 낮다 어려우다 밝다 가깝다 얕다 좁다 덥다 동그랗다 깊다 야무지다 반갑다 부끄럽다 멀다 춥다 적다 새롭다 엄청나다 아름답다 낫다 낡다 재미있다 귀엽다 멋지다 이쁘다 즐겁다 주의깊다 넓디넓다
백양산,2,싸다 눈부시다 알차다 싫다 고되다 멋있다 곱다 이롭다 짙붉다 무겁다 급하다 인상깊다 즐겁다 노랗다 가볍다 싱그럽다 하얗다 젊다 못지않다 험하다 어렵다 가까우다 벌겋다 따갑다 짙다 맑다 붉다 푸르다 비싸다 빠르다 과하다 어둡다 시리다 낮다 이쁘다 밝다 파랗다 빡세다 그립다 희다 가깝다 좁다 덥다 깊다 빨갛다 가파르다 수많다 멀다 춥다 적다 손쉽다 새롭다 귀엽다 속상하다 아름답다 순하다 낡다 재미있다 어이없다 쓸데없다 멋지다 뜨겁다 어지럽다 주의깊다
