업체명,카테고리명,필지고유번호,시도명,시군구명,읍면동명,리명,번지,법정동코드,행정동코드,도로명코드,도로명,도로명상세,경도,위도,폐업여부,전화번호,홈페이지주소,주차가능여부,화장실유무,화장실타입,수유실유무,물품보관함유무,유아거치대유무,휠체어이동가능여부,점자유도로유무,등록일자
제일낚시터,레저/체육/공원,2644010300101929984,부산광역시,강서구,강동동,,193-3,2644010300,2644053000,,낙동북로73번가길,200-5,128.940414406845,35.2236570460873,N,,http://naver.me/GKojtose,Y,Y,"구분,외부",N,N,N,N,N,2021-10-26
강동에이스배트민턴전용구장,레저/체육/공원,2644010300129249792,부산광역시,강서구,강동동,,2925-16,2644010300,2644053000,264403136062.0,제도로,814,128.92013752556,35.1850011317092,N,051-941-5556,http://naver.me/5B1lD1Lj,Y,N,,N,N,N,N,N,2021-08-31
강서해수온천,레저/체육/공원,2644010300116480000,부산광역시,강서구,강동동,,1648,2644010300,2644053000,264403136062.0,제도로,965,128.925424541297,35.1983932722817,N,051-971-3651,http://naver.me/xFpOiiNb,Y,Y,"구분,내부",N,Y,N,N,N,2021-08-31
낙동강둔치공원,레저/체육/공원,2644010100100009984,부산광역시,강서구,대저1동,,1-5,2644010100,2644051000,,,,128.990149951329,35.2120733293018,N,,http://naver.me/5CzsaJQc,N,N,,N,N,N,N,N,2021-11-19
강서낙동강변30리벚꽃길,문화관광/명소,2644010100100009984,부산광역시,강서구,대저1동,,1-20,2644010100,2644051000,,,,128.984281703915,35.2095671814832,N,,,N,N,,N,N,N,Y,N,2021-10-07
강서목욕탕,레저/체육/공원,2644010100104339968,부산광역시,강서구,대저1동,,434-1,2644010100,2644051000,264404208067.0,공항로1309번길,140-17,128.980948082616,35.2161141231746,N,051-971-0194,http://naver.me/GEACJOfa,Y,Y,"구분,내부",N,Y,N,N,N,2021-10-07
낙동승마클럽,레저/체육/공원,2644010100102830080,부산광역시,강서구,대저1동,,283-13,2644010100,2644051000,264404208284.0,대저중앙로347번가길,39-13,128.985337250307,35.224782778836,N,051-972-9000,http://naver.me/FBw7B6nM,Y,N,,N,N,N,Y,N,2021-10-07
강서체육공원,레저/체육/공원,2644010100121549824,부산광역시,강서구,대저1동,,2155,2644010100,2644051000,264403130034.0,체육공원로,43,128.972184981435,35.2089233742849,N,051-500-2111,http://www.busan.go.kr/stadium/sfplacegs,Y,Y,"구분,내부",N,N,N,N,N,2021-08-30
강서체육공원하키경기장,레저/체육/공원,2644010100121549824,부산광역시,강서구,대저1동,,2155,2644010100,2644051000,264403130034.0,체육공원로,43,128.972215481652,35.2082214587036,N,,http://naver.me/5L3CBqRf,Y,Y,"구분,외부",N,N,N,N,N,2021-08-30
강서체육공원양궁경기장,레저/체육/공원,2644010100121549824,부산광역시,강서구,대저1동,,2155,2644010100,2644051000,264403130034.0,체육공원로,43,128.970306250691,35.2101117221703,N,051-500-2111,http://www.busan.go.kr/stadium/sfplacegs,Y,Y,"구분,외부",N,N,N,N,N,2021-08-30
강서체육공원수영장,레저/체육/공원,2644010100121549824,부산광역시,강서구,대저1동,,2155,2644010100,2644051000,264403130034.0,체육공원로,43,128.972212070333,35.2109591558303,N,,http://naver.me/52lH0HbE,Y,Y,"구분,내부",N,Y,N,N,N,2021-08-30
CGN아쿠아리움,문화관광/명소,2644010100127629824,부산광역시,강서구,대저1동,,2763,2644010100,2644051000,264404208528.0,체육공원로52번길,21,128.975795318259,35.2091032841507,N,,http://naver.me/xRQybkFK,Y,N,,N,N,N,N,N,2021-08-30
부일승마,레저/체육/공원,2644010200150519808,부산광역시,강서구,대저2동,,5052,2644010200,2644052000,,,,128.951192053436,35.1472483054599,N,,http://naver.me/xpP9KkmD,Y,Y,"구분,외부",N,N,N,N,N,2021-10-28
월포토마토농장,문화관광/명소,2644010200142730240,부산광역시,강서구,대저2동,,4273-3,2644010200,2644052000,,,,128.936287188491,35.1542317585716,N,,http://wallpo-tomato.qrsvc.com/,Y,Y,"공용,외부",N,N,N,N,N,2021-10-08
에코델타시티전망대,문화관광/명소,2644010200154379776,부산광역시,강서구,대저2동,,5438-3,2644010200,2644052000,,,,128.921978230943,35.1363443860232,N,051-220-0713,http://naver.me/5s9JvC9a,Y,Y,"구분,내부",N,N,N,Y,N,2021-10-08
청옥탕,레저/체육/공원,2644010200119410176,부산광역시,강서구,대저2동,,1941-4,2644010200,2644052000,264403136003.0,공항로,807,128.957520752176,35.1790351587137,N,051-973-7788,http://naver.me/GGhikfwa,N,Y,"구분,내부",N,Y,N,N,N,2021-10-07
보트닥터,레저/체육/공원,2644010200151710208,부산광역시,강서구,대저2동,,5171-2,2644010200,2644052000,264404208077.0,공항로339번길,137-3,128.945959552943,35.1444938346574,N,051-525-7448,http://boatdoctor.co.kr/,Y,Y,"구분,내부",N,Y,N,N,N,2021-10-08
태양승마장,레저/체육/공원,2644010200139729920,부산광역시,강서구,대저2동,,3973,2644010200,2644052000,264404208087.0,공항로539번길,33-1,128.953539085066,35.1565624495679,N,051-972-1108,http://blog.naver.com/goomd2000,Y,Y,"구분,내부",N,N,N,N,N,2021-10-26
대삼체험농장,문화관광/명소,2644010200109329920,부산광역시,강서구,대저2동,,933,2644010200,2644052000,264403136035.0,대저동서로,135,128.953884609314,35.1969272038668,N,051-972-3166,http://naver.me/xH2OJp0f,Y,Y,"구분,외부",N,N,N,N,N,2021-10-07
케이크레프트,레저/체육/공원,2644010200146959872,부산광역시,강서구,대저2동,,4696-2,2644010200,2644052000,264404208306.0,맥도강변길,661,128.936804544753,35.1496901783396,N,,http://naver.me/5X9a5k9Z,Y,Y,"구분,내부",N,Y,N,N,N,2021-10-08
썬코퍼레이션,레저/체육/공원,2644010200105209856,부산광역시,강서구,대저2동,,521-17,2644010200,2644052000,264404208471.0,울만로25번길,22-1,128.920120387894,35.1750145005346,N,051-973-8363,http://www.suncorp.co.kr/,N,N,,N,N,N,N,N,2021-08-31
성진마린,레저/체육/공원,2644010200136600064,부산광역시,강서구,대저2동,,3660,2644010200,2644052000,264404208472.0,울만로322번길,4,128.937504141468,35.1610903150601,N,,http://naver.me/GSiOy0hx,N,N,,N,N,N,N,N,2021-08-31
