,명칭,주소,위도,경도,문의 및 안내,주차시설
0,서면1번가,부산광역시 부산진구 신천대로62번길 61(부전동),35.1535758596,129.0582863694,051-605-4091,
1,재난안전체험관,부산광역시 금정구 체육공원로399번길 324,35.2918223435,129.1051090492,1577-0880,있음
2,보광사(부산),부산광역시 동구 범상로1번길 35(범일동),35.1408826262,129.0468821528,051-646-6461,10대
3,금강사(부산),부산광역시 동래구 우장춘로 211(온천동),35.2250098725,129.0771855435,051-555-1383,
4,광안리해수욕장,부산광역시 수영구 광안해변로 219(광안동),35.1537908369,129.1184922375,051-622-4251,주차가능
5,송정해수욕장,부산광역시 해운대구 송정해변로 62(송정동),35.1787117732,129.1996400523,051-749-5800,있음
6,해운대해수욕장,부산광역시 해운대구 해운대해변로 264(우동),35.1591243474,129.1603078991,051-749-5700,주차가능
7,오륙도 (부산 국가지질공원),부산광역시 남구 오륙도로 137,35.0920423481,129.1269487495,"부산국가지질공원 051-888-3636<br>
해파랑길 부산관광안내소 051-607-6395",
8,일광해수욕장,부산광역시 기장군 일광면 삼성3길 17,35.2599699714,129.2336848474,051-709-5446,
9,해운대온천센터,부산광역시 해운대구 중동2로 16(중동),35.1634406103,129.1645768542,051-740-7000,"건물내 주차장 및 타워 110대 수용, 지상 300대 이상"
10,부산어린이대공원,부산광역시 부산진구 새싹로 295,35.1872579098,129.0426784717,051-860-7848,
11,부산 에덴공원,부산광역시 사하구 하단동,35.1092346301,128.9632291831,051-220-6041,
12,용두산공원,부산광역시 중구 용두산길 37-55,35.1004841098,129.0326928231,용두산공원 051-860-7820,있음 (대형버스가 가능)
13,부산 송도해수욕장,부산광역시 서구 송도해변로 100,35.0739256715,129.016458847,051-240-4000,있음(17개소/670대)
14,범어사(부산),부산광역시 금정구 범어사로 250(청룡동),35.2839975351,129.0681263762,051-508-3122,있음
15,부산동명불원,부산광역시 남구 동명로 57(용당동),35.1191749994,129.1040277765,051-624-7667,주차가능
16,충렬사,부산광역시 동래구 충렬대로 345 충렬사,35.1990686946,129.0966206758,051-888-7211,주차 가능
17,재한유엔기념공원 (UN기념공원),부산광역시 남구 유엔평화로 93 유엔기념공원,35.1277710987,129.0953116327,051-625-0625,주차 가능
18,금정산성,부산광역시 금정구 북문로 78-5,35.2587890268,129.0559836837,051-514-5501,주차 가능
19,태종대 (부산 국가지질공원),부산광역시 영도구 전망로 24(동삼동),35.0582842405,129.0850810864,051-888-3637,"* 정문입구 주차장 (26면, 버스전용 주차)<br />
* 제7주차장 (402면, 승용차 주차) <br />
* 제7주차장-2 (411면, 승용차 주차)<br />
* 자유랜드 주차장 (114면)"
20,해운대 달맞이길,부산광역시 해운대구 달맞이길 190,35.157719362,129.1825698917,051-749-5710,
21,민락수변공원,부산광역시 수영구 민락동,35.1546382351,129.1331270526,051-610-4742,주차 가능
22,25의용단,부산광역시 수영구 연수로379번길 42(수영동),35.1719498296,129.1138921398,051-752-2947,
23,부산진성공원,부산광역시 동구 자성로 99,35.1359084454,129.0611254938,051-440-4064,있음
24,광복로문화패션거리,부산광역시 중구 광복동,35.0991036826,129.031290205,,
25,수미르공원,부산광역시 중구 대교로 122(중앙동6가),35.1020007071,129.0381561954,051-609-6310,주차 가능
26,해운대 관광특구,"부산 해운대구우동, 중동, 송정동, 재송동 센텀시티 지역",35.1584383046,129.1598690678,051-749-5700,"백화점과 아울렛, 해운대해수욕장 등 134개 주차장 시설 이용 가능"
27,삼광사,부산광역시 부산진구 초읍천로43번길 77,35.1759314153,129.0434426042,051-808-7111,주차 가능
28,부산 차이나타운특구(상해문.상해거리),부산광역시 동구 중앙대로179번길 1,35.1134327682,129.0385614042,051-440-4815,없음
29,허심청,부산광역시 동래구 금강공원로20번길 23,35.2211354084,129.0826823935,051-550-2100,있음(200대)
30,금강공원,부산광역시 동래구 우장춘로 155(온천동),35.2190105271,129.0762330134,051-860-7880,금강공원 인근공영주차장
31,BIFF 광장,부산광역시 중구 남포길 4(남포동3가),35.0988508949,129.029212615,051-253-8523,
32,부산다이아몬드타워,부산광역시 중구 용두산길 37-55(광복동2가) 용두산공원 내,35.1012701314,129.0326400285,051-601-1800,있음
