명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,수용인원,이용시간,쉬는날,이용요금,할인정보,관람소요시간,주차시설,주차요금,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,상세정보,개장기간,입장료,체험가능연령, 유산구분,개장일,체험안내,이용시기
부산어촌민속관,46527.0,,,부산광역시 북구 학사로 128(화명동),35.2337659545,129.0084662884,"2007년 2월 23일 부산해양자연사박물관 분관으로 개관한 부산어촌민속관은 “강에서 바다로 이어지는 어촌문화여행”을 전시테마로 낙동강 어촌민속실과 부산어촌민속실로 구성되어 있으며, 부산의 젖줄인 낙동강을 터전으로
펼쳐온 조상들의 삶의 모습, 부산어촌의 시대별 어로활동, 전통어법, 문화유적, 어촌민속 등에 관한 자료를 종합 전시하고 있다.",,"부지 12,618m²/건물 8,920m²<br/>
지상4층",,"09:00~18:00<br />
※ 관람종료 1시간 전까지 입장","1월 1일, 매주 월요일(월요일이 공휴일인 경우 그 다음날 휴관)",무료,,,가능,,없음,불가,없음,"한국어 안내서비스:가능(사전문의)
",,,,,,,
부산문화회관,48534.0,,,부산광역시 남구 유엔평화로76번길 1 부산문화회관,35.128507099,129.0937450823,"1982년 설계공모, 1983년 10월 공사를 시작하여 1988년 대극장을 1차로 준공 개관이후 1993년 10년간의 대역사끝에 부지 48,424㎡, 연건평 44,009㎡의 대.중.소 3개동의 대규모 다목적 문화예술 시설을 완공하였으며, 개관한지 22년이 지난 2010년 4월 안락한 문화공간 제공 및 품격있는 공연 선사를 위하여 대극장 개보수 공사를 시작 2010년 10월 완료 재개관 하였다. 건축양식은 우리나라 전통가옥의 특성을 도입하여 대극장을 본채로 중.소극장을 사랑채로 배치하고, 특별한 담장이나 대문을 없애서 전통초가의 울타리와 같이 외부로부터의 접근이 용이하도록 하고 건물 구조면에서도 대들보 형태의 열주에다 처마와 추녀의 전통미를 살려 도약의 기상이 나타나도록 하였다. 지붕은 콘크리트 슬래브면을 전통기와 무늬로 장식하고 외부벽면에도 화강석을 사용, 정중하면서도 아담한 조형미를 갖추고 있다

* 개관일 : 1988년 9월 3일",,"대극장 : 18,916㎡ (무대 1,524㎡)<br />
중극장 : 7,210 ㎡ (무대 323㎡)<br />
사랑채극장 : 5,136㎡","대극장 1403석, 중극장 767석, 사랑채극장 212석",공연에 따라 다름,,공연에 따라 다름,,공연에 따라 다름,주차 가능,무료,없음,불가,가능,"사업내용:공연, 전시, 대관
대관안내:대극장, 중극장, 사랑채극장, 전시실, 컨퍼런스홀, 챔버홀 대관 가능 <br />
* 문의<br />
공연장 : 051-607-6058<br />
전시실 : 051-607-6061
예약안내:홈페이지 예약 가능
",,,,,,,
부산시민회관,48742.0,,,부산광역시 동구 자성로133번길 16,35.1388026415,129.0651972831,"부산시민회관은 현존하는 전국공공문예회관 가운데 가장 오랜 역사를 자랑하며1973년 10월10일 개관하였다. 대극장 1,606석, 소극장 407석을 비롯하여 한슬갤러리 1,2층, 한슬아트샵, 카페테리아 등으로 구성되어 다양한 문화예술 향유의 장으로 지역의 대표 문예회관으로 자리잡고 있다.",,"대지면적 : 7,696.9㎡ (2,328평)<br>연 &nbsp;&nbsp;면적 : 14,929㎡ (4,516평)<br>건물구조 
: 철근콘크리트 슬라브조 (지하1층, 지상4층)<br>","대극장 :1,606석, 소극장 : 407석<br>","공연, 전시마다 다름",,"공연, 전시마다 다름",,,주차 가능,"공연시간 내 4시간 무료<br />
(소극장 안내데스크에서 무료 주차권 발급 후 주차장에 제시)",불가,불가,없음,"사업내용:자체기획공연(전시), 대관공연(전시)
예약안내:인터넷 및 전화예약 (전화예약 시 계좌입금)
대관안내:이메일접수 및 전화접수<br>
- 공연장대관 051-630-5234<br>
- 전시실대관 051-630-5232<br>
- 연습실대관 051-630-5233<br>
",,,,,,,
부산 가톨릭센터,48968.0,,,부산광역시 중구 중구로 71(대청동4가),35.1042141801,129.0290347066,"* 지역문화의 발전에 이바지하고 있는, 부산가톨릭센터 *<br /><br />천주교 부산교구가 운영하는 가톨릭센터는 1982년 4월 30일 개관하였다. 가톨릭센터는 “복 음선포와 사목활동을 병행하여 문화적 나눔의 공간을 제공한다”는 설립목적 아래 각종 공연, 전시, 교육, 모임 등을 개최함으로써 지역문화의 예술의 창달에 이바지하고 있다. 또한 부산시민과 함께 할 수 있는 공연 문화로 부산의 음악, 무용, 연극, 국악 공연장으로 공연해온 전당이며, 프로세시움무대 양식으로 204석의 객석과 10평의 무대 그리고 조명시설 및 음향시설을 갖추고 있어 다양한 장르의 공연을 할 수 있다. 부대시설로는 야마하그랜드, 삼익그랜드 피아노를 보유하고 있다. 이러한 시설을 기반으로 대관서비스, 공연 전시 사업, 문화강좌를 운영하고 있다.<br>",,"지하2층, 지상9층","소극장 200석, 교육실 210석(401호 40석, 301호 60석, 302호 110석)",공연에 따라 다름,,공연에 따라 다름,,,"주차 가능(지하 34대, 옥외 75대)","30분당 1,000원 / 10분 초과당 300원",없음,불가,없음,"사업내용:공연, 전시, 행사, 대관
대관안내:소극장, 대청갤러리, 3층 교육실, 4층 교육실 대관 가능
",,,,,,,
장기려기념 더 나눔센터,48808.0,,,부산광역시 동구 영초윗길 48(초량동),35.1185793062,129.0327117725,장기려박사는 한국의 슈바이처로 불리며 의료보험의 시초인 '청십자의료보험조합'을 동구 지역에 설립하였다. 2013년 개관한 장기려기념 더 나눔센터는 평생가난한 이웃에게 나눔을 실천한 장기려박사의 뜻을 기리기 위한 기념관이다.<br>,,부지면적 709㎡ / 건축연면적 383㎡,100여 명,10:00~19:00,월요일 휴관,무료,,30분,주차 가능,무료,없음,불가,없음,"소장품현황:장기려박사 유품 10여 종
",,,,,,,
부산박물관,48529.0,,,부산광역시 남구 유엔평화로 63,35.1295542233,129.0947838516,"* 종합문화교육의 장, 부산박물관 *<br>부산박물관은 1978년 7월 11일 개관이래 문화유산의 수집, 보존, 전시, 연구, 발굴, 조사, 박물관 교육 등 부산지역 전통문화 전승에 앞장서 왔다. 산하에 복천박물관, 동삼동패총전시관, 부산근대역사관, 임시수도기념관 등 전문박물관을 두고 있는 부산의 대표적 종합역사 박물관으로 소장유물은 총 45,000여 점이며, 그 중 1,300여 점의 유물을 상설 전시하고 있다. 제 2전시관 건립과 함께 2002년 부산의 역사와 문화를 중심으로 기존 전시구성을 전면 개편하고, 총 10개의 상설전시실과 기획전시실, 문화정보검색실, 문헌자료실, 문화체험실, 강당, 수장고, 보존처리실 등의 시설을 갖추어 2002년 5월 3일 새로운 모습으로 다시 문을 열었다.<br><br>부산박물관의 주요 사업 내용은 문화재발굴조사연구, 어린이 및 성인 강좌, 박물관대학 등 각종 박물관교육, 특별전시, 문화재보존 및 관리, 자료수집 학술연구논문집 발간 등으로 종합문화교육의 장이라 할 수 있다.<br><br>* 부산박물관 전시실안내 *<br>제1전시관은 선사실, 삼한/삼국실, 통일신라실, 고려실 등으로 선사시대부터 고려시대까지의 유물이 전시된다. 제2전시관은 한일관계사실, 생활문화실, 부산민속실, 근대실, 현대실 등 일제강점기부터 현재까지의 내용이 전시된다. 야외전시관에서는 야외 정원에는 동래남문비, 척화비, 약조제찰비, 사처석교비 등 지정문화제를 비롯하여, 40여점의 석조물이 전시되고 있다. 이외에 문화체험실이 있다.",,"부지면적 27,427.7㎡, 연면적 14,830.87㎡(지하1, 지상2층)<br />
전시면적(상설전시실:5,209㎡, 기획/특별전시실:710㎡),수장고: 3,887.57㎡",,"평일 및 주말 09:00~18:00<br>
입장시간 09:00~17:00","1월 1일, 매주 월요일(월요일이 공휴일인 경우 다음날 휴관)",무료,,약 1~2시간,주차 가능,무료,가능,불가,가능,"체험프로그램:* 부산박물관 미션가방 : 상시운영 / 1~2시간 소요 / 초등학생 동반 가족<br>
 * 박물관투어 : 매월 3주 토,일요일 / 4시간 소요 / 시민 누구나<br>
 * 드림드림박물관 : 매월 2주 토요일 / 2시간 소요 / 지역아동센터 대상<br>
 * 토요박물관교실 : 매월 4주 토요일 / 2시간 소요 / 초등학생 동반 가족<br>
 * 박물관투어 : 매월 3주 토,일요일 / 4시간 소요 / 시민누구나<br>
 * 요미조미 박물관교실 : 매달2,4주 금요일 / 2시간 소요 / 유치원단체 대상<br> * 다도 및 복식체험 : 상시운영 / 40분 / 누구나<br>
소장품현황:45,000여점(2017.12월말 기준)

한국어 안내서비스:개인, 20명 이하 소규모 인원 : 1일 3회 (1시간 소요)<br />
20명이상 40명 이하 : 1일 2회 (사전 예약)
외국어 안내서비스:* 통역 안내요원 - 일본어(1명) 외빈안내, 통역, 박물관 홍보<br />
* 음성가이드기 대여<br />
　- 영어, 일본어, 중국어<br />
　- 음성가이드 신청 : 안내데스크에 문의 (051-610-7150)
대관안내:대관시설 : 대강당, 소강당<br />
※문의 : 051-610-7118)
",,,,,,,
부산여자대학 차박물관,47228.0,,,부산광역시 부산진구 진남로 506 부산여자대학,35.1691882379,129.0712014844,"* 우리나라 전통 다도를 만날 수 있는 공간, 부산여자대학부설 다(茶)박물관 *
전통 다도 박물관은 차(茶) 문화의 발전과 보급을 통하여 전통문화의 계승과 발전에 기여하고자 1983년 설립된 다도 전문박물관으로 1996년 7월 7일 현재의 장소로 확장 이전하였다.
다문화를 좀더 깊이 있게 연구하고 다도의 정신을 살피고자 하는 다도 박물관은 다도가 널리 전파되어 우리 전통문화의 뿌리를 찾고 이해하는 다인들이 늘어나고 또한 다도가 소중한 동양정신을 배우는 귀중한 체험의 장이 될 것이다. 
* 다박물관에서는 어떤 것을 볼 수 있을까? *
다박물관에는 2개의 전시실과 자료실·세미나실·다문화연구소·비디오실 등을 갖추고 있으며, 총 소장품 700점을 전시하고 있다.
전시실 중 제1전시실에는 차와 관련된 삼국시대와 고려·조선시대의 각종 유물이 전시되어 있고, 제2전시실에는 조선시대의 의상과 장신구·혼례용품이 전시되어 있다. 이밖에 다자료실에는 차와 관련된 각종 자료가 갖추어져 있으며, 세미나실에서는 다도구 전시 및 각종 세미나를 개최한다.",,"부지 600㎡ <br />연건축면적 2,127㎡<br /> 전시실 504㎡",,10:00~17:30,"토,일요일,공휴일",관람료 무료,,,주차 가능,,없음,불가,불가,"사업내용:전통다구 전시, 한국전통 차 문화 연구, 전통 차 문화보급 및 다도교육, 예절교육, 국내 차 문화행사, 국제 차 문화교류행사, 외국다구 전시, 차 유적지 답사
소장품현황:800여 점 소장
한국어 안내서비스:가능
",,,,,,,
경성대학교 문화홍보처 박물관,48434.0,,,부산광역시 남구 수영로 309(대연동),35.1422639512,129.0969499828,"* 가야 유물과 민속 유물을 볼 수 있는 곳 *<br /><br />1972년 3월 영도구 영선동 한성초급대학 박물관으로 개관하여, 1979년 3월 학교가 부산산업대학으로 승격하면서 부산산업대학박물관으로 바뀌었다. 1984년 박물관 안에 민속자료실을 개관하였고, 1988년 5월 경성대학교로 학교명이 바뀜에 따라 경성대학교박물관으로 이름이 바뀌었다.경성대학교 박물관은 ""1997년 문화유산의 해""를 맞이하여 전시실을 새롭게 단장하였으며, 선사시대부터 조선시대에 이르는 유물들을 시대순으로 배치하여 전시하였다. 특히, 경성대학교박물관에서 집중적으로 발굴·조사한 김해 금관가야 유물과 조선시대에서 근세에 이르는 민속유물을 전시하고 있는데 금관가야유물은 토기를 통해서 금관가야의 태동에서 쇠퇴에 이르는 변화상을 볼 수 있다.<br /><br />* 경성대학교 박물관의 전시실과 소장품 안내 *<br /><br />종합전시실·옥외전시장·수장실·학예연구실·정리실·보존과학실·자료실 등의 시설을 갖추고 금속류 2,677점, 옥석류 625점, 토도류 4,647점, 골각기류 41점, 목죽초칠 515점, 피모지직 123점, 서화류 168점, 의상류 17점, 기타 22점의 유물을 소장하고 있다.그 밖에 철기유물과 장신구류, 각종 희귀유물들도 있다. 민속유물은 선인들의 의, 식, 주 생활상과 농사, 음악, 무속, 죽음에 이르는 생활상을 테마별로 전시하고 있다.<br>",,"지상 1층, 2층",,"월~금 10:00~17:00 <br />
(방학 중 10:00~14:00)","토요일, 일요일, 공휴일",무료,,약 1시간,주차 가능,,없음,불가,없음,"사업내용:문화재보존 및 과학적관리, 문화재발굴·조사·연구, 본교 소장 문화재 국내·외 대여전시, 각종 특별전시,학생교육
소장품현황:금속류 3,135점, 옥석류 674점, 토도류 5,146점, 골각기류 36점, 목죽초칠 712점, 피모지직 171점, 서화류 96점, 의상류 25점, 기타 11점 <br />
총 10,006점 
예약안내:단체관람시 사전 예약<br />
※ 예약전화 051-663-4042 경성대학교 홍보팀

",,,,,,,
정인갤러리,48955.0,,,부산광역시 중구 중앙대로 21,35.0995426115,129.0361619914," * 부산 미술의 발전의 근간, 정인갤러리 (C&I Art Gallery) *<br /><br />1992년 3월 15일 개관한 정인갤러리는 주로 회화, 판화 등 평면 작품 전시를 하고 있다. 또한 부산 작가들의 타지역 및 해외 소개 업무도 겸하고 있으며, 근래에 와서 판화작품의 대중화에 발맞춰 판화작품 전시 빈도가 높아지고 있다.정인갤러리의 장점은 산뜻한 관람분위기와 전문가의 상세한 설명이 갖춰져 있다는 것. 그로인해 처음 찾는 이라도 예술 세계의 진면목을 어렴풋이나마 알게 된다. <br /><br />* 부산미술이 그저 좋은""이라는 슬로건이 어울리는 화랑 *<br /><br />부산미술이 그저 좋은"". 바로 정인갤러리가 내세운 슬로건이다. 정인갤러리는 이 슬로건을 바탕으로 부산작가들의 작품전시를 위주로 하여 창작활동 지원 및 전시에 필요한 일체를 지원하고 있다. 판화작품을 많이 소개하여 대중미술 확산에 앞장서고 있으며, 우리나라 작품들의 해외소개에도 노력하고 있다.<br>",,,,10:00~18:00,매주 일요일,무료,,,,,없음,불가,없음,"사업내용:전시기획, 작가홍보관리, 미술관련책자발간, 기획전, 초대전 위주 전시(연15회~20회정도), 문화상품(판화달력, 전통문양을 이용한 판화작품 등) 제작 판매
",,,,,,,
추리문학관,48115.0,,,부산광역시 해운대구 달맞이길117번나길 111(중동),35.1616939311,129.1833308273,"<b>※ 코로나바이러스감염증-19 공지사항<br>※ 내용 : 임시휴관(~ 별도안내시까지)</b><br><u><a href=""https://korean.visitkorea.or.kr/notice/news_detail.do?nwsid=8cdd65e1-59f1-4904-8bc9-884001e40911"" title=""여행정보 변동사항 페이지로 이동"">→ 코로나바이러스감염증-19 여행정보 변동사항 확인하기</a></u><br><br>* 우리나라 최초 추리문학 전문도서관, 김성종 추리문학관 *

우리나라 추리문학의 대가인 김성종씨가 문화공간의 확보와 추리문학의 활성화를 기하고자 1992년 3월 22일에 개관한 우리나라 최초의 추리문학 전문도서관이다. 1층은 카페식 열람실, 2·3층은 일반열람실로 구성되어 있다. 관람객들은 개가식 서가에서 차 한 잔과 함께 달맞이고개와 청사포 앞바다의 아름다운 풍경을 바라다보며 마음껏 책을 읽을 수 있다. 

* 추리문학관에서 만날 수 있는 색다른 즐거움 *

김성종 추리문학관의 색다른 즐거움은 카페식으로 운영되는 1층. 탐정의 대명사인 셜록 홈즈의 이름을 따 ‘셜록 홈스의 집’으로 이름한 1층은 독서와 함께 차를 마시면서 담소를 나눌 수 있는 공간이다. 또한, 문학관에서는《안네의 일기 The Diary of a Young Girl Anne Frank》의 작가 안네 프랑크(Anne Frank), 표도르 도스토옙스키(Fyodor Dostoevskii), 시몬 드 보부아르(Simone de Beauvoir), 에밀 졸라(?mile Zola) 등 세계문학사에 빛나는 113명의 세계유명작가사진전을 이벤트로 상시 개최하고 있다.",,지상 5층/ 지하 1층,좌석 수 315석,"1층 09:00~18:30<br />
2,3층 09:00~18:00","1월 1일, 설(1일), 추석(1일)",,,,주차 가능(주차공간이 협소하므로 가급적 대중교통 이용),,없음,없음,없음,"소장품현황:장서목적 총 47,600권 <br>
(추리소설 17,000권 / 일반문학 13,500권 / 인문사회과학 7,500권 / 아동도서 3,500권 / 외국원서 6,100권)
사업내용:도서전시, 추리영화상영, 문화학교, 각종강연회, 겨울 추리여행 등
",,,,,,,
