keyword,isinTrue,cluster
168계단,우연찮다  무겁다 무덥다 재미없다 얇다 상관없다 겉다 귀찮다 배부르다 고프다 맑다 가깝다 좁다 느리다 귀엽다 이렇다 갑작스럽다 궂다 흔하다 바쁘다 나다 손쉽다 습하다 싫다 어마다 아프다 나쁘다 이쁘다 야무지다 멋있다 무섭다 걸맞다 어이없다  힘드다 강하다 고맙다 조그맣다 멋지다 심하다 비싸다 알차다 아름답다 지나치다 뿌옇다 재미있다 빠르다 까다롭다 고되다 가파르다 세다 적다 맛나다 검다 맛없다 새롭다 빡세다 착하다 급하다 어렵다 식다 멀다 춥다 인상깊다 덥다,2
40계단 문화관,환하다 어지럽다 귀찮다 어둡다 귀엽다 나쁘다 낡다 유례없다 비좁다  지나치다 재미있다 슬프다 가파르다 붉다 맛나다 맵다 심심찮다 멀다 인상깊다 우연찮다 굵다 눈부시다 시끄럽다 정겹다 힘차다 파랗다 가깝다 궂다 이쁘다 어이없다 가볍다 강하다 수많다 멋지다 알차다 빠르다 젊다 덩그러다 얕다 똑같다 어렵다 뜨겁다 어떻다 정신없다 깊다 상관없다 맑다 좁다 흔하다 언짢다 낮다 습하다 싫다 야무지다 무섭다 힘드다 우습다 고맙다 배고프다 심하다 흥겹다 아름답다 두껍다 덧없다 밝다 맛없다 새롭다 검다 급하다 부드럽다 죠다 활기차다  아깝다 고프다 낯설다 아프다 멋있다 비싸다 싸다 깜다 드넓다 남다르다 세다 아쉬우다 적다 빡세다 즐겁다 흐리다 덥다,2
40계단 문화관광테마거리,귀찮다 어둡다 귀엽다 갑작스럽다 나쁘다 낫다 낡다  비좁다 지나치다 재미있다 슬프다 뜻깊다 가파르다 붉다 심심찮다 저렇다 멀다 인상깊다 우연찮다 찐하다 가깝다 궂다 반갑다 이쁘다 어이없다 가볍다 멋지다 수많다 굳다 알차다 어려우다 빠르다 덩그러다 얕다 똑같다 진하다 어렵다 맑디맑다 무덥다 깊다 배부르다 맑다 좁다 흔하다 언짢다 낮다 습하다 싫다 그만이다 색다르다 야무지다 무섭다 어설프다 속상하다 힘드다 우습다 매끄럽다 달갑다 사이좋다 배고프다 아름답다 덧없다 밝다 맛없다 새롭다 급하다 하얗다 나다 죠다 활기차다  고프다 뒤늦다 이렇다 아프다 멋있다 비싸다 잘다 놀랍다 싸다 세다 적다 싶다 빡세다 즐겁다 흐리다 덥다,2
60년전통 할매국밥, 무겁다 옛스럽다 아깝다 더럽다 귀찮다 깊다 스럽다 드물다 단촐하다 배부르다 얇다 두텁다 고프다 정겹다 맑다 가깝다 질기다 좁다 가벼우다 이렇다 흔하다 귀엽다 뽀얗다 낮다 매우다 바쁘다 습하다 싫다 옳다 모자라다 나쁘다 낫다 멋있다 야무지다 낡다 슴슴하다 척하다 가볍다  힘드다 어떻다 강하다 벅차다 심하다 수많다 비싸다 알차다 뜨다 기름지다 아름답다 두껍다 실하다 빠르다 싸다 드넓다 아쉬우다 세다 적다 싱겁다 맛나다 맛없다 새롭다 맵다 착하다 똑같다 진하다 저렇다 급하다 멀다 즐겁다 부드럽다 덥다 엄청나다,1
75광장,굳세다 싱그럽다 멋없다 환하다 귀찮다 찹다 적잖다 쎄다 연하다 귀엽다 후하다 갑작스럽다 예뿌다 나쁘다 차다 낫다  어떠다 붙다 불만족스럽다 하찮다 지나치다 기쁘다 재미있다 패다 가파르다 둥글다 설다 붉다 옅다 맛나다 맵다 저렇다 멀다 춥다 인상깊다 구다 엄청나다 푸르다 장하다 굵다 서럽다 시끄럽다 정겹다 가깝다 아무렇다 외롭다 궂다 반갑다 손쉽다 차갑다 이쁘다 걸맞다 어이없다 못지않다 가볍다 까지다 강하다 알맞다 멋지다 수많다 알차다 번거롭다 빠르다 묘하다 젊다 얕다 지대다 똑같다 어렵다 험하다 웁다 마땅찮다 깊다 배부르다 맑다 좁다 곱다 낮다 바쁘다 습하다 싫다 엷다 지리다 빨갛다 야무지다 무섭다 줄기차다 머다 힘드다 고맙다 사이좋다 배고프다 흥겹다 아름답다 예뻤다 쑥쓰럽다 어딨다 미끄럽다 밝다 맛없다 새롭다 쨍하다 급하다 하얗다 귀하다 부드럽다 순하다 나다 죠다 까맣다  아깝다 고르다 얇다 수줍다 뒤늦다 이렇다 희다 낯설다 옳다 머지않다 아프다 멋있다 괴롭다 지겹다 안타깝다 벅차다 비싸다 부럽다 뜨다 놀랍다 깜다 그립다 드넓다 자리다 세다 아쉬우다 적다 앙증맞다 빡세다 쓸데없다 즐겁다 흐리다 덥다,2
AREA6,덜하다 귀찮다 어둡다 겉다 귀엽다 나쁘다 독하다 낫다 추우다 낡다  촌스럽다 지나치다 재미있다 밤늦다 설다 맛나다 맵다 춥다 엄청나다 우연찮다 굵다 가깝다 아무렇다 멋쩍다 반갑다 이쁘다 걸맞다 가볍다 매섭다 강하다 알맞다 멋지다 알차다 기막히다 남부럽다 빠르다 젊다 새까맣다 착하다 똑같다 어렵다 뜨겁다 어떻다 손색없다 상관없다 깊다 배부르다 맑다 좁다 곱다 낮다 싫다 귀여우다 야무지다 무섭다 어설프다 사이좋다 심하다 아름답다 두껍다 게으르다 맛없다 새롭다 급하다 부드럽다 나다 까맣다  무겁다 재미나다 고르다 고프다 이렇다 낯설다 멋있다 지겹다 안타깝다 비싸다 뿌옇다 놀랍다 싸다 세다 적다 즐겁다 흐리다 덥다,1
BIFF 광장, 어지럽다 귀찮다 얇다 정겹다 부드럽다 끊임없다 배부르다 새롭다 맑다 가깝다 좁다 귀엽다 뽀얗다 흔하다 곱다 반갑다 습하다 싫다 옳다 나쁘다 차다 이쁘다 멋있다 낡다  지겹다 고맙다 알맞다 사이좋다 수많다 얼큰하다 알차다 지나치다 재미있다 싸다 게으르다 묘하다 밝다 드넓다 적다 맛나다 맛없다 갓다 빡세다 착하다 진하다 똑같다 저렇다 어렵다 급하다 멀다 즐겁다 뜨겁다 흐리다 춥다 나다 덥다 힘겹다 죠다,1
F1963,잦다 거칠다  뜬금없다 환하다 귀찮다 깊다 부드럽다 고프다 맑다 쎄다 가깝다 좁다 귀엽다 이렇다 흔하다 낯설다 낮다 반갑다 바쁘다 옳다 습하다 차갑다 차다 낫다 이쁘다 추우다 멋있다 걸맞다 무섭다 독하다 어이없다 슴슴하다 가볍다  강하다 멋지다 심하다 굳다 수많다 비싸다 알차다 아름답다 재미있다 빠르다 쩔다 젊다 밝다 밭다 아쉬우다 세다 적다 맛나다 빡세다 새롭다 갓다 진하다 급하다 어렵다 저렇다 멀다 즐겁다 뜨겁다 흐리다 인상깊다 덥다 엄청나다,2
KT&G 상상마당 부산,싱그럽다 발다 환하다 어지럽다 귀찮다 겉다 어둡다 달큰하다 찹다 적잖다 바르다 쎄다 그럴싸하다 나긋나긋하다 따시다 귀엽다 연하다 어리석다 갑작스럽다 후하다 즐거다 예뿌다 짙다 나쁘다 낫다 안녕하다 구슬프다 추우다 폭넓다 잽싸다 낡다 어떠다  글다 밉다 드높다 두렵다 지나치다 영락없다 기쁘다 재미있다 슬프다 까다롭다 뜻깊다 허하다 애꿎다 쿨하다 가파르다 빨르다 둥글다 싱겁다 조다 맛나다 붉다 갓다 맵다 저렇다 멀다 부끄럽다 춥다 인상깊다 때맞다 냅다 엄청나다 우연찮다 푸르다 장하다 해맑다 굵다 뜬금없다 시끄럽다 야물딱지다 정겹다 파랗다 쓸모있다 가깝다 아무렇다 외롭다 궂다 우하다 반갑다 손쉽다 우렁차다 재빠르다 뜨거우다 차갑다 망하다 이쁘다 거침없다 드럽다 어이없다 실허다 가볍다 쪼끄맣다 가느다 씨다 안쓰럽다 못지않다 강하다 조그맣다 멋지다 수많다 굳다 기름지다 알차다 어려우다 번거롭다 빠르다 이다 존다 쩔다 젊다 묘하다 덩그러다 따갑다 새까맣다 얕다 착하다 변함없다 똑같다 진하다 어렵다 차가우다 험하다 뜨겁다 둥그렇다 누리다 우중충하다 어떻다 정신없다 잦다 웁다 손색없다 감쪽같다 름없다 구리다 시덥다 더럽다 깊다 상관없다 배부르다 저리다 약하다 맑다 느리다 좁다 여깄다 질기다 흔하다 어마다 낮다 바쁘다 점잖다 습하다 싫다 귀여우다 더우다 곱다 힘겹다 시리다 색다르다 빨갛다 잘나다 야무지다 무섭다 속상하다 힘드다 업다 짠하다 동그랗다 고맙다 달갑다 심하다 배고프다 어딨다 아름답다 두껍다 무지하다 게으르다 올바르다 미끄럽다 밝다 올곧다 밭다 맛없다 새롭다 검다 쨍하다 급하다 아까우다 거하다 야하다 하얗다 나다 부드럽다 순하다 까맣다 죠다 틀림없다 활기차다 귀하다  무겁다 아깝다 재미없다 고르다 떫다 얇다 재미나다 검붉다 과하다 속되다 끊임없다 고프다 케케묵다 오래다 뒤늦다 형편없다 이렇다 뽀얗다 낯설다 아프다 노랗다 멋있다 숭하다 그지없다 괴롭다 오지다 안타깝다 비싸다 부럽다 뜨다 잘다 놀랍다 싸다 고되다 깜다 드넓다 억세다 따스다 세다 더디다 적다 아쉬우다 아푸다 앙증맞다 빡세다 싶다 낯익다 쓸데없다 즐겁다 역겹다 흐리다 덥다 어리다 가까우다,0
SEA LIFE 부산아쿠아리움,틀리다 어지럽다 귀찮다 어둡다 바르다 귀엽다 징그럽다 나쁘다  사납다 하찮다 지나치다 쌔다 촌스럽다 재미있다 슬프다 애꿎다 맛나다 붉다 맵다 저렇다 멀다 춥다 엄청나다 굵다 날카롭다 반갑다 재빠르다 차갑다 부끄러우다 이쁘다 뛰어나다 못지않다 안쓰럽다 매섭다 강하다 알맞다 수많다 멋지다 알차다 빠르다 얕다 기차다 진하다 어렵다 뜨겁다 어떻다 정신없다 감쪽같다 깊다 상관없다 느리다 좁다 바쁘다 싫다 귀여우다 야무지다 무섭다 날래다 고맙다 사이좋다 아름답다 무지하다 밝다 검다 맛없다 새롭다 급하다 부드럽다 활기차다  재미없다 얇다 이렇다 옳다 아프다 앙칼지다 멋있다 지겹다 비싸다 싸다 그립다 아쉬우다 세다 적다 앙증맞다 즐겁다,2
[부산 갈맷길 2코스] 2구간 민락교~오륙도,좁다랗다  눈부시다 무덥다 아깝다 고르다 상관없다 드물다 과하다 깊다 힘차다 약하다 끊임없다 파랗다 어김없다 맑다 간데없다 가깝다 좁다 고프다 이렇다 낮다 반갑다 나다 싫다 재빠르다 차갑다 아프다 이쁘다 낫다 멋있다 야무지다 무섭다 낡다  가볍다 버겁다 매섭다 고맙다 멋지다 수많다 굳다 비싸다 부럽다 아름답다 예뻤다 기막히다 뿌옇다 빠르다 재미있다 지나치다 젊다 그립다 둥글다 드넓다 적다 얕다 붉다 빡세다 새롭다 갓다 쨍하다 급하다 어렵다 훤하다 저렇다 멀다 즐겁다 뜨겁다 흐리다 춥다 귀하다 어떻다 덥다 엄청나다,2
가덕도,어리다 싱그럽다 더리다 덜하다 환하다 어지럽다 귀찮다 겉다 단촐하다 어둡다 쎄다 연하다 귀엽다 징그럽다 갑작스럽다 따시다 즐거다 예뿌다 짙다 나쁘다 차다 파라다 낫다 추우다 어두우다 유례없다 낡다 어떠다 비좁다 세차다  별하다 대차다 따숩다 소용없다 밉다 짓궂다 얼큰하다 촌스럽다 지나치다 기쁘다 재미있다 슬프다 밤늦다 뜻깊다 가파르다 겹다 기다랗다 조다 시커멓다 설다 붉다 맛나다 갓다 맵다 심심찮다 저렇다 두꺼우다 멀다 부끄럽다 춥다 인상깊다 구다 엄청나다 우연찮다 푸르다 찐하다 굵다 눈부시다 해맑다 뜬금없다 시끄럽다 읎다 좁디좁다 드물다 정겹다 힘차다 미끄러우다 파랗다 쓸모있다 이채롭다 가깝다 그리우다 외롭다 궂다 반갑다 재빠르다 차갑다 부끄러우다 찡하다 이쁘다 걸맞다 어이없다 못지않다 가볍다 경이롭다 해로우다 강하다 알맞다 조그맣다 멋지다 수많다 굳다 알차다 어려우다 기막히다 번거롭다 빠르다 존다 쩔다 젊다 부드러우다 따갑다 얕다 착하다 변함없다 똑같다 진하다 어렵다 험하다 뜨겁다 둥그렇다 어떻다 정신없다 잦다 거칠다 웁다 보드랍다 손색없다 고풍스럽다 무덥다 름없다 만다 깊다 상관없다 격하다 넓디넓다 배부르다 약하다 널럴하다 저리다 맑다 느리다 좁다 흔하다 곱다 낮다 바쁘다 습하다 싫다 더우다 섭하다 귀여우다 없다다 시리다 빨갛다 야무지다 무섭다 업다 짠하다 번거럽다 힘드다 머다 드세다 고맙다 사이좋다 배고프다 심하다 성싶다 흥겹다 아름답다 어딨다 예뻤다 쓸모없다 게으르다 미끄럽다 밝다 박하다 맛없다 새롭다 검다 급하다 거하다 아리다 하얗다 귀하다 부드럽다 나다 순하다 까맣다 틀림없다 간드러지다 묽다  무겁다 아깝다 고르다 재미없다 얇다 스럽다 과하다 문제없다 고프다 수줍다 뒤늦다 이렇다 희다 뽀얗다 낯설다 옳다 아프다 노랗다 거세다 멋있다 얄밉다 시다 괴롭다 서투다 지겹다 안타깝다 비싸다 부럽다 뜨다 잘다 뿌옇다 놀랍다 싸다 깜다 흐드러지다 비리다 드넓다 남다르다 그립다 세다 아쉬우다 적다 차지다 아푸다 앙증맞다 빡세다 낯익다 웂다 즐겁다 성하다 흐리다 덥다 힘겹다 가까우다,0
가덕도 등대,간드러지다 굵다  시끄럽다 환하다 귀찮다 깊다 과하다 문제없다 수줍다 고프다 맑다 쎄다 가깝다 좁다 이렇다 귀엽다 징그럽다 힘겹다 바쁘다 반갑다 낮다 싫다 거세다 이쁘다 빨갛다 무섭다 낡다  가볍다 고맙다 멋지다 수많다 알차다 어려우다 지나치다 아름답다 잘다 기쁘다 빠르다 놀랍다 뜻깊다 게으르다 깜다 드넓다 세다 적다 맛나다 붉다 맛없다 급하다 어렵다 둥그렇다 즐겁다 아리다 귀하다 부드럽다 어리다,2
가덕도 연대봉,푸르다 웁다 굵다  눈부시다 시끄럽다 귀찮다 상관없다 깊다 어둡다 약하다 수줍다 이채롭다 맑다 가깝다 좁다 귀엽다 이렇다 바쁘다 낮다 반갑다 까맣다 싫다 차갑다 짙다 노랗다 나쁘다 아프다 이쁘다 멋있다 야무지다 무섭다  못지않다 가볍다 경이롭다 알맞다 안타깝다 멋지다 수많다 심하다 비싸다 알차다 아름답다 지나치다 빠르다 재미있다 놀랍다 싸다 게으르다 쩔다 밝다 따갑다 조다 얕다 붉다 급하다 어렵다 둥그렇다 멀다 춥다 귀하다 나다 덥다 어리다 엄청나다,2
가덕도대항인공동굴,굳세다 아름다우다 환하다 어지럽다 귀찮다 어둡다 겉다 따시다 귀엽다 징그럽다 연하다 짙다 나쁘다 낫다 안녕하다 어두우다 낡다  따숩다 지나치다 짙푸르다 재미있다 슬프다 뜻깊다 가파르다 둥글다 짜다 조다 붉다 맛나다 맵다 저렇다 멀다 부끄럽다 춥다 인상깊다 엄청나다 푸르다 찐하다 굵다 눈부시다 해맑다 시끄럽다 드물다 힘차다 정겹다 파랗다 이채롭다 가깝다 반갑다 뜨거우다 차갑다 이쁘다 뛰어나다 못지않다 가볍다 어이없다 멋지다 수많다 굳다 알차다 기막히다 빠르다 존다 쩔다 젊다 묘하다 따갑다 무르다 얕다 착하다 변함없다 똑같다 어렵다 친하다 험하다 둥그렇다 어떻다 잦다 자그맣다 더럽다 깊다 두텁다 널럴하다 맑다 느리다 좁다 힘겹다 바쁘다 낮다 습하다 싫다 시리다 야무지다 무섭다 속상하다 힘드다 짠하다 동그랗다 고맙다 매끄럽다 달갑다 심하다 아름답다 두껍다 미끄럽다 밝다 밭다 박하다 새롭다 급하다 귀하다 부드럽다 나다 까맣다 틀림없다 죠다 동떨어지다 묽다  무겁다 아깝다 고르다 서툴다 고프다 이렇다 희다 뽀얗다 낯설다 옳다 머지않다 아프다 멋있다 괴롭다 안타깝다 비싸다 싸다 고되다 흐드러지다 그립다 드넓다 아푸다 더디다 세다 아쉬우다 적다 즐겁다 흐리다 덥다 어리다,2
가덕해양파크휴게소,아름다우다 환하다 귀찮다 겉다 어둡다 찹다 연하다 귀엽다 징그럽다 어리석다 예뿌다 짙다 나쁘다 차다 커다랗다 파라다 추우다 낫다 세차다 낡다 비좁다 잽싸다  대차다 시답다 밉다 무디다 두렵다 지나치다 힘없다 심상찮다 재미있다 슬프다 까다롭다 뜻깊다 가파르다 싱겁다 조다 발갛다 설다 맛나다 붉다 갓다 맵다 누렇다 저렇다 멀다 외지다 춥다 구다 엄청나다 푸르다 굵다 눈부시다 시끄럽다 읎다 드물다 정겹다 힘차다 가깝다 반갑다 차갑다 이쁘다 걸맞다 어이없다 못지않다 가볍다 씨다 까지다 강하다 알맞다 멋지다 수많다 굳다 알차다 어려우다 빠르다 묘하다 젊다 쩔다 덩그러다 따갑다 새까맣다 얕다 착하다 똑같다 진하다 어렵다 둥그렇다 뜨겁다 친하다 용하다 누리다 어떻다 잦다 곧다 웁다 손색없다 름없다 만다 그르다 깊다 상관없다 두텁다 배부르다 약하다 맑다 느리다 좁다 흔하다 곱다 바쁘다 낮다 힘겹다 습하다 싫다 귀여우다 섭하다 시리다 색다르다 빨갛다 야무지다 무섭다 부여다 머다 힘드다 업다 짠하다 너그럽다 동그랗다 고맙다 요렇다 심하다 아름답다 실하다 게으르다 밝다 미우다 밭다 검다 새롭다 의좋다 급하다 옥다 하얗다 귀하다 부드럽다 나다 죠다 활기차다 틀림없다  습지다 무겁다 아깝다 재미나다 재미없다 얇다 스럽다 고프다 수줍다 끊임없다 뒤늦다 이렇다 뽀얗다 머지않다 아프다 멋있다 지겹다 오지다 안타깝다 비싸다 부럽다 잘다 뿌옇다 놀랍다 싸다 역하다 흐드러지다 비리다 드넓다 그립다 아쉬우다 세다 적다 빡세다 구지다 즐겁다 흐리다 빡시다 덥다 어리다 가까우다,0
가야공원 / 가야산책공원,뜻있다 틀리다 가물다 귀찮다 끄떡없다 나쁘다 낡다  어떠다 약다 너르다 설다 저렇다 해맑다 뜬금없다 손쉽다 차갑다 이쁘다 거침없다 못지않다 에리다 조그맣다 알차다 유별나다 존다 젊다 따갑다 친하다 쿰쿰하다 곧다 값싸다 무덥다 름없다 느리다 여깄다 곱다 낮다 삐뚫다 속상하다 얄궂다 아름답다 쑥쓰럽다 관계없다 게으르다 맛없다 어럽다 옥다 야하다 틀림없다 재미나다 고르다 스럽다 수줍다 뒤늦다 뽀얗다 거세다 예스럽다 지겹다 뿌옇다 놀랍다 비리다 더디다 아쉬우다 앙증맞다 싶다 어리다 덜하다 징그럽다 족하다 추우다 안녕하다 세차다 비좁다 사납다 대차다 두드러지다 당차다 무디다 지나치다 둥글다 붉다 맛나다 심심찮다 숨차다 멀다 부끄럽다 외지다 푸르다 서럽다 정겹다 힘차다 새파랗다 부끄러우다 어이없다 쪼끄맣다 가느다 매섭다 칩다 어려우다 기막히다 묘하다 쩔다 덩그러다 어처구니없다 진하다 똑같다 어렵다 목마르다 맑디맑다 어떻다 잦다 이롭다 상관없다 맑다 좁다 질기다 귀여우다 빨갛다 무섭다 버겁다 부시다 힘드다 끈질기다 고맙다 달갑다 배고프다 어딨다 무지하다 박하다 새롭다 급하다 아까우다 하얗다 활기차다 아깝다 과하다 오래다 이렇다 희다 아프다 슴슴하다 그지없다 감질나다 쎼다 오지다 뻔하다 영하다 흐드러지다 자리다 차지다 빡세다 덥다 굳세다 싱그럽다 아름다우다 환하다 어지럽다 어둡다 갑작스럽다 즐거다 예뿌다 싸납다 짙다 잽싸다 별하다 시답다 짓궂다 두렵다 하찮다 촌스럽다 기쁘다 슬프다 뜻깊다 조다 갓다 맵다 춥다 인상깊다 우연찮다 굵다 시끄럽다 드물다 파랗다 가깝다 반갑다 뜨거우다 드럽다 멋들어지다 가볍다 안쓰럽다 멋지다 수많다 굳다 기름지다 빠르다 부드러우다 생뚱맞다 얕다 그릏다 변함없다 험하다 정신없다 거칠다 보드랍다 더럽다 넓디넓다 배부르다 약하다 저리다 습하다 싫다 더우다 길다랗다 시뻘겋다 줄기차다 헛되다 짠하다 동그랗다 심하다 흥겹다 두껍다 예뻤다 덧없다 밝다 밭다 쨍하다 훤하다 귀하다 부드럽다 죠다 까맣다 가득차다 재미없다 서툴다 고프다 간데없다 낯설다 옳다 머지않다 노랗다 푸르르다 시다 샛노랗다 비싸다 잘다 고되다 남다르다 따스다 어여쁘다 적다 만만찮다 낯익다 즐겁다 흐리다 힘겹다 둔하다 호되다 달큰하다 겉다 찹다 바르다 쎄다 연하다 귀엽다 차다 커다랗다 굴뚝같다 낫다 민하다 따숩다 볼품없다 재미있다 까다롭다 가파르다 싱겁다 기다랗다 옅다 누렇다 빠삭하다 엄청나다 휑하다 허물없다 눈부시다 아무렇다 외롭다 재빠르다 걸맞다 뛰어나다 간지럽다 해롭다 강하다 알맞다 바뿌다 언덕지다 착하다 해묵다 뜨겁다 놉다 자그맣다 기운차다 손색없다 깊다 흔하다 바쁘다 섭하다 색다르다 야무지다 어설프다 매끄럽다 실하다 쓸모없다 올바르다 무서우다 검다 나다 순하다 묽다  습지다 무겁다 얇다 문제없다 정답다 멋있다 안타깝다 끝없다 부럽다 싸다 그립다 드넓다 세다 철없다 높다랗다 숱하다 가까우다,0
감지해변,어리다 아름다우다 횡하다 틀리다 더리다 덜하다 환하다 어지럽다 귀찮다 어둡다 겉다 찹다 적잖다 바르다 쎄다 연하다 귀엽다 따시다 갑작스럽다 어리석다 예뿌다 짙다 나쁘다 차다 커다랗다 굴뚝같다 낫다 안녕하다 어두우다 세차다 낡다 어떠다 높디높다 비좁다 잽싸다  가렵다 두렵다 하찮다 지나치다 쌔다 기쁘다 재미있다 슬프다 까다롭다 억수같다 가파르다 둥글다 싱겁다 조다 붉다 맛나다 익다 맵다 갓다 저렇다 답다 멀다 부끄럽다 춥다 인상깊다 구다 냅다 엄청나다 휑하다 푸르다 찐하다 굵다 눈부시다 해맑다 시끄러우다 뜬금없다 시끄럽다 힘차다 정겹다 어김없다 파랗다 가깝다 아무렇다 외롭다 궂다 빨가다 반갑다 손쉽다 재빠르다 뜨거우다 차갑다 부끄러우다 찡하다 이쁘다 거침없다 드럽다 걸맞다 어이없다 못지않다 가볍다 뛰어나다 간지럽다 참하다 경이롭다 매섭다 강하다 알맞다 멋지다 수많다 굳다 알차다 기름지다 빠르다 쩔다 젊다 묘하다 어쭙잖다 따갑다 새까맣다 얕다 지대다 착하다 변함없다 똑같다 진하다 어렵다 새로우다 뜨겁다 누리다 어떻다 정신없다 자그맣다 거칠다 웁다 푸지다 더럽다 깊다 상관없다 배부르다 약하다 맑다 질기다 좁다 흔하다 언짢다 낮다 바쁘다 곱다 습하다 싫다 귀여우다 섭하다 지리다 더우다 시리다 색다르다 빨갛다 야무지다 무섭다 줄기차다 짠하다 힘드다 속상하다 우습다 동그랗다 고맙다 사이좋다 심하다 배고프다 아름답다 어딨다 예뻤다 실하다 무지하다 무서우다 미끄럽다 밝다 밭다 맛없다 새롭다 검다 많고많다 쨍하다 급하다 거하다 하얗다 귀하다 부드럽다 야하다 나다 까맣다 활기차다 틀림없다 죠다  무겁다 아깝다 고르다 떫다 재미없다 얇다 스럽다 과하다 고프다 오래다 뒤늦다 쬐끄맣다 이렇다 희다 낯설다 아프다 노랗다 거세다 멋있다 푸르르다 시다 그지없다 괴롭다 안타깝다 힘있다 가벼웁다 비싸다 부럽다 뜨다 잘다 싱거우다 놀랍다 싸다 고되다 그립다 비리다 자리다 드넓다 세다 아쉬우다 적다 억세다 지겨우다 빡세다 쓸데없다 가열차다 즐겁다 흐리다 덥다 힘겹다 가까우다,0
감천문화마을골목축제,거칠다  시끄럽다 재미나다 어둡다 정겹다 약하다 뒤늦다 맑다 좁다 귀엽다 흔하다 바쁘다 반갑다 엄청나다 나쁘다 아프다 이쁘다 낫다 멋있다 걸맞다 무섭다 야무지다 낡다 비좁다 가볍다  하얗다 달갑다 벅차다 멋지다 굳다 비싸다 부럽다 알차다 아름답다 어딨다 지나치다 재미있다 빠르다 놀랍다 고되다 젊다 밝다 덩그러다 적다 붉다 맛나다 새롭다 착하다 똑같다 급하다 어렵다 즐겁다 멀다 뜨겁다 춥다 부드럽다 덥다 정신없다 가까우다,2
강서낙동강변30리벚꽃축제,찐하다  무겁다 고달프다 시끄럽다 귀찮다 깊다 어둡다 넓디넓다 저리다 오래다 맑다 가깝다 좁다 귀엽다 곱다 낮다 죠다 예뿌다 싫다 짙다 노랗다 아프다 나쁘다 이쁘다 멋있다 무섭다  가볍다 매섭다 괴롭다 안타깝다 수많다 멋지다 부럽다 아름답다 빠르다 흐드러지다 밝다 드넓다 밭다 적다 앙증맞다 붉다 갓다 새롭다 맛나다 똑같다 급하다 어렵다 부끄럽다 멀다 즐겁다 흐리다 춥다 빡시다 정신없다 엄청나다,2
개금밀면,덜하다 귀찮다 겉다 어둡다 쎄다 귀엽다 얄짤없다 나쁘다 안녕하다  지나치다 기쁘다 재미있다 슬프다 가늘다 조다 맛나다 맵다 고파다 저렇다 멀다 엄청나다 눈부시다 시끄럽다 가깝다 가벼우다 차갑다 이쁘다 드럽다 가볍다 까지다 강하다 알맞다 멋지다 수많다 알차다 빠르다 쩔다 진하다 똑같다 어렵다 뜨겁다 깊다 맑다 좁다 질기다 어마다 낮다 바쁘다 습하다 싫다 더우다 색다르다 야무지다 고맙다 심하다 아름답다 짝다 밝다 맛없다 급하다 부드럽다 묽다  무겁다 얇다 과하다 고프다 쓰리다 이렇다 옳다 머지않다 아프다 멋있다 비싸다 놀랍다 싸다 고되다 자리다 세다 아쉬우다 적다 덥다,1
