adj,count
맑다,496
멀다,488
적다,487
빠르다,485
싫다,484
깊다,472
이쁘다,471
어렵다,463
귀엽다,460
가깝다,457
좁다,455
가볍다,455
재미있다,451
멋지다,445
알차다,443
즐겁다,442
덥다,441
멋있다,440
밝다,429
비싸다,428
아름답다,415
엄청나다,414
춥다,388
무섭다,387
급하다,387
젊다,387
야무지다,380
낮다,374
새롭다,373
수많다,364
싸다,361
붉다,339
반갑다,320
아깝다,287
뜨겁다,271
낫다,271
어둡다,257
놀랍다,245
힘드다,243
시끄럽다,243
쎄다,241
고르다,239
안타깝다,228
정신없다,227
낯설다,222
아쉬우다,213
드넓다,212
알맞다,212
낡다,211
짙다,211
푸르다,210
얕다,207
차갑다,206
느리다,205
곱다,204
색다르다,204
하얗다,203
습하다,202
무겁다,202
슬프다,201
못지않다,201
걸맞다,195
예뿌다,194
가파르다,192
빡세다,190
어이없다,190
차다,185
흔하다,183
정겹다,181
빨갛다,180
두껍다,180
환하다,180
파랗다,180
묘하다,180
인상깊다,179
드물다,175
가까우다,172
뜻깊다,171
그립다,171
과하다,170
힘차다,167
더우다,165
거칠다,156
재미없다,155
어려우다,152
기쁘다,152
약하다,151
부끄럽다,150
지겹다,149
귀여우다,148
노랗다,144
찹다,143
실하다,141
앙증맞다,141
귀하다,140
희다,140
눈부시다,139
동그랗다,138
오래다,137
섭하다,137
뿌옇다,136
뛰어나다,136
어지럽다,133
더럽다,131
힘겹다,131
잽싸다,131
재빠르다,127
조그맣다,126
손쉽다,125
세차다,125
활기차다,124
틀림없다,124
외롭다,123
비좁다,119
해맑다,119
남다르다,118
까맣다,116
연하다,116
재미나다,116
손색없다,115
험하다,114
커다랗다,112
쓸데없다,108
징그럽다,108
하찮다,107
따갑다,107
수줍다,106
쩔다,106
사이좋다,104
추우다,103
거세다,102
오지다,98
덩그러다,97
쨍하다,97
촌스럽다,97
두렵다,97
구리다,94
순하다,93
까다롭다,90
흐드러지다,90
아름다우다,89
심심찮다,88
속상하다,88
예뻤다,88
드세다,87
끊임없다,86
친하다,86
번거롭다,83
뜨거우다,83
따숩다,83
휑하다,83
변함없다,82
미끄럽다,80
시리다,80
우습다,79
싱그럽다,79
밤늦다,79
무덥다,78
빡시다,78
드럽다,76
짠하다,76
고되다,75
바르다,75
어설프다,74
곧다,73
뻔하다,71
매섭다,68
경이롭다,68
매끄럽다,67
문제없다,67
푸르르다,67
훤하다,66
단촐하다,65
벅차다,64
폭넓다,63
보드랍다,63
흥겹다,62
박하다,61
낯익다,59
따시다,58
밉다,56
서럽다,55
사납다,55
생뚱맞다,55
즐거다,54
넓디넓다,53
이롭다,53
굳세다,52
후하다,51
정답다,51
어두우다,50
빼어나다,49
격하다,48
지겨우다,47
감명깊다,46
버겁다,45
서툴다,45
새까맣다,44
부시다,44
야물딱지다,43
만만찮다,43
냅다,42
멋들어지다,42
달갑다,41
줄기차다,41
거침없다,41
벌겋다,41
기막히다,40
우렁차다,40
족하다,40
그럴싸하다,39
기똥차다,39
적잖다,38
빡쎄다,38
살갑다,38
씨다,37
찰지다,37
옛스럽다,36
억세다,36
얄궂다,35
새하얗다,35
보람차다,35
지리다,34
검붉다,34
용하다,34
숱하다,34
가쁘다,34
주의깊다,34
특출나다,34
헛되다,33
드높다,33
감질나다,33
값싸다,33
새파랗다,33
값지다,33
뼈저리다,33
주옥같다,33
외지다,32
뜻있다,32
누리다,31
좁디좁다,31
새빨갛다,31
즐거우다,31
유례없다,30
점잖다,29
미끄러우다,29
볼품없다,29
짓궂다,28
숨차다,27
시뻘겋다,27
목마르다,27
서글프다,27
슬푸다,27
유별나다,26
마땅찮다,25
두드러지다,25
청승맞다,25
시퍼렇다,25
쑥스럽다,25
우중충하다,24
아낌없다,23
맑디맑다,22
올곧다,22
탁하다,21
시렵다,21
여리다,21
쪼그맣다,20
널럴하다,19
흉하다,19
높다랗다,18
애처롭다,18
멋없다,17
남부럽다,17
간드러지다,17
찡하다,17
어여쁘다,17
가엾다,17
후지다,17
익다,16
감쪽같다,15
더러우다,15
퍼렇다,15
역하다,14
너그럽다,14
끄떡없다,14
영하다,14
높디높다,14
어두다,14
희망차다,14
그리우다,13
샛노랗다,13
참하다,13
구성지다,13
특별나다,13
먹먹하다,13
새카맣다,13
따사롭다,13
고달프다,12
고우다,12
메마르다,12
캄캄하다,12
헐벗다,12
뿌리깊다,12
쿨하다,11
짙푸르다,11
요상하다,11
성스럽다,11
노오랗다,11
희뿌옇다,11
새로우다,10
파아랗다,10
즐거웁다,9
뜨시다,9
꿈같다,8
놀라우다,8
똑바르다,8
불티나다,8
한결같다,7
달디달다,7
비탈지다,7
눈물겹다,7
경사지다,7
모자라다,6
나긋나긋하다,6
횡하다,6
보잘것없다,6
고풍스럽다,5
많고많다,5
여유있다,5
도드라지다,5
짙붉다,5
단조롭다,5
빛바래다,4
