name,lat,lon,geometry,x_nm,x_dist
[부산 갈맷길 2코스] 2구간 민락교~오륙도,35.1618263,129.1325241,POINT (129.1325241 35.1618263),민락수변공원 공영주차장,779.3
168계단 / 모노레일,35.1174693,129.0354094,POINT (129.0354094 35.1174693),초1-1(주거지),35.8
25의용단,35.1715398,129.113594,POINT (129.113594 35.1715398),망미동노외공영주차장,1404.8
40계단 문화관,35.1050159,129.0345312,POINT (129.0345312 35.1050159),부산우체국 뒤 공영주차장,86.3
40계단 문화관광테마거리,35.1048438,129.0375849,POINT (129.0375849 35.1048438),유창빌딩 앞 공영주차장,108.2
75광장,35.0791482,129.0537646,POINT (129.0537646 35.0791482),하늘전망대앞,574.6
가덕도,35.0526206,128.8310012,POINT (128.8310012 35.0526206),녹산산단공영주차장,3578.3
가덕도 등대,34.9902946,128.8288642,POINT (128.8288642 34.9902946),대항공영 주차장,2419.1
가덕도 연대봉/연태봉,35.0268467,128.8341087,POINT (128.8341087 35.0268467),대항공영 주차장,1682.4
가덕도 외양포 포진지,35.0061867,128.8249547,POINT (128.8249547 35.0061867),대항공영 주차장,798.2
가덕해양파크휴게소,35.0232749,128.8081041,POINT (128.8081041 35.0232749),대항공영 주차장,2352.4
가야산책공원,35.1478529,129.0273344,POINT (129.0273344 35.1478529),가야공원,238.6
감만시민공원,35.109648,129.068746,POINT (129.068746 35.109648),청학시장,1668.7
감지해변,35.0598613,129.0775175,POINT (129.0775175 35.0598613),태종대유원지부설주차장,508.7
감천문화마을골목축제,35.0962711,129.009441,POINT (129.009441 35.0962711),보수복개천 공영주차장,1407.4
감천항,35.0833707,128.9982069,POINT (128.9982069 35.0833707),자갈치 공영주차장,2920.8
강서낙동강변30리벚꽃축제,35.2072144,128.9798273,POINT (128.9798273 35.2072144),삼락재첩거리주변,1628.8
갤러리 ERD 부산,35.1610212,129.163979,POINT (129.163979 35.1610212),해우주차장,123.1
곰내연밭,35.2953712,129.169533,POINT (129.169533 35.2953712),정관읍 상업지역 노상주차장,2796.6
공수어촌체험마을,35.184442,129.2111896,POINT (129.2111896 35.184442),송정호안도로,701.1
관수옥과 초량왜관 터,35.1007009,129.0323127,POINT (129.0323127 35.1007009),용두산 공영주차장,202.7
관음사,35.1093702,128.9763205,POINT (128.9763205 35.1093702),엄궁외식1번가주변,2084.5
광복로패션거리,35.0985271,129.0303681,POINT (129.0303681 35.0985271),자갈치시장 앞 공영주차장,210.5
광안리 SUP Zone 해양레포츠센터,35.1456754,129.1134193,POINT (129.1134193 35.1456754),광안리해수욕장 공영주차장,691.1
광안리어방축제,35.15106,129.1167741,POINT (129.1167741 35.15106),광안리해수욕장 공영주차장,75.5
광안리패들보드,35.146157,129.1133864,POINT (129.1133864 35.146157),광안리해수욕장 공영주차장,642.6
광안리해수욕장,35.1531696,129.118666,POINT (129.118666 35.1531696),광안리해수욕장 공영주차장,296.9
구덕 민속예술관,35.1217413,129.0169653,POINT (129.0169653 35.1217413),수5-1(주거지),1163.9
구덕문화공원,35.1264175,129.0049919,POINT (129.0049919 35.1264175),학장천공영주차장,2333.6
구덕야영장,35.1270353,129.0113636,POINT (129.0113636 35.1270353),수5-1(주거지),1838.6
구포 무장애숲길,35.1990906,129.0013807,POINT (129.0013807 35.1990906),모라중학교 지하(노외),1263.5
구포 어린이교통공원,35.2008077,128.9997501,POINT (128.9997501 35.2008077),모라중학교 지하(노외),1338.7
구포만세역사테마거리,35.2079261,129.0001602,POINT (129.0001602 35.2079261),삼락재첩거리주변,2072.9
