name,lat,lon
[부산 갈맷길 2코스] 2구간 민락교~오륙도,35.1618263,129.1325241
168계단 / 모노레일,35.1174693,129.0354094
25의용단,35.1715398,129.113594
40계단 문화관,35.1050159,129.0345312
40계단 문화관광테마거리,35.1048438,129.0375849
75광장,35.0791482,129.0537646
가덕도,35.0526206,128.8310012
가덕도 등대,34.9902946,128.8288642
가덕도 연대봉/연태봉,35.0268467,128.8341087
가덕도 외양포 포진지,35.0061867,128.8249547
가덕해양파크휴게소,35.0232749,128.8081041
가야산책공원,35.1478529,129.0273344
감만시민공원,35.109648,129.068746
감지해변,35.0598613,129.0775175
감천문화마을골목축제,35.0962711,129.009441
감천항,35.0833707,128.9982069
강서낙동강변30리벚꽃축제,35.2072144,128.9798273
갤러리 ERD 부산,35.1610212,129.163979
곰내연밭,35.2953712,129.169533
공수어촌체험마을,35.184442,129.2111896
관수옥과 초량왜관 터,35.1007009,129.0323127
관음사,35.1093702,128.9763205
광복로패션거리,35.0985271,129.0303681
광안리 SUP Zone 해양레포츠센터,35.1456754,129.1134193
광안리어방축제,35.15106,129.1167741
광안리패들보드,35.146157,129.1133864
광안리해수욕장,35.1531696,129.118666
구덕 민속예술관,35.1217413,129.0169653
구덕문화공원,35.1264175,129.0049919
구덕야영장,35.1270353,129.0113636
구포 무장애숲길,35.1990906,129.0013807
구포 어린이교통공원,35.2008077,128.9997501
구포만세역사테마거리,35.2079261,129.0001602
국립달음산자연휴양림,35.3015837,129.185463
국립부산과학관,35.21297,129.2218214
국립부산국악원,35.1713738,129.0543865
국립일제강제동원역사관,35.1238395,129.0923986
국립해양박물관,35.0807489,129.0791699
국제크루즈터미널,35.0807489,129.0791699
국청사,35.2536237,129.054801
그린레일웨이,35.1714481,129.1970787
금강공원,35.219909,129.0761736
금강식물원,35.2254714,129.076169
금련산,35.1616667,129.0961111
금수사,35.120194,129.0296217
금정사,35.2215679,129.0746039
금정산 (금정산성 동문),35.2830419,129.0554739
금정산성,35.2553994,129.0528395
금정산성 막걸리,35.2504164,129.0564792
금정산성마을 먹거리촌,35.2528764,129.0557452
금정산성축제,35.2326161,129.0892222
기장갯마을축제,35.263326,129.2338902
기장멸치축제,35.2248918,129.2299358
기장붕장어축제,35.2972408,129.2584294
기장해녀촌(연화리횟촌),35.2183624,129.2280722
기장향교,35.2575366,129.2158992
김민부전망대,35.1176852,129.0352497
깡깡이 예술마을,35.0926551,129.0349146
낙동강 생태탐방선,35.109748,128.9491877
낙동강구포나루축제,35.2266865,129.0035081
낙동강문화관,35.1082572,128.947434
낙동강생태탐방선,35.2266865,129.0035081
낙동강유채꽃축제,35.2098957,128.9842032
낙동강하구,35.1070944,128.9525113
낙동강하구에코센터,35.104497,128.9459942
남도해양관광열차 S-트레인(S-train),35.1170576,129.0436878
