,parking_nm,addr,Latitude,Longitude
0,신선동,부산광역시 영도구 하나길 472,35.0872047,129.0467815
1,봉래시장,부산광역시 영도구 대교로 9,35.0929839,129.0438043
2,유정아파트,부산광역시 영도구 장미계단길 123,35.0933092,129.0543457
3,청학시장,부산광역시 영도구 청학서로 88,35.0968421,129.059161
4,청학하나,부산광역시 영도구 청학서로 88,35.0968421,129.059161
5,청학초등학교,부산광역시 영도구 청학로 49,35.0930129,129.0590753
6,청학1동,부산광역시 영도구 봉래길 191,35.0910184,129.0522559
7,해돋이마을,부산광역시 영도구 와치로 2-14,35.0909691,129.0571417
8,청학2동,부산광역시 영도구 청학동로 18-1,35.0889783999999,129.0621486
9,청학동로,부산광역시 영도구 청학동로 58,35.0923688,129.0634559
10,청학스카이웨이,부산광역시 영도구 청학남로 15,35.0894925,129.0610765
11,영도중학교옆,부산광역시 영도구 동삼남로 32,35.0777395,129.0687838
12,영도해녀문화전시관,부산광역시 영도구 중리남로 2-36,35.0672527,129.0661724
13,신선스카이웨이,부산광역시 영도구 산제당길 154,35.0870419,129.048679
14,토토볼링장앞,부산광역시 영도구 대평남로 7,35.0912001,129.0347581
15,선용품유통센터앞,부산광역시 영도구 남항로 26,35.0890297,129.0392642
16,남항방파제,부산광역시 영도구 남항서로 52,35.0855728,129.0348482
17,절영해안산책로앞,부산광역시 영도구 해안산책길 52,35.081131,129.0412387
18,봉래동물양장,부산광역시 영도구 봉래나루로 79,35.0946021,129.0387515
19,인제병원앞,부산광역시 영도구 대교로46번길 22-6,35.0947873,129.0415362
20,해양로변,부산광역시 영도구 해양로 155,35.092216,129.0704761
21,태종보세장치장옆,부산광역시 영도구 해양로 175,35.0919813,129.0711201
22,하늘전망대앞,부산광역시 영도구 절영로 321,35.0739797,129.0541222
23,하수종말처리장옆,부산광역시 영도구 해양로 247,35.0861811,129.0760755
24,75광장앞,부산광역시 영도구 절영로 355,35.0718283,129.0576163
25,남항시장,부산광역시 영도구 절영로93번길 41,35.088267,129.0407603
26,신선하나,부산광역시 영도구 한결길 209,35.0911481,129.0468508
27,남천1동 공영주차장,부산광역시 수영구 황령대로 489번길 45,35.1398488,129.1091997
28,민락매립지 공영주차장,부산광역시 수영구 민락수변로17번길 60 (민락동),35.1548766,129.1272769
