parking_nm,p_latitude,p_longitude
신선동,35.08705236,129.0467623
봉래시장,35.0929268,129.0438271
유정아파트,35.09266318,129.0552642
청학시장,35.0968306,129.0592136
청학하나,35.09680071,129.0592793
청학초등학교,35.09320301,129.0595046
청학1동,35.09140058,129.056113
해돋이마을,35.0904128,129.0568423
청학2동,35.08920619,129.0622152
청학동로,35.09243615,129.0634763
청학스카이웨이,35.0902062,129.0593647
영도중학교옆,35.077534,129.0692786
영도해녀문화전시관,35.06700302,129.0660428
신선스카이웨이,35.086553,129.0483665
토토볼링장앞,35.08988328,129.0358092
선용품유통센터앞,35.08909927,129.0392675
남항방파제,35.08558483,129.034834
절영해안산책로앞,35.0811807,129.0412093
봉래동물양장,35.09453741,129.0387845
인제병원앞,35.0947933,129.0413566
해양로변,35.09221782,129.0704607
태종보세장치장옆,35.0910889,129.0718759
하늘전망대앞,35.07447027,129.0541446
하수종말처리장옆,35.08648588,129.0759224
75광장앞,35.0716713,129.0573621
남항시장,35.08826833,129.0407422
신선하나,35.09054756,129.0477633
남천1동 공영주차장,35.13985428,129.1091737
민락매립지 공영주차장,35.15488069,129.1271746
광안리해수욕장 공영주차장,35.15143053,129.1160952
망미동노외공영주차장,35.17031496,129.096892
민락수변공원 공영주차장,35.15480612,129.1324395
민락해변공원 공영주차장,35.15397219,129.1245132
태종대유원지부설주차장,35.062149,129.0820953
용호부두 공영주차장,35.1321062,129.1160951
용호만유람선터미널 부설주차장,35.13272835,129.1153521
기장시장 뒤편 부산은행 주변,35.24487521,129.216587
기장시장입구 동부산농협 주변,35.24297969,129.2139821
구 국민은행 옆 주변 복개도로,35.242676,129.216505
동양프라자 주변도로,35.24394538,129.2138019
일광면사무소주변,35.26420565,129.2322619
포스코아파트 앞 주변도로,35.24819605,129.2170719
정관읍 달산리 성림아파트 전면도로,35.32208372,129.1943896
기장중학교 정문 주변,35.24530092,129.2171912
정관읍 상업지역 노상주차장,35.3194361519,129.1783552598
정관7로 노상주차장,,
정관읍 구연로 40,35.3210426,129.1835989
임랑해수욕장 주변 행정봉사실 옆,35.31848129,129.263677
장안읍 임랑리 아름마을,35.316338,129.259625
좌천 재래시장,35.30900452,129.2429784
동부근린공원 인근 노외 공영 주차장,35.24854274,129.216683
오리 대룡마을,35.3698421,129.264722
기장 제1공영주차장,35.24403255,129.216915
길천마을,35.32835947,129.285721
정관 모전리 공영주차장,35.33536741,129.166157
유엔평화로 9번길(항도빌라 주변),,
제1주거지전용주차장,,
솔밭주거지전용주차장,,
제2주거지전용주차장,,
대연천 구거복개지,,
다보네가구 주차장(부설개방),,
용호중학교 옆 공영주차장,,
용호4동 주민센터 주변,,
해군아파트아래 담장길,,
부산성모병원 주차장,,
유엔평화로 153번길,,
감만2동 제1공영주차장,,
효성택시 진입로,,
E-마트 담벽 주변,,
하이빌 주변,,
신풍상사 주변,,
한일오피스텔주변,,
금샘로노상공영주차장,35.27166663,129.084858
온천천복개도로노상공영주차장,35.2717971,129.0894366
금정농협앞노상공영주차장,35.2715838,129.0887885
서1동제1공영주차장,35.21810034,129.0992917
서1동제2공영주차장,35.21829209,129.0970619
서1동제3공영주차장,35.2160512,129.0953033
서1동제4공영주차장,35.21944676,129.0961752
서2동공영주차장,35.2138541,129.1038824
서2동오차로공영주차장,35.2149949,129.098963
서3동제1공영주차장,35.2192505,129.1061743
서3동제2공영주차장,35.2175281,129.1034884
서3동제3공영주차장,35.2168088,129.1016901
금사동제1공영주차장,35.2209451,129.1094916
금사동제2공영주차장,35.220237,129.1113447
부곡2동공영주차장,35.22773109,129.0923915
부곡4동공영주차장,35.21857591,129.0935978
온천장북측공영주차장,35.2296176,129.0893411
