,name,lat,lon,geometry,travel_bus
0,168계단,35.1174693,129.0354094,POINT (129.0354094 35.1174693),동일파크맨션
1,25의용단,35.1715398,129.113594,POINT (129.113594 35.1715398),해운아파트
2,40계단 문화관,35.1050159,129.0345312,POINT (129.0345312 35.1050159),중앙동
3,40계단 문화관광테마거리,35.1048438,129.0375849,POINT (129.0375849 35.1048438),연안여객터미널
4,60년전통 할매국밥,35.1410164,129.0561961,POINT (129.0561961 35.1410164),범곡교차로
5,75광장,35.0791482,129.0537646,POINT (129.0537646 35.0791482),체육공원
6,AREA6,35.0928012,129.0431429,POINT (129.0431429 35.0928012),영도봉래시장
7,BIFF 광장,35.0988326,129.0292093,POINT (129.0292093 35.0988326),남포동
8,F1963,35.1769907,129.1154605,POINT (129.1154605 35.1769907),고려제강
9,KT&G 상상마당 부산,35.1542841,129.0573158,POINT (129.0573158 35.1542841),서면1번가
10,UN평화축제,35.1269223,129.1008906,POINT (129.1008906 35.1269223),한국산업인력공단남부지사
11,[부산 갈맷길 2코스] 2구간 민락교~오륙도,35.1618263,129.1325241,POINT (129.1325241 35.1618263),수영만아이파크
12,café de 220VOLT(카페드220볼트),35.0939575,129.0561834,POINT (129.0561834 35.0939575),청학고개
13,가덕도,35.0526206,128.8310012,POINT (128.8310012 35.0526206),동선마을
14,가덕도 등대,34.9902946,128.8288642,POINT (128.8288642 34.9902946),대항
15,가덕도 연대봉/연태봉,35.0268467,128.8341087,POINT (128.8341087 35.0268467),동중마을
16,가덕해양파크휴게소,35.0232749,128.8081041,POINT (128.8081041 35.0232749),미소락펜션
17,가야산책공원,35.1478529,129.0273344,POINT (129.0273344 35.1478529),진성아파트
18,감만시민공원,35.109648,129.068746,POINT (129.068746 35.109648),감만현대2차아파트
19,감지해변,35.0598613,129.0775175,POINT (129.0775175 35.0598613),차고지
20,감천문화마을골목축제,35.0962711,129.009441,POINT (129.009441 35.0962711),구감
21,강서낙동강변30리벚꽃축제,35.2072144,128.9798273,POINT (128.9798273 35.2072144),강서구청역
22,개금밀면,35.1525482,129.0250914,POINT (129.0250914 35.1525482),개금삼거리
23,개미집 본점,35.100532,129.0301356,POINT (129.0301356 35.100532),국제시장.부산근대역사관
24,갤러리 ERD 부산,35.1610212,129.163979,POINT (129.163979 35.1610212),해운대온천사거리
