travel_spot_name,ts_long,ts_lat
서면1번가,129.0582864,35.15357586
재난안전체험관,129.105109,35.29182234
광안리해수욕장,129.1184922,35.15379084
송정해수욕장,129.1996401,35.17871177
해운대해수욕장,129.1603079,35.15912435
오륙도,129.1269487,35.09204235
일광해수욕장,129.2336848,35.25996997
해운대온천센터,129.1645769,35.16344061
부산어린이대공원,129.0426785,35.18725791
부산 에덴공원,128.9632292,35.10923463
용두산공원,129.0326928,35.10048411
부산 송도해수욕장,129.0164588,35.07392567
범어사(부산),129.0681264,35.28399754
부산동명불원,129.1040278,35.119175
충렬사,129.0966207,35.19906869
UN기념공원,129.0953116,35.1277711
금정산성,129.0559837,35.25878903
태종대,129.0850811,35.05828424
해운대 달맞이길,129.1825699,35.15771936
민락수변공원,129.1331271,35.15463824
25의용단,129.1138921,35.17194983
부산진성공원,129.0611255,35.13590845
광복로문화패션거리,129.0312902,35.09910368
수미르공원,129.0381562,35.10200071
삼광사,129.0434426,35.17593142
부산차이나타운,129.0385614,35.11343277
허심청,129.0826824,35.22113541
금강공원,129.076233,35.21901053
BIFF 광장,129.0292126,35.09885089
부산다이아몬드타워,129.03264,35.10127013
수영사적공원,129.1145032,35.17069443
대천천,129.0278977,35.24379019
을숙도 공원,128.9353792,35.09379418
광안리해변 테마거리,129.1221363,35.15516575
스포원파크,129.1070701,35.28916157
선암사(부산),129.0275329,35.1768588
옥련선원,129.1266024,35.16137903
부산광안대교,129.1270084,35.14499476
황령산,129.0827286,35.15793416
대항 어촌체험 휴양마을,128.8276908,35.01172084
40계단 문화관광테마거리,129.0354119,35.10406987
동백공원,129.1521171,35.15390811
부산 올림픽동산,129.133174,35.16446214
부산 암남공원,129.0151037,35.06164924
금련산,129.0974161,35.16022306
오륙도등대,129.1269154,35.09120355
가덕도등대,128.8295937,35.00064712
청사포,129.192219,35.16044424
좌수영성지,129.1117117,35.17431064
삼락생태공원,128.9732045,35.16914477
동래향교,129.0841215,35.20772027
태종대 전망대,129.0883893,35.05039907
남도해양관광열차 S-트레인(S-train),129.0424332,35.11527152
부산 가톨릭 특성화 거리,129.0976416,35.24405812
옛백제병원,129.0392002,35.11636023
김민부전망대,129.0352505,35.11771001
남선창고터,129.0395112,35.1167963
168계단,129.0353644,35.11712952
유치환 우체통 전망대,129.033831,35.12211227
부산 부평 족발 골목,129.0264573,35.09921469
부산 자갈치 양곱창 골목,129.0277461,35.0973677
감천문화마을,129.0106254,35.0975007
허브랑야생화,129.0518675,35.2542589
부산 복천동 고분군,129.0906821,35.20687327
더베이101,129.1521198,35.15668558
부산영화촬영스튜디오,129.1380958,35.162518
아홉산숲,129.1715589,35.28714077
F1963,129.1155141,35.17678543
부산 영화의 전당,129.1270577,35.17079465
맥도생태공원,128.954926,35.15234909
화명생태공원,129.0039112,35.2310995
키자니아 부산,129.1283187,35.16990033
부산 송도해상케이블카,129.0234248,35.07668105
절영해안산책로,129.0411871,35.08124753
부산대교,129.0385091,35.09601805
75광장,129.058222,35.07062125
깡깡이 예술마을,129.0342207,35.0932044
팬스타부산주말원나잇크루즈,129.0491659,35.11776303
가덕도 외양포,128.8251996,35.00563814
초량 이바구길,129.0362643,35.11657126
장림포구,128.9513755,35.07936276
영도 흰여울해안터널,129.0453201,35.07795908
국립 달음산자연휴양림,129.1854434,35.30275594
구상반려암,129.0721766,35.16311949
낙동강하구,128.9460086,35.10455151
두도,129.0148985,35.04909231
두송반도,128.9862008,35.05959616
몰운대,128.9699333,35.04028136
백양산,129.0424174,35.18536923
송도반도,129.0195116,35.06596551
장산,129.1681899,35.18110537
마린시티,129.1436567,35.15603272
북맛골,129.0825597,35.23699196
금정산성마을 먹거리촌,129.053823,35.25138704
부산 치유의 숲,129.1298103,35.26900869
안데르센 동화마을,129.2399149,35.36011997
회동수원지,129.1166488,35.22525502
호천마을,129.0512428,35.14428233
죽성성당(드림세트장),129.2478869,35.24122234
부산엑스더스카이,129.1680433,35.16138257
역사의 디오라마,129.0322897,35.11468529
해운대 블루라인파크,129.191394,35.1612608
승학산,128.9795998,35.11409272
땅뫼산,129.1174425,35.24727479
영도 청학배수지 전망대,129.0600713,35.08839152
우암동 도시 숲,129.0726358,35.12749293
흰여울문화마을,129.04637,35.07727585
기장해녀촌(연화리횟촌),129.2281143,35.21842174
광안리 SUP Zone,129.1146733,35.14773867
이중섭거리,129.0521956,35.14033556
가덕도,128.8169442,35.02296383
월전포구(월전방파제),129.2451761,35.23832539
죽성항(황학대),129.2468481,35.24264716
영주하늘눈전망대,129.0307259,35.11461027
천마산하늘전망대,129.0173416,35.09364848
캐비네 드 쁘아쏭(미디어 갤러리),129.2289258,35.20020436
황령산 전망대,129.0827286,35.15793416
아미산 전망대,128.9608087,35.0527909
청학 수변공원,129.0611626,35.09772939
영도 하늘전망대,129.0548556,35.07196271
대항전망대,128.8251215,35.01715908
천성항 방파제등대,128.8148915,35.02821876
구덕문화공원,129.0057695,35.12645293
대신공원,129.0148105,35.12169252
부산민주공원,129.0280541,35.10972466
중앙공원,129.0279957,35.11232714
장미원,129.0099162,35.23339658
구포 어린이교통공원,128.9999568,35.20106946
화명수목원,129.0426767,35.25105354
소두방공원,129.1817598,35.32533112
신평소공원,129.2600539,35.29271679
장안사계곡,129.2328151,35.3744349
은진사,129.2765262,35.33604835
홍연폭포,129.1667036,35.29587026
송상현광장,129.0669242,35.16518861
오륜대전망대,129.1131429,35.24839125
미포,129.1706181,35.15890512
삼익비치수변공원,129.1152455,35.14622773
오시리아 해안산책로,129.2294675,35.19748523
센텀 APEC나루공원,129.1273244,35.1679172
안심치유정원,129.1101753,35.28982266
곰내연밭,129.169545,35.29540925
송정역,129.2003621,35.18098098
가덕해양파크휴게소,128.809631,35.02305813
해운대수목원,129.132625,35.23044085
해리단길,129.1576302,35.16487921
낙동강 생태탐방선,128.9492082,35.11025093
대연수목전시원,129.0989283,35.1255017
부산라벤더팜,129.1478285,35.25904626
다대포항,128.9832651,35.05241358
미포항,129.170682,35.15845517
부산남항,129.0372454,35.09190182
관음사,128.9758059,35.10910432
국제크루즈터미널,129.0791838,35.08080106
감지해변,129.0764901,35.06253361
감천동편부두 / 감천항,129.0128152,35.05479719
사상근린공원,128.976874,35.15219951
대항선착장,128.8259993,35.01232908
하리선착장,129.0815033,35.07041337
가야공원 / 가야산책공원,129.0276892,35.14834533
외양포항,128.832951,35.03059938
연태봉,128.832951,35.03059938
정란각/문화공감수정,129.0426663,35.12558704
가덕도대항인공동굴,128.8274686,35.01330955
월전장어구이촌,129.2441707,35.2381615
금정산성 막걸리,129.0564228,35.25042331
화전공원,128.8791616,35.10565571
델타루 (에코델타시티 전망대),128.922057,35.13641139
캐니언파크 부산,129.0654692,35.14830436
부산롯데월드,129.2129995,35.19606841
용호별빛공원,129.1201732,35.13225717
동래온천길(온천천 산책코스),129.1024593,35.19162797
해운대 그린레일웨이 (미포~송정 구간),129.1711291,35.1603383
부산 칠드런스 뮤지엄,129.2177964,35.19205784
