,travel_spot_name,ts_long,ts_lat,geometry,travel_parking
0,서면1번가,129.0582864,35.15357586,POINT (129.0582864 35.15357586),경남공고 뒤
1,재난안전체험관,129.105109,35.29182234,POINT (129.105109 35.29182234),스포원 주차장(동측)
2,광안리해수욕장,129.1184922,35.15379084,POINT (129.1184922 35.15379084),광안리해수욕장 공영주차장
3,송정해수욕장,129.1996401,35.17871177,POINT (129.1996401 35.17871177),송정주차장
4,해운대해수욕장,129.1603079,35.15912435,POINT (129.1603079 35.15912435),신일주차장
5,오륙도,129.1269487,35.09204235,POINT (129.1269487 35.09204235),용호부두 공영주차장
6,일광해수욕장,129.2336848,35.25996997,POINT (129.2336848 35.25996997),일광해수욕장노상공영주차장
7,해운대온천센터,129.1645769,35.16344061,POINT (129.1645769 35.16344061),GS타임즈 해운대 제3
8,부산어린이대공원,129.0426785,35.18725791,POINT (129.0426785 35.18725791),유원오피스텔 뒤
9,부산 에덴공원,128.9632292,35.10923463,POINT (128.9632292 35.10923463),엄궁외식1번가주변
10,용두산공원,129.0326928,35.10048411,POINT (129.0326928 35.10048411),봉래동물양장
11,부산 송도해수욕장,129.0164588,35.07392567,POINT (129.0164588 35.07392567),남항방파제
12,범어사(부산),129.0681264,35.28399754,POINT (129.0681264 35.28399754),선동공영주차장
13,부산동명불원,129.1040278,35.119175,POINT (129.1040278 35.119175),용호부두 공영주차장
14,충렬사,129.0966207,35.19906869,POINT (129.0966207 35.19906869),동래시장공영주차장
15,UN기념공원,129.0953116,35.1277711,POINT (129.0953116 35.1277711),남천1동 공영주차장
16,금정산성,129.0559837,35.25878903,POINT (129.0559837 35.25878903),선동공영주차장
17,태종대,129.0850811,35.05828424,POINT (129.0850811 35.05828424),태종대유원지부설주차장
18,해운대 달맞이길,129.1825699,35.15771936,POINT (129.1825699 35.15771936),해월정 달맞이길 공영
19,민락수변공원,129.1331271,35.15463824,POINT (129.1331271 35.15463824),민락수변공원 공영주차장
20,25의용단,129.1138921,35.17194983,POINT (129.1138921 35.17194983),망미동노외공영주차장
21,부산진성공원,129.0611255,35.13590845,POINT (129.0611255 35.13590845),범일2동-업무지-5구간
22,광복로문화패션거리,129.0312902,35.09910368,POINT (129.0312902 35.09910368),봉래동물양장
23,수미르공원,129.0381562,35.10200071,POINT (129.0381562 35.10200071),봉래동물양장
24,삼광사,129.0434426,35.17593142,POINT (129.0434426 35.17593142),유원오피스텔 뒤
25,부산차이나타운,129.0385614,35.11343277,POINT (129.0385614 35.11343277),동구공영주차빌딩
26,허심청,129.0826824,35.22113541,POINT (129.0826824 35.22113541),금강공원공영주차장
27,금강공원,129.076233,35.21901053,POINT (129.076233 35.21901053),금강공원공영주차장
28,BIFF 광장,129.0292126,35.09885089,POINT (129.0292126 35.09885089),봉래동물양장
29,부산다이아몬드타워,129.03264,35.10127013,POINT (129.03264 35.10127013),봉래동물양장
30,수영사적공원,129.1145032,35.17069443,POINT (129.1145032 35.17069443),망미동노외공영주차장
31,대천천,129.0278977,35.24379019,POINT (129.0278977 35.24379019),금강공원공영주차장
32,을숙도 공원,128.9353792,35.09379418,POINT (128.9353792 35.09379418),엄궁외식1번가주변
33,광안리해변 테마거리,129.1221363,35.15516575,POINT (129.1221363 35.15516575),민락해변공원 공영주차장
34,스포원파크,129.1070701,35.28916157,POINT (129.1070701 35.28916157),스포원 주차장(동측)
35,선암사(부산),129.0275329,35.1768588,POINT (129.0275329 35.1768588),가야중복도로
36,옥련선원,129.1266024,35.16137903,POINT (129.1266024 35.16137903),민락매립지 공영주차장
37,부산광안대교,129.1270084,35.14499476,POINT (129.1270084 35.14499476),민락해변공원 공영주차장
38,황령산,129.0827286,35.15793416,POINT (129.0827286 35.15793416),황금로 공영주차장
39,대항 어촌체험 휴양마을,128.8276908,35.01172084,POINT (128.8276908 35.01172084),대항공영 주차장
40,40계단 문화관광테마거리,129.0354119,35.10406987,POINT (129.0354119 35.10406987),초량1동업무지
41,동백공원,129.1521171,35.15390811,POINT (129.1521171 35.15390811),신일주차장
42,부산 올림픽동산,129.133174,35.16446214,POINT (129.133174 35.16446214),민락수변공원 공영주차장
43,부산 암남공원,129.0151037,35.06164924,POINT (129.0151037 35.06164924),남항방파제
44,금련산,129.0974161,35.16022306,POINT (129.0974161 35.16022306),망미동노외공영주차장
45,오륙도등대,129.1269154,35.09120355,POINT (129.1269154 35.09120355),용호부두 공영주차장
46,가덕도등대,128.8295937,35.00064712,POINT (128.8295937 35.00064712),대항공영 주차장
47,청사포,129.192219,35.16044424,POINT (129.192219 35.16044424),해월정 달맞이길 공영
48,좌수영성지,129.1117117,35.17431064,POINT (129.1117117 35.17431064),망미동노외공영주차장
49,삼락생태공원,128.9732045,35.16914477,POINT (128.9732045 35.16914477),파라곤호텔주변
50,동래향교,129.0841215,35.20772027,POINT (129.0841215 35.20772027),동래시장공영주차장
51,태종대 전망대,129.0883893,35.05039907,POINT (129.0883893 35.05039907),태종대유원지부설주차장
52,남도해양관광열차 S-트레인(S-train),129.0424332,35.11527152,POINT (129.0424332 35.11527152),왕자빌딩앞
53,부산 가톨릭 특성화 거리,129.0976416,35.24405812,POINT (129.0976416 35.24405812),구서동만남의광장공영주차장
54,옛백제병원,129.0392002,35.11636023,POINT (129.0392002 35.11636023),차이나타운
55,김민부전망대,129.0352505,35.11771001,POINT (129.0352505 35.11771001),초1-1(주거지)
56,남선창고터,129.0395112,35.1167963,POINT (129.0395112 35.1167963),차이나타운
57,168계단,129.0353644,35.11712952,POINT (129.0353644 35.11712952),초1-1(주거지)
58,유치환 우체통 전망대,129.033831,35.12211227,POINT (129.033831 35.12211227),스카이웨이
59,부산 부평 족발 골목,129.0264573,35.09921469,POINT (129.0264573 35.09921469),봉래동물양장
60,부산 자갈치 양곱창 골목,129.0277461,35.0973677,POINT (129.0277461 35.0973677),봉래동물양장
61,감천문화마을,129.0106254,35.0975007,POINT (129.0106254 35.0975007),토토볼링장앞
62,허브랑야생화,129.0518675,35.2542589,POINT (129.0518675 35.2542589),두실공영주차장
63,부산 복천동 고분군,129.0906821,35.20687327,POINT (129.0906821 35.20687327),동래시장공영주차장
64,더베이101,129.1521198,35.15668558,POINT (129.1521198 35.15668558),신일주차장
65,부산영화촬영스튜디오,129.1380958,35.162518,POINT (129.1380958 35.162518),민락수변공원 공영주차장
66,아홉산숲,129.1715589,35.28714077,POINT (129.1715589 35.28714077),정관읍 상업지역 노상주차장
67,F1963,129.1155141,35.17678543,POINT (129.1155141 35.17678543),한양아파트 앞 공영주차장
68,부산 영화의 전당,129.1270577,35.17079465,POINT (129.1270577 35.17079465),민락매립지 공영주차장
69,맥도생태공원,128.954926,35.15234909,POINT (128.954926 35.15234909),한국강관주변
70,화명생태공원,129.0039112,35.2310995,POINT (129.0039112 35.2310995),삼락재첩거리주변
71,키자니아 부산,129.1283187,35.16990033,POINT (129.1283187 35.16990033),민락매립지 공영주차장
72,부산 송도해상케이블카,129.0234248,35.07668105,POINT (129.0234248 35.07668105),남항방파제
73,절영해안산책로,129.0411871,35.08124753,POINT (129.0411871 35.08124753),절영해안산책로앞
74,부산대교,129.0385091,35.09601805,POINT (129.0385091 35.09601805),봉래동물양장
75,75광장,129.058222,35.07062125,POINT (129.058222 35.07062125),75광장앞
76,깡깡이 예술마을,129.0342207,35.0932044,POINT (129.0342207 35.0932044),토토볼링장앞
77,팬스타부산주말원나잇크루즈,129.0491659,35.11776303,POINT (129.0491659 35.11776303),초량3동-업무지6구간
78,가덕도 외양포,128.8251996,35.00563814,POINT (128.8251996 35.00563814),대항공영 주차장
79,초량 이바구길,129.0362643,35.11657126,POINT (129.0362643 35.11657126),초1-1(주거지)
80,장림포구,128.9513755,35.07936276,POINT (128.9513755 35.07936276),엄궁외식1번가주변
81,영도 흰여울해안터널,129.0453201,35.07795908,POINT (129.0453201 35.07795908),절영해안산책로앞
82,국립 달음산자연휴양림,129.1854434,35.30275594,POINT (129.1854434 35.30275594),정관읍 상업지역 노상주차장
83,구상반려암,129.0721766,35.16311949,POINT (129.0721766 35.16311949),경남공고 뒤
84,낙동강하구,128.9460086,35.10455151,POINT (128.9460086 35.10455151),엄궁외식1번가주변
85,두도,129.0148985,35.04909231,POINT (129.0148985 35.04909231),절영해안산책로앞
86,두송반도,128.9862008,35.05959616,POINT (128.9862008 35.05959616),남항방파제
87,몰운대,128.9699333,35.04028136,POINT (128.9699333 35.04028136),남항방파제
88,백양산,129.0424174,35.18536923,POINT (129.0424174 35.18536923),유원오피스텔 뒤
89,송도반도,129.0195116,35.06596551,POINT (129.0195116 35.06596551),남항방파제
90,장산,129.1681899,35.18110537,POINT (129.1681899 35.18110537),해운대교육지원청주변공영
91,마린시티,129.1436567,35.15603272,POINT (129.1436567 35.15603272),민락수변공원 공영주차장
92,북맛골,129.0825597,35.23699196,POINT (129.0825597 35.23699196),SK아파트뒤노상공영주차장
93,금정산성마을 먹거리촌,129.053823,35.25138704,POINT (129.053823 35.25138704),두실공영주차장
94,부산 치유의 숲,129.1298103,35.26900869,POINT (129.1298103 35.26900869),스포원 주차장(동측)
95,안데르센 동화마을,129.2399149,35.36011997,POINT (129.2399149 35.36011997),오리 대룡마을
